,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그는 돈이 없었다,그는 새 의자를 구입했다. 이는 그가 이미 너무 많은 의자를 가지고 있었다면 일어나지 않을 수 있다,그는 새 의자를 구입했다. 이를 일어나지 않게 하는 것은 이미 너무 많은 의자가 있는 것이다,"그가 돈이 없었다면, 그가 새 의자를 구입했던 것은 일어나지 않을 것이다"
1,그는 일주일 동안 아팠다,그는 매일 운동을 꾸준히 했다,그는 일주일 동안 아팠다. 이는 그가 의사에게 진찰을 받지 않았다면 일어나지 않을 수 있다,그는 일주일 동안 아팠다. 이를 일어나지 않게 하는 것은 의사의 진단을 받지 않는 것이다,"그가 감기약을 먹었다면, 그가 일주일 동안 아팠던 것은 일어나지 않을 것이다"
2,그는 모래성을 쌓았다,그는 사막 지역에 살고 있었다,그는 모래성을 쌓았다. 이는 그가 바닷물이 너무 높아져서 일어나지 않을 수 있다,그는 모래성을 쌓았다. 이를 일어나지 않게 하는 것은 바닷물이 밀려와 파괴되는 것이다,"해변에 갔는데 비가 내리면, 그가 모래성을 쌓았던 것은 일어나지 않을 것이다"
3,그는 블루베리를 따고 있었다,그는 블루베리가 없는 나무 아래에 있었다,그는 블루베리를 따고 있었다. 이는 그가 벌레에 물렸다면 일어나지 않을 수 있다,그는 블루베리를 따고 있었다. 이를 일어나지 않게 하는 것은 블루베리가 아닌 다른 식물을 따고 있는 것이다,"그가 알레르기 반응을 일으켰다면, 그가 블루베리를 따고 있었던 것은 일어나지 않을 것이다"
4,그는 날개를 펄럭였다,그는 사람이 아니었다,그는 날개를 펄럭였다. 이는 그가 사람이 아니라 새였다면 일어나지 않을 수 있다,그는 날개를 펄럭였다. 이를 일어나지 않게 하는 것은 그가 사람이 아니라는 것이다,"그가 사람이었다면, 그가 날개를 펄럭였던 것은 일어나지 않을 것이다"
5,그는 심장마비가 왔다,그는 심장이 강하고 건강했다,그는 심장마비가 왔다. 이는 응급실에서 신속한 처치를 받지 못했다면 일어나지 않을 수 있다,그는 심장마비가 왔다. 이를 일어나지 않게 하는 것은 응급처치를 받지 못하는 것이다,"의료진이 시간 내에 도착했다면, 그가 심장마비가 왔던 것은 일어나지 않을 것이다"
6,그는 너무 빨리 가고 있었다,그는 차량이 고장나서 멈춰야 했다,그는 너무 빨리 가고 있었다. 이는 그가 교통사고를 당했다면 일어나지 않을 수 있다,그는 너무 빨리 가고 있었다. 이를 일어나지 않게 하는 것은 교통사고 위험이 크다는 것이다,"그가 자전거 타고 있었다면, 그가 너무 빨리 가고 있었던 것은 일어나지 않을 것이다"
7,그는 소음이 들렸다,그는 귀가 먹었다,그는 소음이 들렸다. 이는 그가 귀가 먼 사람이었다면 일어나지 않을 수 있다,그는 소음이 들렸다. 이를 일어나지 않게 하는 것은 귀를 막는 것이다,"그가 귀를 막았다면, 그가 소음이 들렸던 것은 일어나지 않을 것이다"
8,그는 준비를 완료했다,그는 시간이 부족해서 일을 완료하지 못했다,그는 준비를 완료했다. 이는 그가 무기력증에 걸려있었다면 일어나지 않을 수 있다,그는 준비를 완료했다. 이를 일어나지 않게 하는 것은 갑작스러운 기술 문제가 발생하는 것이다,"그가 알람을 놓친다면, 그가 준비를 완료했던 것은 일어나지 않을 것이다"
9,그는 입을 옷을 찾았다,그는 옷장이 비어있었다,그는 입을 옷을 찾았다. 이는 그가 옷장을 정리했다면 일어나지 않을 수 있다,그는 입을 옷을 찾았다. 이를 일어나지 않게 하는 것은 돈이 부족해서 새 옷을 살 수 없는 것이다,"그가 옷장을 정리하지 않았다면, 그가 입을 옷을 찾았던 것은 일어나지 않을 것이다"
10,그는 실망한 표정였다,그는 대금을 받았다,그는 실망한 표정이었다. 이는 그가 좋은 소식을 듣지 못했다면 일어나지 않을 수 있다,그는 실망한 표정이었다. 이를 일어나지 않게 하는 것은 자신의 능력을 계속해서 과소평가하는 것이다,"그가 상사의 칭찬을 들었다면, 그가 실망한 표정이었던 것은 일어나지 않을 것이다"
11,그는 재미있어 보였다,그는 슬픈 일이 있었다,그는 재미있어 보였다. 이는 그가 우울증에 시달리고 있었다면 일어나지 않을 수 있다,그는 심각한 우울증을 겪고 있는 것이다,"그가 슬픈 이야기를 들었다면, 그가 재미있어 보였던 것은 일어나지 않을 것이다"
12,그는 신에게 충성을 바쳤다,그는 무신론자였다,그는 신에게 충성을 바쳤다. 이는 그가 다른 신을 숭배했다면 일어나지 않을 수 있다,그는 신에게 충성을 바쳤다. 이를 일어나지 않게 하는 것은 그의 믿음이 깊은 것이다,"그가 무신론자였다면, 그가 신에게 충성을 바쳤던 것은 일어나지 않을 것이다"
13,그는 집에 가도 되었다,그는 집에 가면 위험에 노출될 것이다,그는 집에 가도 되었다. 이는 그가 엄마의 허락을 받았다면 일어나지 않을 수 있다,그는 집에 가도 되었다. 이를 일어나지 않게 하는 것은 집이 화재로 인해 불타버린 것이다,"그가 교통 정체 때문에 늦었다면, 그가 집에 가도 되었던 것은 일어나지 않을 것이다"
14,그는 학교에 갈 옷을 준비했다,그는 집에서 계속해서 공부했다,그는 학교에 갈 옷을 준비했다. 이는 그가 집에 갇혀 있었다면 일어나지 않을 수 있다,그는 학교에 갈 옷을 준비했다. 이를 일어나지 않게 하는 것은 옷이 세탁기에 넣어져 있는 것이다,"그가 집에 갇혀 있었다면, 그가 학교에 갈 옷을 준비했던 것은 일어나지 않을 것이다"
15,그는 피자 파티가 있었다,그는 밀가루 알레르기가 있었다,그는 피자 파티가 있었다. 이는 그가 금식 중이었다면 일어나지 않을 수 있다,그는 피자 파티가 있었다. 이를 일어나지 않게 하는 것은 식중독이라도 나는 것이다,"그가 금식 중이었다면, 그가 피자 파티가 있었던 것은 일어나지 않을 것이다"
16,그는 마침내 선택했다,그는 영원히 고민 중이었다,그는 마침내 선택했다. 이는 그가 너무 많은 옵션이 있었다면 일어나지 않을 수 있다,그는 마침내 선택했다. 이를 일어나지 않게 하는 것은 다른 사람들의 간섭이 없는 것이다,"그가 결정을 내리지 못했다면, 그가 마침내 선택했던 것은 일어나지 않을 것이다"
17,그는 너무 심하게 다쳤다,그는 안전장비를 착용하고 있었다,그는 너무 심하게 다쳤다. 이는 그가 응급실에 들어가야 했다면 일어나지 않을 수 있다,그는 너무 심하게 다쳤다. 이를 일어나지 않게 하는 것은 의료진의 치료가 필요한 것이다,"그가 안전모를 착용했다면, 그가 너무 심하게 다쳤던 것은 일어나지 않을 것이다"
18,그는 몸이 아프기 시작했다,그는 운동을 했기 때문에 몸이 아프기 시작했다,그는 몸이 아프기 시작했다. 이는 그가 꾸준한 운동을 하지 않았다면 일어나지 않을 수 있다,그는 몸이 아프기 시작했다. 이를 일어나지 않게 하는 것은 의사의 처방을 따르지 않는 것이다,"그가 충분한 수면을 취했다면, 그가 몸이 아프기 시작했던 것은 일어나지 않을 것이다"
19,그는 밤에 잠을 잘 이루지 못했다,그는 자는 동안에도 계속해서 일어나서 활동했다,그는 밤에 잠을 잘 이루지 못했다. 이는 스트레스가 많았다면 일어나지 않을 수 있다,그는 밤에 잠을 잘 이루지 못했다. 이를 일어나지 않게 하는 것은 스트레스와 불안이 있는 것이다,"그가 카페인 중독이었다면, 그가 밤에 잠을 잘 이루지 못했던 것은 일어나지 않을 것이다"
20,그는 새로운 기술을 배웠다,그는 뇌가 없었다,그는 새로운 기술을 배웠다. 이는 그가 학습에 대한 열정이 없었다면 일어나지 않을 수 있다,그는 새로운 기술을 배웠다. 이를 일어나지 않게 하는 것은 늙었다고 생각하는 것이다,"그가 학습에 관심을 두지 않았다면, 그가 새로운 기술을 배웠던 것은 일어나지 않을 것이다"
21,그는 황금알을 낳는 거위를 죽였다,그는 이야기 속의 인물이었다,그는 황금알을 낳는 거위를 죽였다. 이는 그가 더 많은 돈을 얻기 위해 탐욕에 사로잡혔다면 일어나지 않을 수 있다,그는 황금알을 낳는 거위를 죽였다. 이를 일어나지 않게 하는 것은 그것이 신화 속 이야기라는 것이다,"그가 그거위를 가진 적이 없었다면, 그가 황금알을 낳는 거위를 죽였던 것은 일어나지 않을 것이다"
22,그는 대학에 지원했다,그는 학위를 취득할 자격이 없었다,그는 대학에 지원했다. 이는 그가 중학교를 졸업하지 못했다면 일어나지 않을 수 있다,그는 대학에 지원했다. 이를 일어나지 않게 하는 것은 합격 통지를 받는 것이다,"그가 학생비자를 받지 못했다면, 그가 대학에 지원했던 것은 일어나지 않을 것이다"
23,그는 홀인원을 기록했다,그는 골퍼가 아니었다,그는 홀인원을 기록했다. 이는 그가 골프를 한 번도 해본 적이 없었다면 일어나지 않을 수 있다,그는 홀인원을 기록했다. 이를 일어나지 않게 하는 것은 운이 좋은 것이다,"그가 부상을 입었다면, 그가 홀인원을 기록했던 것은 일어나지 않을 것이다"
24,그는 방과 후 친구들과 농구를 했다,그는 농구공이 없었다,그는 방과 후 친구들과 농구를 했다. 이는 그가 다리를 다쳤다면 일어나지 않을 수 있다,그는 방과 후 친구들과 농구를 했다. 이를 일어나지 않게 하는 것은 다리를 다쳤기 때문에 몇 주 동안 운동을 쉬어야 하는 것이다,"그가 부상을 입었다면, 그가 방과 후 친구들과 농구를 했던 것은 일어나지 않을 것이다"
