,input,A,B
0,그는 새 의자를 구입했다,그는 실용적이고 현명한 사람으로 보인다.,신나는
1,그는 일주일 동안 아팠다,그는 건강이 나쁜 사람으로 보인다.,회복된
2,그는 모래성을 쌓았다,해변에서 놀고 있는 사람으로 보인다.,아이 같은
3,그는 블루베리를 따고 있었다,그는 자연을 즐기고 평화로운 사람으로 보인다.,행복한
4,그는 날개를 펄럭였다,그는 새로 보인다.,자유로운
5,그는 심장마비가 왔다,그는 의료상황에 대해 긴급하게 대처해야 하는 사람으로 보입니다.,죽은
6,그는 너무 빨리 가고 있었다,그는 무모한 사람으로 보인다.,불안한
7,그는 소음이 들렸다,그는 소음이 들리자마자 경계심을 가지고 있는 사람으로 보인다.,조용한
8,그는 준비를 완료했다,그는 신중하고 책임감 있는 사람으로 보인다.,자신감 있는
9,그는 입을 옷을 찾았다,그는 조금 어리석은 사람으로 보인다.,정장을 입은 사람으로 보인다.
10,그는 실망한 표정였다,실망한 사람으로 보인다.,실망한
11,그는 재미있어 보였다,이 사람은 유머 감각이 좋고 즐거운 사람으로 보인다.,유쾌한
12,그는 신에게 충성을 바쳤다,종교적인 사람으로 보입니다.,신앙심이 깊은
13,그는 집에 가도 되었다,그는 책임감 있는 사람으로 보인다.,정직한
14,그는 학교에 갈 옷을 준비했다,그는 학생으로 보인다.,정장을 입은(person)
15,그는 피자 파티가 있었다,그는 사교적이고 즐거운 사람으로 보인다.,즐거운
16,그는 마침내 선택했다,결단력 있는 사람으로 보인다.,어떤
17,그는 너무 심하게 다쳤다,그는 취약한 사람으로 보인다.,상처받은
18,그는 몸이 아프기 시작했다,그는 어떤 사람으로 보이는지에 대한 정보가 충분하지 않기 때문에 정확한 답변을 제공할 수 없습니다.,아픈
19,그는 밤에 잠을 잘 이루지 못했다,그는 수면 장애가 있는 사람으로 보인다.,스트레스 받는
20,그는 새로운 기술을 배웠다,그는 적극적이고 학습에 열정적인 사람으로 보입니다.,더 자신감 있는
21,그는 황금알을 낳는 거위를 죽였다,그는 탐욕스러운 사람으로 보인다.,탐욕스러운
22,그는 대학에 지원했다,열정적이고 미래를 위해 노력하는 사람으로 보인다.,신중한
23,그는 홀인원을 기록했다,그는 매우 숙련된 골퍼로 보인다.,전문가적인
24,그는 방과 후 친구들과 농구를 했다,그는 친근하고 사교적인 사람으로 보인다.,활동적인
25,그는 곧 기분이 나아질 겄다,낙천적이고 긍정적인 사람으로 보입니다.,더 행복한
26,그는 커피를 머그잔에 마셨다,그는 커피를 즐기는 사람으로 보인다.,친절한
27,그는 엔진을 망가뜨렸다,그는 실수를 저지른 기술적으로 소질이 있는 사람으로 보인다.,고장난
28,그는 새로운 새끼 고양이를 얻었다,그는 동물을 좋아하는 사람으로 보입니다.,새끼 고양이를 품고 있는
29,그는 과거는 과거로 뒀다,그는 책임을 지고 자신의 행동에 대해 과거를 반성하는 성숙한 사람으로 보인다.,지금
30,그는 새 기타를 구입했다,음악을 즐기는 사람으로 보인다.,음악적인
31,그도 노력했다,그는 노력하는 사람으로 보인다.,정말 열심히 노력하는
32,그는 시간을 가졌다,그는 조직적이고 계획적인 사람으로 보인다.,지혜로운
33,그는 애완동물을 허용했다,그는 관대하고 이해심 많은 사람으로 보인다.,친근한
34,그는 휴대폰을 받았다,그는 현대 사회에서 일반적인 사람으로 보인다.,친절한
35,그는 C를 받았다,그는 열심히 노력하지 않은 사람으로 보인다.,부지런한
36,그는 TV를 구입했다,소비자로 보인다.,소비적인
37,그는 다리를 심하게 다쳤다,그는 피해를 입은 사람으로 보인다.,상당히 힘들어 보인다.
38,그는 그녀의 바지에 오줌을 쌌다,"이 사람은 실수를 저질렀을 뿐이며, 이를 통해 그의 성격이나 인격에 대한 판단을 내리기는 어렵습니다.",부끄러운
39,그는 찾을 수 없었다,그는 실종된 사람으로 보인다.,불가능한
40,그는 곧 나아질 겄다,그는 낙천적이고 긍정적인 사람으로 보인다.,더 나은
41,그는 새 카메라를 구입했다,그는 사진을 좋아하는 취미가 있는 사람으로 보인다.,새로운
42,그는 어젯밤부터 시작했다,그는 어젯밤부터 시작한 일을 꾸준히 이어나가는 사람으로 보인다.,어젯밤부터 시작했다. 그는 다른 사람으로 보인다.
43,그는 강아지를 키우고 싶다고 했다,그는 동물을 좋아하는 사람으로 보인다.,친근한
44,그는 등산했다,그는 활동적이고 모험을 즐기는 사람으로 보인다.,건강한
45,그는 휴대폰을 가지고 있었다,그는 현대 사회에서 일반적인 사람으로 보인다.,지루한
46,그는 전화 한 통을 받았다,그는 바쁜 사람으로 보인다.,자신을 알아보기 어렵다.
47,그는 더 높이 올라갔다,그는 야심찬 사람으로 보인다.,더 자신 있는
48,그는 이발이 필요했다,그는 소홀한 사람으로 보인다.,깔끔한
49,그는 지갑을 집에 두고 왔다,부주의한 사람으로 보인다.,신뢰할 만한
50,그는 목록을 잊어버렸다,부주의한 사람으로 보인다.,촌스러운
51,그는 페이지를 넘겼다,읽는 사람으로 보인다.,지루한
52,그는 도넛도 먹었다,그는 대담하고 즐거운 사람으로 보인다.,정말 건강한(Person)
53,그는 그것을 학교에 가져왔다,학생으로 보인다.,진지한
54,그는 좋아하는 사람에게 물어봤다,그는 호기심 많고 관심을 가지는 사람으로 보인다.,그는 좋아하는 사람에게 물어봤다. 그는 친근한 사람으로 보인다.
55,그는 자신을 인식했다,자기를 이해하고 있는 성숙한 사람으로 보인다.,자신을 인식했다. 그는 자신감 넘치는 사람으로 보인다.
56,그는 새 옷을 구입했다,그는 쇼핑을 좋아하는 사람으로 보인다.,새롭게 변한(person)
57,그는 모든 인형을 외웠다,그는 엄청난 기억력을 가진 사람으로 보인다.,무척이나 완벽한
58,그는 훨씬 좋아 보였다,이 사람은 이전에 비해 개선된 상태로 보인다.,더 행복한
59,그는 요리하고 싶어 하지 않았다,그는 요리에 관심이 없는 사람으로 보인다.,부지런한
60,그는 새 자전거를 구입했다,그는 취미나 운동을 즐기는 사람으로 보인다.,행복한
61,그는 목줄을 사용했다,그는 반려동물을 소중히 여기고 책임감 있는 사람으로 보인다.,훈련된
62,그는 커피를 주문했다,카페에 온 일반적인 손님으로 보인다.,친절한
63,그는 태클을 당했다,그는 축구 선수로 보인다.,부서진
64,그는 그녀에게 몸을 기울였다,사랑과 배려를 표현하는 사람으로 보인다.,친절한
65,그는 오른쪽으로 향했다,그는 방향을 바라보고 있는 사람으로 보인다.,친절한
66,그는 배심원 의무를 위해 소환되었다,법적 의무를 이행하는 책임감 있는 시민으로 보인다.,책임감 있는
67,그는 자신을 과시했다,자기 중심적인 사람으로 보인다.,자신을 자랑스러운(representative) 사람으로 보인다.
68,그는 쿠키도 만들었다,그는 요리에 관심이 많은 사람으로 보인다.,쿠키를 만들었기 때문에 요리에 대한 기술이 있는 것으로 보인다.
69,그는 유치원에 입학했다,그는 어린 아이로 보인다.,어린
70,그는 구걸하러 갔다,그는 도움이 필요한 사람으로 보인다.,불행한
71,그는 면도를 중단했다,그는 급한 일이 생겼거나 예기치 않은 상황에 처해있는 사람으로 보입니다.,매우 피곤한
72,그는 약속을 잡았다,책임감이 있는 신뢰할 만한 사람으로 보인다.,신뢰할 만한
