,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그를 축하하기,그는 새 의자를 구입했다. 따라서 주변 사람들은 그의 새 의자에 앉아보기를 원했다,그는 새 의자를 구입했다. 따라서 주변 사람들이 원했던 것은 그의 새 의자를 시험해보는 것이다,"주변 사람들은 그의 새 의자를 시험해보기를 원했는데, 왜냐하면 그가 새 의자를 구입했기 때문이다"
1,그는 일주일 동안 아팠다,조언이나 도움을 주기,그는 일주일 동안 아팠다. 따라서 주변 사람들은 그의 빨리 나아지기를 원했다,그를 돌봐주는 것이다,"주변 사람들은 그에게 조언을 해주기를 원했는데, 왜냐하면 그가 일주일 동안 아팠기 때문이다"
2,그는 모래성을 쌓았다,사진을 찍어주기,그는 모래성을 쌓았다. 따라서 주변 사람들은 그 작품을 칭찬하기를 원했다,그는 모래성을 쌓았다. 따라서 주변 사람들이 원했던 것은 함께 놀아주는 것이다,"주변 사람들은 그와 함께 모래성을 쌓기를 원했는데, 왜냐하면 그가 모래성을 쌓았기 때문이다"
3,그는 블루베리를 따고 있었다,블루베리를 나눠주기,그는 블루베리를 따고 있었다. 따라서 주변 사람들은 그가 신선한 블루베리를 나누어 주기를 원했다,그와 함께 블루베리를 따는 것이다,"주변 사람들은 디저트를 만들기를 원했는데, 왜냐하면 그가 블루베리를 따고 있었기 때문이다"
4,그는 날개를 펄럭였다,그를 도와주기,그는 날개를 펄럭였다. 따라서 주변 사람들은 그의 비행을 부러워하기를 원했다,그를 따라가는 것이다,"주변 사람들은 그를 비행기로 태워보기를 원했는데, 왜냐하면 그가 날개를 펄럭였기 때문이다"
5,그는 심장마비가 왔다,그를 구조하기,그는 심장마비가 왔다. 따라서 주변 사람들은 그를 살리기를 원했다,그에게 심폐소생술을 하는 것이다,"주변 사람들은 그를 구조하기를 원했는데, 왜냐하면 그가 심장마비가 왔기 때문이다"
6,그는 너무 빨리 가고 있었다,그를 경고하기,그는 너무 빨리 가고 있었다. 따라서 주변 사람들은 그를 경고하기를 원했다,그를 멈추도록 하는 것이다,"주변 사람들은 그를 따라잡기를 원했는데, 왜냐하면 그가 너무 빨리 가고 있었기 때문이다"
7,그는 소음이 들렸다,주변 사람들은 그가 무슨 일이 일어나고 있는지 궁금해할 것이다,그는 소음이 들렸다. 따라서 주변 사람들은 조용히 하기를 원했다,그는 소음이 들렸다. 따라서 주변 사람들이 원했던 것은 무슨 일이 일어나고 있는지 확인하는 것이다,"주변 사람들은 조용히 해달라고 부탁하기를 원했는데, 왜냐하면 그가 소음이 들렸기 때문이다"
8,그는 준비를 완료했다,도와주기나 축하하기,그는 준비를 완료했다. 따라서 주변 사람들은 결과를 보기를 원했다,그는 준비를 완료했다. 따라서 주변 사람들이 원했던 것은 시작하는 것이다,"주변 사람들은 그의 연설을 듣기를 원했는데, 왜냐하면 그가 준비를 완료했기 때문이다"
9,그는 입을 옷을 찾았다,그를 칭찬하기,그는 입을 옷을 찾았다. 따라서 주변 사람들은 그에게 새로운 옷을 사주기를 원했다,그를 도와주는 것이다,"주변 사람들은 그에게 새로운 옷을 사달라고 부탁하기를 원했는데, 왜냐하면 그가 입을 옷을 찾았기 때문이다"
10,그는 실망한 표정였다,그를 위로하기,그는 실망한 표정이었다. 따라서 주변 사람들은 그를 위로하기를 원했다,그는 위로의 말을 해주는 것이다,"주변 사람들은 그에게 위로의 말을 건네기를 원했는데, 왜냐하면 그가 실망한 표정이었기 때문이다"
11,그는 재미있어 보였다,그와 함께 더 많은 시간을 보내기,그는 재미있어 보였다. 따라서 주변 사람들은 그와 함께 시간을 보내기를 원했다,그는 그와 함께 놀기를 원했다,"주변 사람들은 그와 함께 시간을 보내기를 원했는데, 왜냐하면 그가 재미있어 보였기 때문이다"
12,그는 신에게 충성을 바쳤다,신의 충성심을 칭찬하기,그는 신에게 충성을 바쳤다. 따라서 주변 사람들은 그의 행복을 원했다,그는 신에게 충성을 바쳤다. 따라서 주변 사람들이 원했던 것은 그의 행동을 이해하는 것이다,"주변 사람들은 그의 충성심을 칭찬하기를 원했는데, 왜냐하면 그가 신에게 충성을 바쳤기 때문이다"
13,그는 집에 가도 되었다,그가 안전하게 집에 도착하기를 바라기,그는 집에 가도 되었다. 따라서 주변 사람들은 그가 안전하게 도착하기를 원했다,그는 집에 가도 되었다. 따라서 주변 사람들이 원했던 것은 그를 보내는 것이다,"주변 사람들은 그를 놓아주기를 원했는데, 왜냐하면 그가 집에 가도 되었기 때문이다"
14,그는 학교에 갈 옷을 준비했다,학교 생활에 대해 이야기하고 도와주기,그는 학교에 갈 옷을 준비했다. 따라서 주변 사람들은 그를 칭찬하기를 원했다,그는 학교에 갈 옷을 준비했다. 따라서 주변 사람들이 원했던 것은 그와 함께 새로운 친구들을 사귀는 것이다,"주변 사람들은 그에게 옷을 선물하기를 원했는데, 왜냐하면 그가 학교에 갈 옷을 준비했기 때문이다"
15,그는 피자 파티가 있었다,참석하고 싶어하기,그는 피자 파티가 있었다. 따라서 주변 사람들은 맛있는 음식을 먹기를 원했다,그는 피자 파티가 있었다. 따라서 주변 사람들이 원했던 것은 그의 집에 초대받는 것이다,"주변 사람들은 그에게 초대장을 받기를 원했는데, 왜냐하면 그가 피자 파티가 있었기 때문이다"
16,그는 마침내 선택했다,그를 응원하기,그는 마침내 선택했다. 따라서 주변 사람들은 그의 결정을 이해하기를 원했다,그가 그 결정에 만족하는 것이다,"주변 사람들은 그의 결정을 지지하기를 원했는데, 왜냐하면 그가 마침내 선택했기 때문이다"
17,그는 너무 심하게 다쳤다,그를 병원으로 데려가서 치료받게 하기,그는 너무 심하게 다쳤다. 따라서 주변 사람들은 그를 병원에 데려가기를 원했다,그는 너무 심하게 다쳤다. 따라서 주변 사람들이 원했던 것은 그를 병원으로 데려가는 것이다,"주변 사람들은 그를 위로하기를 원했는데, 왜냐하면 그가 너무 심하게 다쳤기 때문이다"
18,그는 몸이 아프기 시작했다,그를 돌봐주기,그는 몸이 아프기 시작했다. 따라서 주변 사람들은 그가 의사에게 가기를 원했다,그가 어떤 도움이 필요한지 물어보는 것이다,"주변 사람들은 그를 병원으로 데려가기를 원했는데, 왜냐하면 그가 몸이 아프기 시작했기 때문이다"
19,그는 밤에 잠을 잘 이루지 못했다,그를 위로하기,그는 밤에 잠을 잘 이루지 못했다. 따라서 주변 사람들은 그가 편안한 수면을 즐기기를 원했다,그를 위로하는 것이다,"주변 사람들은 그에게 휴식을 취하라고 하기를 원했는데, 왜냐하면 그가 밤에 잠을 잘 이루지 못했기 때문이다"
20,그는 새로운 기술을 배웠다,그에게 축하하기,그는 새로운 기술을 배웠다. 따라서 주변 사람들은 그의 지식을 공유하기를 원했다,그를 도와주는 것이다,"주변 사람들은 그와 함께 프로젝트를 시작하기를 원했는데, 왜냐하면 그가 새로운 기술을 배웠기 때문이다"
21,그는 황금알을 낳는 거위를 죽였다,그에게 이유를 묻기,그는 황금알을 낳는 거위를 죽였다. 따라서 주변 사람들은 그를 비난하기를 원했다,그는 황금알을 낳는 거위를 죽였다. 따라서 주변 사람들이 원했던 것은 그를 비난하는 것이다,"주변 사람들은 그에게 용서를 구하기를 원했는데, 왜냐하면 그가 황금알을 낳는 거위를 죽였기 때문이다"
22,그는 대학에 지원했다,합격을 축하하기,그는 대학에 지원했다. 따라서 주변 사람들은 합격 소식을 듣기를 원했다,그가 합격하는 것이다,"주변 사람들은 그의 합격을 축하하기를 원했는데, 왜냐하면 그가 대학에 지원했기 때문이다"
