,input,A,B,B2,B3
0,그는 새 의자를 구입했다,만족했다,그는 새 의자를 구입했다. 따라서 주변사람들은 부러워하는 것을 느꼈다,그는 새 의자를 구입했다. 따라서 주변사람들이 느꼈던 것은 궁금해하는 것이다,"주변 사람들은 놀라는 것을 느꼈는데, 왜냐하면 그가 새 의자를 구입했기 때문이다"
1,그는 일주일 동안 아팠다,걱정했다,그는 일주일 동안 아팠다. 따라서 주변사람들은 걱정하는 것을 느꼈다,그는 일주일 동안 아팠다. 따라서 주변사람들이 느꼈던 것은 걱정하는 것이다,"주변 사람들은 걱정스러운 것을 느꼈는데, 왜냐하면 그가 일주일 동안 아팠기 때문이다"
2,그는 모래성을 쌓았다,놀라웠다,그는 모래성을 쌓았다. 따라서 주변사람들은 놀라는 것을 느꼈다,그는 모래성을 쌓았다. 따라서 주변사람들이 느꼈던 것은 재미있는 것이다,"주변 사람들은 놀라워하는 것을 느꼈는데, 왜냐하면 그가 모래성을 쌓았기 때문이다"
3,그는 블루베리를 따고 있었다,그는 즐거워했다,그는 블루베리를 따고 있었다. 따라서 주변사람들은 신기해하는 것을 느꼈다,그는 블루베리를 따고 있었다. 따라서 주변사람들이 느꼈던 것은 부러워하는 것이다,"주변 사람들은 즐거워하는 것을 느꼈는데, 왜냐하면 그가 블루베리를 따고 있었기 때문이다"
4,그는 날개를 펄럭였다,놀랐다,그는 날개를 펄럭였다. 따라서 주변사람들은 놀라는 것을 느꼈다,그는 날개를 펄럭였다. 따라서 주변사람들이 느꼈던 것은 놀라워하는 것이다,"주변 사람들은 놀라는 것을 느꼈는데, 왜냐하면 그가 날개를 펄럭였기 때문이다"
5,그는 심장마비가 왔다,놀라웠다,그는 심장마비가 왔다. 따라서 주변사람들은 놀라는 것을 느꼈다,그는 심장마비가 왔다. 따라서 주변사람들이 느꼈던 것은 충격적인 것이다,"주변 사람들은 충격을 느꼈는데, 왜냐하면 그가 심장마비가 왔기 때문이다"
6,그는 너무 빨리 가고 있었다,불안했다,그는 너무 빨리 가고 있었다. 따라서 주변사람들은 그의 안전을 걱정하는 것을 느꼈다,그는 너무 빨리 가고 있었다. 따라서 주변사람들이 느꼈던 것은 놀라워하는 것이다,"주변 사람들은 당황스러워하는 것을 느꼈는데, 왜냐하면 그가 너무 빨리 가고 있었기 때문이다"
7,그는 소음이 들렸다,놀랐다,그는 소음이 들렸다. 따라서 주변사람들은 놀란 것을 느꼈다,그는 소음이 들렸다. 따라서 주변사람들이 느꼈던 것은 깜짝 놀란 것이다,"주변 사람들은 놀라는 것을 느꼈는데, 왜냐하면 그가 소음이 들렸기 때문이다"
8,그는 준비를 완료했다,안도했다,그는 준비를 완료했다. 따라서 주변사람들은 안심하는 것을 느꼈다,그는 준비를 완료했다. 따라서 주변사람들이 느꼈던 것은 안심하는 것이다,"주변 사람들은 안심하는 것을 느꼈는데, 왜냐하면 그가 준비를 완료했기 때문이다"
9,그는 입을 옷을 찾았다,안도했다,그는 입을 옷을 찾았다. 따라서 주변사람들은 안심하는 것을 느꼈다,그는 입을 옷을 찾았다. 따라서 주변사람들이 느꼈던 것은 안심하는 것이다,"주변 사람들은 안심하는 것을 느꼈는데, 왜냐하면 그가 입을 옷을 찾았기 때문이다"
