,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그를 축하하다,그의 새 의자에 앉아보다,그의 새 의자를 시험해본다,그의 새 의자를 시험해보다
1,그는 일주일 동안 아팠다,조언이나 도움을 주다,그의 빨리 나아지다,그를 돌봐준다,그에게 조언을 해주다
2,그는 모래성을 쌓았다,사진을 찍어주다,그 작품을 칭찬하다,함께 놀아준다,그와 함께 모래성을 쌓다
3,그는 블루베리를 따고 있었다,블루베리를 나눠주다,그가 신선한 블루베리를 나누어 주다,그와 함께 블루베리를 딴다,디저트를 만들다
4,그는 날개를 펄럭였다,그를 도와주다,그의 비행을 부러워하다,그를 따라간다,그를 비행기로 태워보다
5,그는 심장마비가 왔다,그를 구조하다,그를 살리다,그에게 심폐소생술을 한다,그를 구조하다
6,그는 너무 빨리 가고 있었다,그를 경고하다,그를 경고하다,그를 멈추도록 한다,그를 따라잡다
7,그는 소음이 들렸다,그가 무슨 일이 일어나고 있는지 궁금해하다,조용히 하다,무슨 일이 일어나고 있는지 확인한다,조용히 해달라고 부탁하다
8,그는 준비를 완료했다,도와주기나 축하하다,결과를 보다,시작한다,그의 연설을 듣다
9,그는 입을 옷을 찾았다,그를 칭찬하다,그에게 새로운 옷을 사주다,그를 도와준다,그에게 새로운 옷을 사달라고 부탁하다
10,그는 실망한 표정였다,그를 위로하다,그를 위로하다,위로의 말을 해준다,그에게 위로의 말을 건네다
11,그는 재미있어 보였다,그와 함께 더 많은 시간을 보내다,그와 함께 시간을 보내다,그와 함께 놀기를 원했다,그와 함께 시간을 보내다
12,그는 신에게 충성을 바쳤다,신의 충성심을 칭찬하다,그의 행복,그의 행동을 이해한다,그의 충성심을 칭찬하다
13,그는 집에 가도 되었다,그가 안전하게 집에 도착하기를 바라다,그가 안전하게 도착하다,그를 보낸다,그를 놓아주다
14,그는 학교에 갈 옷을 준비했다,학교 생활에 대해 이야기하고 도와주다,그를 칭찬하다,그와 함께 새로운 친구들을 사귄다,그에게 옷을 선물하다
15,그는 피자 파티가 있었다,참석하고 싶어하다,맛있는 음식을 먹다,그의 집에 초대받다,그에게 초대장을 받다
16,그는 마침내 선택했다,그를 응원하다,그의 결정을 이해하다,그가 그 결정에 만족한다,그의 결정을 지지하다
17,그는 너무 심하게 다쳤다,그를 병원으로 데려가서 치료받게 하다,그를 병원에 데려가다,그를 병원으로 데려간다,그를 위로하다
18,그는 몸이 아프기 시작했다,그를 돌봐주다,그가 의사에게 가다,그가 어떤 도움이 필요한지 물어본다,그를 병원으로 데려가다
19,그는 밤에 잠을 잘 이루지 못했다,그를 위로하다,그가 편안한 수면을 즐기다,그를 위로한다,그에게 휴식을 취하라고 하다
20,그는 새로운 기술을 배웠다,그에게 축하하다,그의 지식을 공유하다,그를 도와준다,그와 함께 프로젝트를 시작하다
21,그는 황금알을 낳는 거위를 죽였다,그에게 이유를 묻다,그를 비난하다,그를 비난한다,그에게 용서를 구하다
22,그는 대학에 지원했다,합격을 축하하다,합격 소식을 듣다,그가 합격한다,그의 합격을 축하하다
23,그는 홀인원을 기록했다,그를 칭찬하다,축하하다,그를 축하한다,그를 칭찬하다
24,그는 방과 후 친구들과 농구를 했다,그와 함께 농구를 하고 싶어하다,그의 팀이 이기다,그와 함께 농구를 하고 싶다,그를 찾아오다
25,그는 곧 기분이 나아질 겄다,그를 위로하다,그를 편안하게 해주다,그를 위로한다,그에게 긍정적이다
26,그는 커피를 머그잔에 마셨다,그에게 물을 담아주다,그가 어떤 종류의 커피를 마셨는지 궁금해하다,그도 한 잔 마시게 한다,그에게 물어보다
27,그는 엔진을 망가뜨렸다,차를 수리해 주다,그를 도와주다,그를 도와준다,그를 욕하다
28,그는 새로운 새끼 고양이를 얻었다,새끼 고양이를 만나러 가다,그의 새로운 반려동물을 만나다,그와 함께 사진을 찍다,새로운 고양이를 보다
29,그는 과거는 과거로 뒀다,그를 이해하고 지난 일에 대해 묻지 않다,이제부터,이제부터 현재에 집중한다,그의 과거에 대해 언급하지 말다
30,그는 새 기타를 구입했다,새로운 곡을 연주해달라고 부탁하다,그가 연주하다,그의 연주를 듣다,그의 연주를 듣다
31,그도 노력했다,그를 격려하다,그의 성공을 기원하다,그를 격려한다,그의 성공
32,그는 시간을 가졌다,그에게 조언하다,그가 결정을 내리다,그에게 도움을 요청한다,그에게 조언을 구하다
33,그는 애완동물을 허용했다,애완동물을 데리고 가서 시간을 보내다,자신의 강아지를 데리고 가다,그의 집에 방문한다,그를 칭찬하다
34,그는 휴대폰을 받았다,카메라로 사진을 찍어달라고 부탁하다,그의 새로운 휴대폰을 보다,그를 축하한다,그가 전화를 받다
35,그는 C를 받았다,그를 도와주다,그에게 공부를 더 열심히 하다,그가 공부를 더 열심히 한다,그에게 더 열심히 공부하다
36,그는 TV를 구입했다,축하하다,그의 집에서 시청을 하다,그의 집에 가서 즐긴다,그와 함께 TV를 보다
37,그는 다리를 심하게 다쳤다,그에게 도움을 주다,그를 병원에 데려가다,의사에게 데려간다,그를 병원에 데려가다
38,그는 그녀의 바지에 오줌을 쌌다,그를 당황시키지 않도록 도와주다,그를 도와주다,그를 위로한다,그에게 샤워를 하다
39,그는 찾을 수 없었다,그를 찾아내다,그의 안전,그를 찾다,그를 도와주다
40,그는 곧 나아질 겄다,그를 지지하다,그를 격려하다,그를 지원한다,그를 격려하다
41,그는 새 카메라를 구입했다,카메라로 사진을 찍어보라고 권유하다,그의 새로운 사진을 보다,그가 찍은 사진을 본다,새 카메라로 그를 찍다
42,그는 어젯밤부터 시작했다,그에게 도움을 주다,그가 빨리 끝내다,그가 잠을 자도록 한다,그를 놀리다
43,그는 강아지를 키우고 싶다고 했다,강아지를 사주다,그에게 반려동물을 돌보다,그를 도와준다,그에게 강아지를 선물하다
44,그는 등산했다,그의 안전을 위해 걱정하다,그의 안전을 확인하다,그가 등산한 경험에 대해 이야기한다,그의 안부를 확인하다
45,그는 휴대폰을 가지고 있었다,그에게 전화나 문자를 보내다,그를 전화하게 해달라고 하다,그를 통화할 수 있다,그에게 전화하다
46,그는 전화 한 통을 받았다,전화 내용을 듣기 위해 귀를 기울이다,누구인지 궁금해하다,그가 누구인지 궁금해한다,그에게 축하를 해주다
47,그는 더 높이 올라갔다,그를 응원하다,그의 성공을 축하하다,그를 따라잡다,그의 성공을 축하하다
48,그는 이발이 필요했다,이발사를 추천하다,그를 미용실로 데려가다,머리를 깎다,머리를 깎다
49,그는 지갑을 집에 두고 왔다,그에게 돈을 빌려주다,대신 돈을 빌려달라고 하다,그를 도와준다,돈을 빌려달라고 하다
50,그는 목록을 잊어버렸다,그에게 목록을 다시 확인하도록 도와주다,그를 도와주다,그를 도와준다,그가 목록을 다시 확인하다
