,input,A,B,B2
0,그는 새 의자를 구입했다,그는 기존의 의자를 버리다,그는 새 의자를 구입했다. 이는 그가 기존의 의자가 부서지기 전에 일어났다,그는 새 의자를 구입했다. 그 후에 그의 거실이 더 화려해졌다
1,그는 일주일 동안 아팠다,그는 회복하여 다시 일상생활을 시작했다,그는 일주일 동안 아팠다. 이는 그가 의사를 찾기 전에 일어났다,그는 일주일 동안 아팠다. 그 후에 회복하여 다시 건강해졌다
2,그는 모래성을 쌓았다,그는 파도에 모래성이 무너지다,그는 모래성을 쌓았다. 이는 해변이 조금씩 잠기기 전에 일어났다,그는 파도에 모래성이 무너지자 실망했다
3,그는 블루베리를 따고 있었다,그는 블루베리를 따면서 즐거워했다,그는 블루베리를 따고 있었다. 이는 철컹철컹 하는 소리가 들려와서 일어났다,그는 블루베리를 따고 있었다. 그 후에 그는 바구니에 담았다
4,그는 날개를 펄럭였다,그는 하늘을 나다,그는 날개를 펄럭였다. 이는 그가 하늘을 나는 꿈을 꾸기 전에 일어났다,그는 하늘을 나는 기분이었다
5,그는 심장마비가 왔다,그는 의료진에의해 심폐소생술을 받다,그는 심장마비가 왔다. 이는 응급실에 도착하기 전에 일어났다,그는 심장마비가 왔다. 그 후에 응급실로 옮겨졌다
6,그는 너무 빨리 가고 있었다,그는 교통사고를 당하다,그는 너무 빨리 가고 있었다. 이는 그가 사고를 당하기 전에 일어났다,그는 너무 빨리 가고 있었다. 그 후에 교통사고를 당했다
7,그는 소음이 들렸다,그는 귀를 막고 잠을 이어가다,그는 소음이 들렸다. 이는 그가 잠들기 전에 일어났다,그는 소음이 들렸다. 그 후에 그는 창문을 닫았다
8,그는 준비를 완료했다,그는 시험을 보러 갔다,그는 준비를 완료했다. 이는 출발하기 전에 일어났다,그는 시험에서 좋은 성적을 받았다
9,그는 입을 옷을 찾았다,그는 파티에 참석하다,그는 입을 옷을 찾았다. 이는 출발하기 전에 일어났다,그는 입을 옷을 찾았다. 그 후에 자신감이 넘쳤다
10,그는 실망한 표정였다,그는 자리에서 일어나 다시 도전하다,그는 실망한 표정이었다. 이는 그가 기대했던 선물을 받지 못하기 전에 일어났다,그는 실망한 표정이었다. 그 후에 친구들이 그를 위로해 주었다
11,그는 재미있어 보였다,그 주변 사람들은 그를 따라 웃었다,그는 재미있어 보였다. 이는 그가 웃기 전에 일어났다,그는 재미있어 보였다. 그 후에 모두가 그와 함께 웃었다
12,그는 신에게 충성을 바쳤다,그는 천국에 올라가다,그는 신에게 충성을 바쳤다. 이는 그가 자신의 삶을 반성하기 전에 일어났다,그는 신에게 충성을 바쳤다. 그 후에 그의 삶은 안정과 평온으로 가득 찼다
13,그는 집에 가도 되었다,그는 편안히 쉬었다,그는 집에 가도 되었다. 이는 그가 할 일을 모두 끝내기 전에 일어났다,그는 피곤해서 바로 잠들었다
14,그는 학교에 갈 옷을 준비했다,그는 학교로 출발하다,그는 학교에 갈 옷을 준비했다. 이는 그가 일어나서 샤워하기 전에 일어났다,그는 학교에 갈 옷을 준비했다. 그 후에 버스를 타고 학교로 향했다
15,그는 피자 파티가 있었다,그는 친구들과 즐거운 시간을 보냈다,그는 피자 파티가 있었다. 이는 그가 다이어트를 시작하기 전에 일어났다,그는 피자 파티가 있었다. 그 후에 그는 친구들과 함께 영화를 보았다
