,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그가 기쁘지 않을까 생각했다,그의 새로운 의자에 대한 호기심,새로운 변화를 받아들이고 자신의 공간을 개선하려는 의지를 보였다,흥분된
1,그는 일주일 동안 아팠다,그 주변 사람들은 그의 아픔을 걱정하고 안타까워했다,그의 불편함을,그의 부진함과 불편함,걱정된다
2,그는 모래성을 쌓았다,놀라거나 놀랐다,그는 창의적인,해변에서 즐거운 시간을 보낸다,부러움
3,그는 블루베리를 따고 있었다,그를 보고 놀라거나 신기해하거나 즐거워했다,그는 상쾌한 블루베리 향,그 신선한 블루베리 향,부러움
4,그는 날개를 펄럭였다,놀라거나 신기해했다,자유를,그의 자유로움과 활기찬 에너지였다,놀라운
5,그는 심장마비가 왔다,충격과 슬픔에 휩싸였다,그의 생명이 위협받고 있다,순간적인 공포와 충격,불안한 혹은 충격적인
6,그는 너무 빨리 가고 있었다,그의 무모한 행동에 놀라고 걱정했다,그것,조심스럽게 행동해야 한다,불안하다
7,그는 소음이 들렸다,짜증이 났다,불편하다,불안과 불편함,분노하다
8,그는 준비를 완료했다,그 주변 사람들은 안심하고 기뻤다,그는 성공을 향한 자신감,그의 자신감과 결연한 의지였다,안도
9,그는 입을 옷을 찾았다,안심하고 기뻤다,안도하는,스타일리시하고 자신감 있는 모습,안도함
10,그는 실망한 표정였다,그 주변 사람들은 그가 실망한 것을 알고 불안해했다,그의 실망을,그의 심리적인 상처와 좌절감,실망함
11,그는 재미있어 보였다,그 주변 사람들은 그가 즐거워 보였다,즐거움을,그의 존재가 항상 밝고 긍정적이다,즐거움
12,그는 신에게 충성을 바쳤다,그의 신앙심에 감동을 받았다,그의 신앙심,그의 신앙심과 헌신,감동적인
13,그는 집에 가도 되었다,안심하고 안도감을 느꼈다,안도하는,마침내 안도의 한숨을 내쉬었다,부정적인
14,그는 학교에 갈 옷을 준비했다,그가 학교에 갈 기쁨과 호기심으로 느꼈다,그의 결심,오늘 중요한 일이 있을 것 같다는 느낌,놀람
15,그는 피자 파티가 있었다,즐거웠다,배고픈,피자의 풍부한 향과 맛으로 가득 찬 즐거움,즐거운
16,그는 마침내 선택했다,안도하고 기뻤다,그의 결정에 대해 안도,그의 결정에 대한 안도와 안정감,안도감
17,그는 너무 심하게 다쳤다,그의 다친 모습을 보고 깊이 걱정했다,그의 안타까움,안타까움과 걱정,애석하다
18,그는 몸이 아프기 시작했다,그의 안녕을 걱정했다,그는 불편하다,그의 불편함과 걱정,걱정된
19,그는 밤에 잠을 잘 이루지 못했다,그의 건강과 안녕을 걱정했다,그는 피곤하다,그의 피곤함과 예민함,졸음
20,그는 새로운 기술을 배웠다,그 주변 사람들은 놀라고 기쁘게 느꼈다,그의 열정과 노력,그의 열정과 끊임없는 성장,놀라운
21,그는 황금알을 낳는 거위를 죽였다,그 사람들은 충격과 분노를 느꼈다,탐욕,이제 더 이상 황금을 얻을 수 없다는 절망,불합리하다
22,그는 대학에 지원했다,"그의 가족과 친구들은 기뻤고, 지원했던 대학에 대한 기대감이 높아졌다",그의 노력,그가 미래에 대한 계획을 가지고 있고 성공을 추구한다,부러움
23,그는 홀인원을 기록했다,놀라워했다,놀라운,그의 놀라운 실력에 대한 경탄,놀라운
24,그는 방과 후 친구들과 농구를 했다,즐거웠다,즐거움을,스포츠를 좋아하는 활발한 사람이다,즐거움
