,input,A,B
0,그는 새 의자를 구입했다,그는 소비욕이 강하다,그는 새 의자를 구입했다. 그는 만족한 사람으로 보인다
1,그는 일주일 동안 아팠다,그는 아프다,그는 일주일 동안 아팠다. 그는 피곤한 사람으로 보인다
2,그는 모래성을 쌓았다,그는 창의적이다,그는 모래성을 쌓았다. 그는 창의적인 사람으로 보인다
3,그는 블루베리를 따고 있었다,그는 즐거워 보인다,그는 블루베리를 따고 있었다. 그는 자연을 즐기는 사람으로 보인다
4,그는 날개를 펄럭였다,그는 자유롭다,그는 날개를 펄럭였다. 그는 자유로운 사람으로 보인다
5,그는 심장마비가 왔다,그는 생명의 위협을 받았다,그는 심장마비가 왔다. 그는 위급한 사람으로 보인다
6,그는 너무 빨리 가고 있었다,그는 성급하다,그는 너무 빨리 가고 있었다. 그는 서둘러 하는 사람으로 보인다
7,그는 소음이 들렸다,그는 짜증스럽다,그는 소음이 들렸다. 그는 예민한 사람으로 보인다
8,그는 준비를 완료했다,그는 준비가 철저하다,그는 준비를 완료했다. 그는 자신감 있는 사람으로 보인다
9,그는 입을 옷을 찾았다,그는 깔끔하다,그는 입을 옷을 찾았다. 그는 만족한 사람으로 보인다
10,그는 실망한 표정였다,그는 실망한 것 같다,그는 실망한 표정이었다. 그는 안타까운 사람으로 보인다
11,그는 재미있어 보였다,그는 유머 감각이 있다,그는 재미있어 보였다. 그는 유머러스한 사람으로 보인다
12,그는 신에게 충성을 바쳤다,그는 신앙심이 깊다,그는 신에게 충성을 바쳤다. 그는 경건한 사람으로 보인다
13,그는 집에 가도 되었다,그는 자유롭다,그는 집에 가도 되었다. 그는 자유로운 사람으로 보인다
14,그는 학교에 갈 옷을 준비했다,그는 꾸준하다,그는 학교에 갈 옷을 준비했다. 그는 열정적인 사람으로 보인다
15,그는 피자 파티가 있었다,그는 사교적이다,그는 피자 파티가 있었다. 그는 즐거운 사람으로 보인다
16,그는 마침내 선택했다,그는 결단력이 있다,그는 마침내 선택했다. 그는 결단력 있는 사람으로 보인다
17,그는 너무 심하게 다쳤다,그는 위험하다,그는 너무 심하게 다쳤다. 그는 불쌍한 사람으로 보인다
18,그는 몸이 아프기 시작했다,그는 불편하다,그는 몸이 아프기 시작했다. 그는 불쌍한 사람으로 보인다
19,그는 밤에 잠을 잘 이루지 못했다,그는 불안하다,그는 밤에 잠을 잘 이루지 못했다. 그는 피곤한 사람으로 보인다
20,그는 새로운 기술을 배웠다,그는 열정적이다,그는 새로운 기술을 배웠다. 그는 똑똑한 사람으로 보인다
21,그는 황금알을 낳는 거위를 죽였다,그는 욕심이 많다,그는 황금알을 낳는 거위를 죽였다. 그는 어리석은 사람으로 보인다
22,그는 대학에 지원했다,그는 미래를 위해 노력하는 사람으로 보인다,그는 대학에 지원했다. 그는 미래를 준비하는 사람으로 보인다
23,그는 홀인원을 기록했다,그는 탁월한 실력을 가지고 있다,그는 홀인원을 기록했다. 그는 자랑스러운 사람으로 보인다
24,그는 방과 후 친구들과 농구를 했다,그는 사교적이다,그는 방과 후 친구들과 농구를 했다. 그는 활발한 사람으로 보인다
25,그는 곧 기분이 나아질 겄다,그는 낙심하지 않는다,그는 곧 기분이 나아질 것이다. 그는 낙천적인 사람으로 보인다
26,그는 커피를 머그잔에 마셨다,그는 친환경적이다,그는 커피를 머그잔에 마셨다. 그는 카페인 중독자로 보인다
27,그는 엔진을 망가뜨렸다,그는 무능하다,그는 엔진을 망가뜨렸다. 그는 답답한 사람으로 보인다
28,그는 새로운 새끼 고양이를 얻었다,그는 행복하다,그는 새로운 새끼 고양이를 얻었다. 그는 행복한 사람으로 보인다
29,그는 과거는 과거로 뒀다,그는 과거를 잊었다,그는 과거는 과거로 뒀다. 그는 앞으로 나아가는 사람으로 보인다
30,그는 새 기타를 구입했다,그는 음악을 좋아하는 사람으로 보인다,그는 새 기타를 구입했다. 그는 음악을 좋아하는 사람으로 보인다
31,그도 노력했다,그는 노력하는 사람으로 보인다,그도 노력했다. 그는 열정적인 사람으로 보인다
32,그는 시간을 가졌다,그는 여유롭다,그는 시간을 가졌다. 그는 여유로운 사람으로 보인다
33,그는 애완동물을 허용했다,그는 동물 애호가다,그는 애완동물을 허용했다. 그는 관대한 사람으로 보인다
34,그는 휴대폰을 받았다,그는 기쁘다,그는 통신이 원활한 사람으로 보인다
35,그는 C를 받았다,그는 성적이 낮다,그는 C를 받았다. 그는 실망한 사람으로 보인다
36,그는 TV를 구입했다,그는 소비욕이 강하다,그는 TV를 구입했다. 그는 소비적인 사람으로 보인다
37,그는 다리를 심하게 다쳤다,그는 고통스럽다,그는 다리를 심하게 다쳤다. 그는 고통스러운 사람으로 보인다
38,그는 그녀의 바지에 오줌을 쌌다,그는 부끄럽다,그는 그녀의 바지에 오줌을 쌌다. 그는 부끄러운 사람으로 보인다
39,그는 찾을 수 없었다,그는 실종되었다,그는 찾을 수 없었다. 그는 사라진 사람으로 보인다
40,그는 곧 나아질 겄다,그는 희망적이다,그는 곧 나아질 것이다. 그는 희망적인 사람으로 보인다
41,그는 새 카메라를 구입했다,그는 현대적이다,그는 새 카메라를 구입했다. 그는 사진을 좋아하는 사람으로 보인다
42,그는 어젯밤부터 시작했다,그는 피곤하다,그는 어젯밤부터 시작했다. 그는 피곤한 사람으로 보인다
43,그는 강아지를 키우고 싶다고 했다,그는 다정하다,그는 강아지를 키우고 싶다고 했다. 그는 애착있는 사람으로 보인다
44,그는 등산했다,그는 운동을 좋아하다,그는 등산했다. 그는 활동적인 사람으로 보인다
45,그는 휴대폰을 가지고 있었다,그는 현대적이다,그는 통신이 원활한 사람으로 보인다
46,그는 전화 한 통을 받았다,그는 바쁘다,그는 전화 한 통을 받았다. 그는 기쁜 사람으로 보인다
47,그는 더 높이 올라갔다,그는 성취가 높다,그는 더 높이 올라갔다. 그는 용감한 사람으로 보인다
48,그는 이발이 필요했다,그는 머리가 길다,그는 이발이 필요했다. 그는 단정한 사람으로 보인다
49,그는 지갑을 집에 두고 왔다,그는 망각하기 쉽다,그는 지갑을 집에 두고 왔다. 그는 부주의한 사람으로 보인다
50,그는 목록을 잊어버렸다,그는 부주의하다,그는 목록을 잊어버렸다. 그는 망각력이 좋지 않은 사람으로 보인다
51,그는 페이지를 넘겼다,그는 호기심이 많다,그는 페이지를 넘겼다. 그는 호기심 많은 사람으로 보인다
52,그는 도넛도 먹었다,그는 식욕이 강하다,그는 도넛도 먹었다. 그는 현실적인 사람으로 보인다
53,그는 그것을 학교에 가져왔다,그는 호기심이 많다,그는 그것을 학교에 가져왔다. 그는 호기심 많은 사람으로 보인다
54,그는 좋아하는 사람에게 물어봤다,그는 용기가 있다,그는 좋아하는 사람에게 물어봤다. 그는 호감을 품은 사람으로 보인다
55,그는 자신을 인식했다,그는 자기 자신을 이해하고 있다,그는 자신을 인식했다. 그는 자기애가 강한 사람으로 보인다
