,input,A,B,B2,B3
0,그는 새 의자를 구입했다,주변 사람들은 새 의자를 놀라워했다,그는 새 의자를 구입했다. 따라서 주변 사람들은 그의 취향을 칭찬했다,그의 새 의자를 이용해보고 싶어하는 것이다,"주변 사람들은 부러워했는데, 왜냐하면 그가 새 의자를 구입했기 때문이다"
1,그는 일주일 동안 아팠다,다른 사람들이 그를 돌봤다,그는 일주일 동안 아팠다. 따라서 주변 사람들은 그를 걱정했다,그는 일주일 동안 아팠다. 주변 사람들이 했던 것은 그를 위로하는 것이다,"주변 사람들은 그를 걱정했는데, 왜냐하면 그가 일주일 동안 아팠기 때문이다"
2,그는 모래성을 쌓았다,주변 사람들은 그를 도와주기 위해 함께 모래성을 쌓았다,그는 모래성을 쌓았다. 따라서 주변 사람들은 그의 창의력에 감탄했다,그는 모래성을 쌓았다. 주변 사람들이 했던 것은 그의 예술 작품을 칭찬하는 것이다,"주변 사람들은 놀라워했는데, 왜냐하면 그가 모래성을 쌓았기 때문이다"
3,그는 블루베리를 따고 있었다,그를 도와주려 했다,그는 블루베리를 따고 있었다. 따라서 주변 사람들은 그의 손이 보라색으로 질려있다고 말했다,그는 블루베리를 따고 있었다. 주변 사람들이 했던 것은 그의 도와주는 것이다,"주변 사람들은 그를 보고 웃었는데, 왜냐하면 그가 블루베리를 따고 있었기 때문이다"
4,그는 날개를 펄럭였다,주변 사람들은 놀라거나 궁금해할 것이다,그는 날개를 펄럭였다. 따라서 주변 사람들은 그가 비행을 시작했다,그는 날개를 펄럭였다. 주변 사람들이 했던 것은 그의 비행을 부러워하는 것이다,"주변 사람들은 놀라워했는데, 왜냐하면 그가 날개를 펄럭였기 때문이다"
5,그는 심장마비가 왔다,주변 사람들은 즉시 응급 조치를 취할 것이다,그는 심장마비가 왔다. 따라서 주변 사람들은 응급처치를 시도했다,그는 심장마비가 왔다. 주변 사람들이 했던 것은 응급처치를 하는 것이다,"주변 사람들은 충격을 받았는데, 왜냐하면 그가 심장마비가 왔기 때문이다"
6,그는 너무 빨리 가고 있었다,주변 사람들은 그를 멈추라고 경고했다,그는 너무 빨리 가고 있었다. 따라서 주변 사람들은 그를 따라잡지 못했다,그를 따라가려고 했다,"주변 사람들은 그를 따라잡지 못했는데, 왜냐하면 그가 너무 빨리 가고 있었기 때문이다"
7,그는 소음이 들렸다,주변을 둘러보았다,그는 소음이 들렸다. 따라서 주변 사람들은 궁금해했다,그는 소음이 들렸다. 주변 사람들이 했던 것은 주변을 둘러보는 것이다,"주변 사람들은 귀를 막았는데, 왜냐하면 그가 소음이 들렸기 때문이다"
8,그는 준비를 완료했다,다음 단계로 나아갔다,그는 준비를 완료했다. 따라서 주변 사람들은 안심했다,그는 준비를 완료했다. 주변 사람들이 했던 것은 안심하는 것이다,"주변 사람들은 기다렸는데, 왜냐하면 그가 준비를 완료했기 때문이다"
9,그는 입을 옷을 찾았다,주변 사람들이 도와주기 위해 옷을 찾아주었다,그는 입을 옷을 찾았다. 따라서 주변 사람들은 그의 패션 감각을 칭찬했다,그는 입을 옷을 찾았다. 주변 사람들이 했던 것은 그에게 어울리는지 물어보는 것이다,"주변 사람들은 그의 패션 감각에 놀라웠는데, 왜냐하면 그가 입을 옷을 찾았기 때문이다"
