,input,A,B,B2,B3
0,그는 새 의자를 구입했다,편안함을 원할 것이다,그는 새 의자를 구입했다. 따라서 그는 편안함을 느끼기를 원했다,그는 새 의자를 구입했다. 따라서 그가 원했던 것은 편안하게 앉는 것이다,"그는 새 테이블을 원했는데, 왜냐하면 새 의자를 구입했기 때문이다"
1,그는 일주일 동안 아팠다,조언을 구하기,그는 일주일 동안 아팠다. 따라서 그는 빨리 나아지기를 원했다,그는 일주일 동안 아팠다. 따라서 그가 원했던 것은 빨리 나아지는 것이다,"그는 쉬기를 원했는데, 왜냐하면 일주일 동안 아팠기 때문이다"
2,그는 모래성을 쌓았다,어린 시절의 기억을 회상하기,그는 모래성을 쌓았다. 따라서 그는 바닷가에서 시간을 보내기를 원했다,그는 모래성을 쌓았다. 따라서 그가 원했던 것은 창의력을 발휘하는 것이다,"그는 해변에서 수영하기를 원했는데, 왜냐하면 모래성을 쌓았기 때문이다"
3,그는 블루베리를 따고 있었다,맛있는 디저트를 만들기,그는 블루베리를 따고 있었다. 따라서 그는 신선한 과일을 먹기를 원했다,그는 블루베리를 따고 있었다. 따라서 그가 원했던 것은 신선한 과일을 맛보는 것이다,"그는 더 많은 과일을 원했는데, 왜냐하면 블루베리를 따고 있었기 때문이다"
4,그는 날개를 펄럭였다,자유롭게 날아다니기,그는 날개를 펄럭였다. 따라서 그는 자유롭게 날기를 원했다,그는 하늘을 날아다니는 것이다,"그는 하늘을 날기를 원했는데, 왜냐하면 날개를 펄럭였기 때문이다"
5,그는 심장마비가 왔다,응급치료를 받기,그는 심장마비가 왔다. 따라서 그는 응급치료를 받기를 원했다,그는 심장마비가 왔다. 따라서 그가 원했던 것은 마지막 순간을 가족과 함께 보내는 것이다,"그는 신속한 응급처치를 원했는데, 왜냐하면 심장마비가 왔기 때문이다"
6,그는 너무 빨리 가고 있었다,속도를 줄이기,그는 너무 빨리 가고 있었다. 따라서 그는 조금 더 천천히 가기를 원했다,그는 너무 빨리 가고 있었다. 따라서 그가 원했던 것은 좀 더 천천히 가는 것이다,"그는 살펴보기를 원했는데, 왜냐하면 너무 빨리 가고 있었기 때문이다"
7,그는 소음이 들렸다,조용한 곳으로 이동하기,그는 소음이 들렸다. 따라서 그는 조용함을 원했다,그는 소음이 들렸다. 따라서 그가 원했던 것은 주변 상황을 확인하는 것이다,"그는 조용한 환경을 원했는데, 왜냐하면 소음이 들렸기 때문이다"
8,그는 준비를 완료했다,시작하기 위한 준비를 하기,그는 준비를 완료했다. 따라서 그는 시작을 원했다,그는 준비를 완료했다. 따라서 그가 원했던 것은 시작하는 것이다,"그는 출발을 원했는데, 왜냐하면 준비를 완료했기 때문이다"
9,그는 입을 옷을 찾았다,따뜻한 옷을 입기,그는 입을 옷을 찾았다. 따라서 그는 멋진 모습을 원했다,그는 입을 옷을 찾았다. 따라서 그가 원했던 것은 스타일리시한 모습을 완성하는 것이다,"그는 스타일리시한 옷을 원했는데, 왜냐하면 입을 옷을 찾았기 때문이다"
10,그는 실망한 표정였다,위로받기,그는 실망한 표정이었다. 따라서 그는 위로의 말을 듣기를 원했다,그는 실망한 표정이었다. 따라서 그가 원했던 것은 더 나은 결과를 얻는 것이다,"그는 지지를 받기를 원했는데, 왜냐하면 실망한 표정이었기 때문이다"
11,그는 재미있어 보였다,주목받기,그는 재미있어 보였다. 따라서 그는 친구들과 함께 시간을 보내기를 원했다,그는 재미있어 보였다. 따라서 그가 원했던 것은 주변 사람들을 즐겁게 하는 것이다,"그는 그 영화를 보기를 원했는데, 왜냐하면 재미있어 보였기 때문이다"
12,그는 신에게 충성을 바쳤다,신의 충성을 얻기,그는 신에게 충성을 바쳤다. 따라서 그는 신의 축복을 받기를 원했다,그는 신에게 충성을 바쳤다. 따라서 그가 원했던 것은 신의 축복을 받는 것이다,"그는 영원한 삶을 원했는데, 왜냐하면 신에게 충성을 바쳤기 때문이다"
13,그는 집에 가도 되었다,안전하고 안락한 환경에서 휴식을 취하기,그는 집에 가도 되었다. 따라서 그는 편안하게 쉬기를 원했다,그는 집에 가도 되었다. 따라서 그가 원했던 것은 휴식을 취하는 것이다,그는 더 이상 시간을 낭비하기 싫어했기 때문이다
14,그는 학교에 갈 옷을 준비했다,학교에서 칭찬받기,그는 학교에 갈 옷을 준비했다. 따라서 그는 잘 어울리기를 원했다,그는 학교에 갈 옷을 준비했다. 따라서 그가 원했던 것은 학교에서 좋은 인상을 남기는 것이다,"그는 학교에 잘 어울리는 옷을 원했는데, 왜냐하면 학교에 갈 옷을 준비했기 때문이다"
15,그는 피자 파티가 있었다,친구들과 즐거운 시간을 보내기,그는 피자 파티가 있었다. 따라서 그는 맛있는 음식을 먹기를 원했다,그의 친구들과 함께 즐거운 시간을 보내는 것이다,"그는 많은 피자를 원했는데, 왜냐하면 피자 파티가 있었기 때문이다"
16,그는 마침내 선택했다,결정을 내리기,그는 마침내 선택했다. 따라서 그는 성공을 향해 나아가기를 원했다,그는 마침내 선택했다. 따라서 그가 원했던 것은 결정을 내리는 것이다,"그는 자유를 원했는데, 왜냐하면 마침내 선택했기 때문이다"
17,그는 너무 심하게 다쳤다,즉시 의료 도움을 요청하기,그는 너무 심하게 다쳤다. 따라서 그는 병원에 가기를 원했다,그는 너무 심하게 다쳤다. 따라서 그가 원했던 것은 병원에 가는 것이다,"그는 병원에 가기를 원했는데, 왜냐하면 너무 심하게 다쳤기 때문이다"
18,그는 몸이 아프기 시작했다,빨리 치료받기,그는 몸이 아프기 시작했다. 따라서 그는 병원에 가서 치료를 받기를 원했다,그는 몸이 아프기 시작했다. 따라서 그가 원했던 것은 의사를 찾아가는 것이다,"그는 휴식을 원했는데, 왜냐하면 몸이 아프기 시작했기 때문이다"
19,그는 밤에 잠을 잘 이루지 못했다,다음날 일을 처리하기 위해 휴식을 취하기,그는 밤에 잠을 잘 이루지 못했다. 따라서 그는 수면제를 복용하기를 원했다,그는 밤에 잠을 잘 이루지 못했다. 따라서 그가 원했던 것은 편안한 잠자리에서 푹 자는 것이다,"그는 편안한 잠자리를 원했는데, 왜냐하면 밤에 잠을 잘 이루지 못했기 때문이다"
20,그는 새로운 기술을 배웠다,자신의 능력을 향상시키기,그는 새로운 기술을 배웠다. 따라서 그는 실무에서 활용하기를 원했다,그는 새로운 기술을 배웠다. 따라서 그가 원했던 것은 더 나은 직업을 얻는 것이다,"그는 새로운 직업을 시작하기를 원했는데, 왜냐하면 새로운 기술을 배웠기 때문이다"
21,그는 황금알을 낳는 거위를 죽였다,부자가 되기,그는 황금알을 낳는 거위를 죽였다. 따라서 그는 부자가 되기를 원했다,그는 부,"그는 부유함을 원했는데, 왜냐하면 황금알을 낳는 거위를 죽였기 때문이다"
22,그는 대학에 지원했다,자신의 꿈을 이루기 위해 노력하기,그는 대학에 지원했다. 따라서 그는 합격을 원했다,그는 대학에 지원했다. 따라서 그가 원했던 것은 학위를 얻는 것이다,"그는 꿈을 이루기를 원했는데, 왜냐하면 대학에 지원했기 때문이다"
23,그는 홀인원을 기록했다,자신의 실력을 입증하기,그는 홀인원을 기록했다. 따라서 그는 칭찬받기를 원했다,그는 홀인원을 기록했다. 따라서 그가 원했던 것은 칭찬받는 것이다,"그는 축하받기를 원했는데, 왜냐하면 홀인원을 기록했기 때문이다"
24,그는 방과 후 친구들과 농구를 했다,더 친밀감을 느끼기,그는 방과 후 친구들과 농구를 했다. 따라서 그는 승리를 원했다,그는 방과 후 친구들과 농구를 했다. 따라서 그가 원했던 것은 스트레스 해소하는 것이다,"그는 승리를 원했는데, 왜냐하면 방과 후 친구들과 농구를 했기 때문이다"
25,그는 곧 기분이 나아질 겄다,긍정적인 변화를 기대하기,그는 곧 기분이 나아질 겄다. 따라서 그는 긍정적으로 생각하기를 원했다,그는 곧 기분이 나아질 것이다. 따라서 그가 원했던 것은 긍정적인 변화를 느끼는 것이다,"그는 긍정적인 변화를 원했는데, 왜냐하면 곧 기분이 나아질 것이기 때문이다"
26,그는 커피를 머그잔에 마셨다,에너지를 얻기,그는 커피를 머그잔에 마셨다. 따라서 그는 여유롭게 책을 읽기를 원했다,그는 커피를 머그잔에 마셨다. 따라서 그가 원했던 것은 일시적인 휴식을 취하는 것이다,"그는 따뜻한 음료를 원했는데, 왜냐하면 커피를 머그잔에 마셨기 때문이다"
27,그는 엔진을 망가뜨렸다,차를 수리하기,그는 엔진을 망가뜨렸다. 따라서 그는 수리를 원했다,그는 엔진을 망가뜨렸다. 따라서 그가 원했던 것은 수리하는 것이다,"그는 자동차를 고치기를 원했는데, 왜냐하면 엔진을 망가뜨렸기 때문이다"
28,그는 새로운 새끼 고양이를 얻었다,새끼 고양이를 돌보기,그는 새로운 새끼 고양이를 얻었다. 따라서 그는 새로운 반려동물을 키우기를 원했다,그는 새로운 반려동물을 키우는 것이다,"그는 새로운 친구를 사귀기를 원했는데, 왜냐하면 새로운 새끼 고양이를 얻었기 때문이다"
29,그는 과거는 과거로 뒀다,미래에 집중하기,그는 과거는 과거로 뒀다. 따라서 그는 미래에 집중하기를 원했다,그는 과거는 과거로 뒀다. 따라서 그가 원했던 것은 새로운 시작을 하는 것이다,"그는 새로운 시작을 원했는데, 왜냐하면 과거는 과거로 뒀기 때문이다"
30,그는 새 기타를 구입했다,기타 연주 실력을 향상시키기,그는 새 기타를 구입했다. 따라서 그는 연주를 마스터하기를 원했다,그는 새 기타를 구입했다. 따라서 그가 원했던 것은 연주 실력을 향상시키는 것이다,"그는 연주하기를 원했는데, 왜냐하면 새 기타를 구입했기 때문이다"
31,그도 노력했다,성취감을 느끼기,그도 노력했다. 따라서 그는 성공을 원했다,그도 노력했다. 따라서 그가 원했던 것은 성공하는 것이다,"그는 성공을 원했는데, 왜냐하면 그도 노력했기 때문이다"
32,그는 시간을 가졌다,자신의 취향에 맞는 취미나 활동을 즐기기,그는 시간을 가졌다. 따라서 그는 취미를 찾기를 원했다,그는 시간을 가졌다. 따라서 그가 원했던 것은 여유롭게 책을 읽는 것이다,"그는 여행을 가기를 원했는데, 왜냐하면 시간을 가졌기 때문이다"
33,그는 애완동물을 허용했다,애완동물을 키우기,그는 애완동물을 허용했다. 따라서 그는 반려동물과 즐거운 시간을 보내기를 원했다,그는 애완동물을 허용했다. 따라서 그가 원했던 것은 새로운 가족 구성원을 환영하는 것이다,"그는 집에서 애완동물을 키울 수 있기를 원했는데, 왜냐하면 애완동물을 허용했기 때문이다"
34,그는 휴대폰을 받았다,전화를 받거나 문자를 확인하기,그는 휴대폰을 받았다. 따라서 그는 새로운 앱을 다운받기를 원했다,그는 휴대폰을 받았다. 따라서 그가 원했던 것은 연락을 받는 것이다,"그는 전화를 받기를 원했는데, 왜냐하면 휴대폰을 받았기 때문이다"
35,그는 C를 받았다,실망하기,그는 C를 받았다. 따라서 그는 시험을 재채점하기를 원했다,그는 C를 받았다. 따라서 그가 원했던 것은 더 열심히 공부하는 것이다,"그는 더 열심히 공부하기를 원했는데, 왜냐하면 C를 받았기 때문이다"
