,input,A,B,B2
0,그는 새 의자를 구입했다,그는 옛 의자가 망가졌다,오래된 의자가 부서지다,그의 이전 의자가 망가졌다
1,그는 일주일 동안 아팠다,그는 감기에 걸리다,음식을 먹다,그는 바이러스에 감염되었다
2,그는 모래성을 쌓았다,그는 해변에 도착하다,해변에 도착하다,그는 해변으로 이동했다
3,그는 블루베리를 따고 있었다,그는 농장에서 블루베리를 구매하러 갔다,농장에서 일하는 것을 즐기다,그는 농장에서 일을 도와주기로 했다
4,그는 날개를 펄럭였다,그는 비행기를 타고 높이 올라가다,꿈에서 날아오르다,그는 고도로 올라가기 시작했다
5,그는 심장마비가 왔다,그는 건강 상태가 악화되고 있었다,스트레스를 많이 받다,그는 의료진에게 증상을 알리지 않았다
6,그는 너무 빨리 가고 있었다,그는 교통사고를 일으키다,교통사고를 당하다,그는 시간이 부족하다고 느꼈다
7,그는 소음이 들렸다,그는 창문을 열었다,창문을 닫다,그는 귀를 기울였다
8,그는 준비를 완료했다,그는 시험을 보러 갔다,출발하기 전에 일어났다,그는 자세한 일정을 확인했다
9,그는 입을 옷을 찾았다,그는 춥다고 느꼈다,옷장을 정리하다,그는 옷장을 정리했다
10,그는 실망한 표정였다,그는 기대했던 일이 이뤄지지 않아서 실망했다,시험에서 좋은 성적을 받지 못하다,그는 좋은 성적을 받지 못했다
11,그는 재미있어 보였다,그는 그의 친구들과 함께 웃고 있었다,친구들과 함께 웃다,그는 친구들과 재미있는 이야기를 나누고 있었다
12,그는 신에게 충성을 바쳤다,그는 종교적인 의식을 갖다,어려운 시기를 겪다,그는 수많은 시련을 겪었지만 믿음을 지키고 있었다
13,그는 집에 가도 되었다,그는 그의 일을 모두 끝마치다,일을 마치다,그는 모든 일을 마무리했다
14,그는 학교에 갈 옷을 준비했다,그는 일어나기 전에 샤워하다,새로운 학기를 맞아 첫 날이라다,그는 자정까지 술을 마셨다
15,그는 피자 파티가 있었다,그는 친구들을 초대하기로 결정하고 있다,그의 생일을 축하하기로 결정하다,그는 피자 재료를 구매했다
16,그는 마침내 선택했다,그는 그녀에게 프러포즈하기로 결심했다,여러 옵션을 고려하다,그는 오랜 시간을 고민했다
17,그는 너무 심하게 다쳤다,그는 사고를 당하기 전에 스케이트보드를 탔다,스포츠 경기에서 부상을 입다,그는 스케이트보드를 타고 있었다
18,그는 몸이 아프기 시작했다,그는 전날에 체육대회에서 과도한 운동을 한 것 같다,추위에 오래 서 있다,그는 어제 운동을 너무 과도하게 한 것 같다
19,그는 밤에 잠을 잘 이루지 못했다,그는 스트레스를 많이 받고 있다,스트레스를 받다,그의 중요한 프로젝트가 실패할까봐 걱정했다
20,그는 새로운 기술을 배웠다,그는 새로운 직업을 찾고 있다,취직하기 위해 역량을 키우다,그는 업무에서 필요한 기술을 습득하기 위해 노력했다
21,그는 황금알을 낳는 거위를 죽였다,그는 탐욕에 사로잡혀 있다,돈이 더 필요하다고 생각하다,그는 탐욕에 사로잡혔다
22,그는 대학에 지원했다,그는 SAT 시험을 보았다,졸업을 앞두다,그는 SAT 시험을 잘 보기 위해 열심히 공부했다
23,그는 홀인원을 기록했다,그는 골프장에서 우수한 스윙을 연습하다,골프를 시작한 지 10년이 지나다,그는 골프를 시작한 지 얼마 되지 않았다
24,그는 방과 후 친구들과 농구를 했다,그는 방과 후 프로그램에 등록했다,학교 운동장에서 농구 경기를 하다,그는 숙제를 마쳤다
25,그는 곧 기분이 나아질 겄다,그는 그의 치료를 받기로 결정했다,어제 밤에 슬픈 영화를 보다,그는 친구들과 함께 시간을 보내기로 했다
26,그는 커피를 머그잔에 마셨다,그는 일어나기 전에 커피를 내렸다,일어나자마자 커피를 마시기로 습관을 들이다,그는 커피를 내리기 위해 원두를 갈았다
27,그는 엔진을 망가뜨렸다,그는 차량을 오랫동안 운전하다,자동차를 너무 오래 운전하다,그는 자동차를 너무 오래 사용했다
28,그는 새로운 새끼 고양이를 얻었다,그는 동물 보호소를 방문하다,동물 보호소에서 자원 봉사를 하다,그는 동물 보호소에서 새끼 고양이를 입양하기로 결정했다
29,그는 과거는 과거로 뒀다,그는 그녀와의 관계를 끝내기로 결심했다,새로운 시작을 하기로 결심하다,그는 용서하고 넘어가기로 결심했다
30,그는 새 기타를 구입했다,그는 음악에 더 많은 관심을 가지다,음악을 배우기로 결심하다,그는 연습을 많이 했다
31,그도 노력했다,그는 시험을 준비하다,열심히 일하다,그는 자신의 부족한 점을 깊이 반성했다
