,input,A,B,B2
0,그는 새 의자를 구입했다,그는 새 의자를 구입한 후에는 기존의 오래된 의자를 버렸다,구매하다,그는 친구들을 초대하여 집에서 파티를 열었다
1,그는 일주일 동안 아팠다,그 후에 그는 회복하여 다시 일상 생활을 이어갔다,약을 먹은,회복했다
2,그는 모래성을 쌓았다,해변에서 파도에 모래성이 파괴되었다,해변에서 놀다,바다가 밀려와 모래성을 허물었다
3,그는 블루베리를 따고 있었다,그는 블루베리를 따다가 곰과 마주쳤다,아침 식사하다,그것을 바구니에 담았다
4,그는 날개를 펄럭였다,그는 하늘을 날아다녔다,날아오르다,공중으로 떠올랐다
5,그는 심장마비가 왔다,그는 의료진에 의해 심폐소생술을 받았다,운동,"응급조치를 시도했지만 이미 늦었고, 그는 사망했다"
6,그는 너무 빨리 가고 있었다,차량 사고가 발생했다,사고,"그는 주변을 제대로 보지 않고 있었고, 결국 사고를 당했다"
7,그는 소음이 들렸다,주변을 살피며 소음의 원인을 찾았다,쓰레기 수거,"그는 귀를 기울였고, 소음이 계속되자 놀라서 일어섰다"
8,그는 준비를 완료했다,그는 준비를 완료했다. 그 후에 시험을 보러 갔다,일어나다,그는 대회에 참가하기 위해 기다리고 있었다
9,그는 입을 옷을 찾았다,그 후 그는 집을 나가기 위해 준비를 했다,빨래하다,새로운 신발을 사러 신발가게로 향했다
10,그는 실망한 표정였다,답변할 수 없음,실패하다,그는 깊게 숨을 들이마시고는 무릎을 꿇고 앉았다
11,그는 재미있어 보였다,다음으로는 그와 함께 시간을 보내기로 결정했다,농담을 하다,그의 유머 감각이 돋보였고 사람들을 웃게 했다
12,그는 신에게 충성을 바쳤다,이후에는 신의 축복을 받았다,죽은,그는 믿음을 가지고 자신의 삶을 살았다
13,그는 집에 가도 되었다,사건이 일어난 후 그는 집에 돌아갔다,저녁식사,는 휴식을 취했다
14,그는 학교에 갈 옷을 준비했다,학교에 갔다,자는,학교 가는 길에 친구를 만났다
15,그는 피자 파티가 있었다,그는 친구들과 함께 즐거운 시간을 보냈다,저녁식사,친구들과 함께 영화를 보았다
16,그는 마침내 선택했다,어떤 일을 선택했다,결정하다,그는 자신의 결정을 이해하는 데 도움이 되는 정보를 수집하기 시작했다
17,그는 너무 심하게 다쳤다,그 후 그는 병원으로 옮겨져 치료를 받았다,운동,병원으로 신속히 이송되어 의료진의 치료를 받았다
18,그는 몸이 아프기 시작했다,그는 의사에게 진료를 받았다,운동,의사를 찾아서 진단을 받았다
19,그는 밤에 잠을 잘 이루지 못했다,다음날 그는 피곤해서 일을 제대로 할 수 없었다,스트레스를 받은,그는 다음 날 피곤한 상태로 일어나서 하루를 보냈다
20,그는 새로운 기술을 배웠다,그는 새로운 직업을 얻었다,학습한 것을 적용하여,그 기술을 실전에서 적용해보고 성공을 거두었다
21,그는 황금알을 낳는 거위를 죽였다,이후 그는 황금알을 더 이상 얻지 못했다,돈을 탐욕스럽게 사랑하는,그는 큰 실수를 저질렀다
22,그는 대학에 지원했다,대학에서 합격통지를 받았다,졸업,대학에서 합격했다
23,그는 홀인원을 기록했다,이후 그는 친구들과 함께 축하 파티를 열었다,훌륭한 성적을 내다,"그는 자신의 업적을 친구들과 나누었고, 축하를 받았다"
24,그는 방과 후 친구들과 농구를 했다,나중에 그들은 함께 저녁을 먹었다,농구를 하다,함께 저녁을 먹으러 갔다
25,그는 곧 기분이 나아질 겄다,하지만 그는 계속해서 우울함을 느끼고 결국 전문가의 도움을 받았다,운동,는 그의 마음이 가벼워지다
26,그는 커피를 머그잔에 마셨다,커피를 마신 후에는 일상적인 활동을 계속했다,커피를 마신,신선한 공기를 마시며 조용한 시간을 보냈다
27,그는 엔진을 망가뜨렸다,차량이 정지하고 수리가 필요했다,주행,차가 멈추고 말았다
28,그는 새로운 새끼 고양이를 얻었다,새로운 새끼 고양이를 키우기 시작했다,동물 보호소를 방문하다,그는 새끼 고양이에게 집에서 편안하게 적응할 수 있도록 신경을 썼다
29,그는 과거는 과거로 뒀다,하지만 미래를 위해 새로운 계획을 세웠다,그는 배운 것을 실천하다,새로운 시작을 했다
30,그는 새 기타를 구입했다,그는 연주 실력을 향상시키기 위해 매일 연습했다,연습하다,"그는 연습을 시작했고, 곧이어 노래를 작곡하기 시작했다"
31,그도 노력했다,하지만 결국 실패했다,실패하다,뛰어난 성과를 얻었다
32,그는 시간을 가졌다,그는 자신의 계획을 세우고 목표를 달성하기 위해 노력했다,일어나다,무엇을 할지 고민했다
33,그는 애완동물을 허용했다,그 후에는 집안이 훨씬 활기차고 즐거워졌다,결혼,그는 강아지를 입양했다
34,그는 휴대폰을 받았다,휴대폰을 받은 후에는 문자를 확인하거나 전화를 걸었다,전화를 받다,친구에게 전화를 걸었다
35,그는 C를 받았다,그는 부모님에게 혼이 났다,공부하지 않았기 때문에,그는 노력하여 성적을 개선하기로 결심했다
36,그는 TV를 구입했다,그가 TV를 구입한 후에는 매일 영화나 드라마를 즐기며 편안한 시간을 보냈다,구입하다,집에 돌아와서 TV를 설치했다
37,그는 다리를 심하게 다쳤다,그는 병원으로 신속히 이송되어 치료를 받았다,사고,병원으로 신속히 이송되어 의사의 치료를 받았다
38,그는 그녀의 바지에 오줌을 쌌다,이후 그녀는 화가 나서 그를 비난했다,술에 취해,"그는 당황하여 사과하고, 그녀를 위해 새로운 바지를 사 주었다"
39,그는 찾을 수 없었다,그의 실종으로 수사가 진행되었지만 그를 찾을 수 없었다,사라져,우리는 그의 휴대전화를 추적하여 발견했다
40,그는 곧 나아질 겄다,하지만 그는 계속해서 나아지지 않았고 결국 악화되었다,회복하다,"그는 다시 일상 생활을 되찾을 것이고, 건강한 삶을 즐기게 되다"
41,그는 새 카메라를 구입했다,그는 새로운 취미를 찾아 사진을 찍기 시작했다,결혼식을 하루 전에,그는 사진을 찍으러 나갔다
42,그는 어젯밤부터 시작했다,그는 어젯밤부터 시작한 일로 인해 피곤해 보였다,새벽에 일어난,어제 밤부터 시작한 새로운 프로젝트에 대해 열정적으로 일했다
43,그는 강아지를 키우고 싶다고 했다,그리고 그에게 사랑스러운 강아지를 선물로 받았다,결혼,그의 가족은 강아지를 입양하기로 결정했다
44,그는 등산했다,그 후에 그는 아름다운 풍경을 감상하며 새 에너지를 얻었다,등산하기 전에,산 정상에서 멋진 풍경을 감상했다
