,input,A,B,B2,B3
0,그는 새 의자를 구입했다,가구 가게에 갔어야 한다,그는 새 의자를 구입했다. 이를 위해 그는 가구 가게에 갔어야 했다,그는 새 의자를 구입했다. 이를 위해 그가 했어야 한 것은 예산을 계획하는 것이다,"그는 돈을 모았어야 했는데, 이는 새 의자를 구입하기 위해서였다"
1,그는 일주일 동안 아팠다,의사를 찾아뵀어야 한다,그는 일주일 동안 아팠다. 이를 위해 그는 병원에 갔어야 했다,그는 일주일 동안 아팠다. 이를 위해 그가 했어야 한 것은 병원에 가는 것이다,"그는 백신을 맞았어야 했는데, 이는 일주일 동안 아프기 위해서였다"
2,그는 모래성을 쌓았다,모래성을 만들 수 있는 모래를 찾아야 한다,그는 모래성을 쌓았다. 이를 위해 그는 모래를 가지고 있었어야 했다,그는 모래성을 쌓았다. 이를 위해 그가 했어야 한 것은 모래를 모으는 것이다,"그는 모래를 긁어야 했는데, 이는 모래성을 쌓기 위해서였다"
3,그는 블루베리를 따고 있었다,블루베리 농장에 갔어야 한다,그는 블루베리를 따고 있었다. 이를 위해 그는 바구니를 가져왔어야 했다,그는 블루베리를 따고 있었다. 이를 위해 그가 했어야 한 것은 바구니에 담는 것이다,"그는 바구니를 가져왔어야 했는데, 이는 블루베리를 따고 있기 위해서였다"
4,그는 날개를 펄럭였다,비행기를 타고 있었어야 한다,그는 날개를 펄럭였다. 이를 위해 그는 공중에 올라갈 수 있도록 노력했어야 했다,그는 날개를 펄럭였다. 이를 위해 그가 했어야 한 것은 비행기를 타는 것이다,"그는 날아다닐 수 있었어야 했는데, 이는 날개를 펄럭이기 위해서였다"
5,그는 심장마비가 왔다,즉시 응급처치를 받아야 했다,그는 심장마비가 왔다. 이를 위해 그는 응급처치를 받아야 했다,그는 심장마비가 왔다. 이를 위해 그가 했어야 한 것은 응급처치를 받는 것이다,"그는 심장마비가 올 것을 예상했어야 했는데, 이는 심장마비가 오기 위해서였다"
6,그는 너무 빨리 가고 있었다,속도를 줄였어야 한다,그는 너무 빨리 가고 있었다. 이를 위해 그는 속도를 줄이기 위한 교통법규를 알고 있었어야 했다,그는 너무 빨리 가고 있었다. 이를 위해 그가 했어야 한 것은 속도를 줄이는 것이다,"그는 속도를 줄여야 했는데, 이는 너무 빨리 가고 있기 위해서였다"
7,그는 소음이 들렸다,귀를 귀담아야 했다,그는 소음이 들렸다. 이를 위해 그는 귀를 기울였어야 했다,그는 소음이 들렸다. 이를 위해 그가 했어야 한 것은 주변을 살펴보는 것이다,"그는 문을 열어야 했는데, 이는 소음이 들리기 위해서였다"
8,그는 준비를 완료했다,시험을 보러 갔어야 한다,그는 준비를 완료했다. 이를 위해 그는 계획을 세웠어야 했다,그는 준비를 완료했다. 이를 위해 그가 했어야 한 것은 계획을 세우고 필요한 물품을 준비하는 것이다,"그는 계획을 세워야 했는데, 이는 준비를 완료하기 위해서였다"
9,그는 입을 옷을 찾았다,옷장을 뒤져봤어야 한다,그는 입을 옷을 찾았다. 이를 위해 그는 옷장을 정리했어야 했다,그는 입을 옷을 찾았다. 이를 위해 그가 했어야 한 것은 옷장을 정리하는 것이다,"그는 옷장을 정리했어야 했는데, 이는 입을 옷을 찾기 위해서였다"
10,그는 실망한 표정였다,그 기대를 져야 했다,그는 실망한 표정이었다. 이를 위해 그는 좋지 않은 소식을 들었어야 했다,그는 실망한 표정이었다. 이를 위해 그가 했어야 한 것은 기대했던 일이 실패한 것을 받아들이는 것이다,"그는 실망한 표정을 지어야 했는데, 이는 실망한 표정이기 위해서였다"
11,그는 재미있어 보였다,웃음을 잘어야 했다,그는 재미있어 보였다. 이를 위해 그는 웃음을 참지 않았어야 했다,그는 재미있어 보였다. 이를 위해 그가 했어야 한 것은 웃음을 짓는 것이다,"그는 웃어야 했는데, 이는 재미있어 보이기 위해서였다"
12,그는 신에게 충성을 바쳤다,종교를 신봉했어야 한다,그는 신에게 충성을 바쳤다. 이를 위해 그는 헌신적으로 기도했어야 했다,그는 신에게 충성을 바쳤다. 이를 위해 그가 했어야 한 것은 제사를 지내는 것이다,"그는 제물을 바쳤어야 했는데, 이는 신에게 충성을 바치기 위해서였다"
