Error Type,Prompt Type,Relation,Count
Refusal to Generate Response,A,oEffect,1
Refusal to Generate Response,A,xEffect,3
Refusal to Generate Response,A,xWant,2
Refusal to Generate Response,A,xReact,4
Refusal to Generate Response,A,xIntent,33
Refusal to Generate Response,A,xNeed,3
Refusal to Generate Response,A,xAttr,12
Refusal to Generate Response,A,Hinderedby,3
Refusal to Generate Response,A,isBefore,14
Refusal to Generate Response,A,isAfter,90
Refusal to Generate Response,B1,xEffect,2
Refusal to Generate Response,B1,xWant,1
Refusal to Generate Response,B1,oWant,3
Refusal to Generate Response,B1,xReact,2
Refusal to Generate Response,B1,xIntent,15
Refusal to Generate Response,B1,xNeed,2
Refusal to Generate Response,B1,Hinderedby,1
Refusal to Generate Response,B1,isAfter,2
Refusal to Generate Response,B1,isBefore,1
Refusal to Generate Response,B2,isBefore,2
Refusal to Generate Response,B2,isAfter,65
Refusal to Generate Response,B2,xEffect,45
Refusal to Generate Response,B2,xWant,144
Refusal to Generate Response,B2,oWant,33
Refusal to Generate Response,B2,xReact,1
Refusal to Generate Response,B2,oReact,1
Refusal to Generate Response,B2,xIntent,3
Refusal to Generate Response,B2,xNeed,2
Refusal to Generate Response,B2,Hinderedby,22
Refusal to Generate Response,B3,oEffect,1
Refusal to Generate Response,B3,xEffect,13
Refusal to Generate Response,B3,xReact,8
Refusal to Generate Response,B3,oReact,2
Refusal to Generate Response,B3,xNeed,1
No Result Generated,A,xEffect,12
No Result Generated,A,xWant,4
No Result Generated,A,xReact,40
No Result Generated,A,xIntent,373
No Result Generated,A,xNeed,43
No Result Generated,A,xAttr,12
No Result Generated,A,isBefore,9
No Result Generated,A,isAfter,34
No Result Generated,B2,xReact,1
Non-Korean Response,A,oEffect,3
Non-Korean Response,A,xEffect,10
Non-Korean Response,A,xReact,2
Non-Korean Response,A,xIntent,3
Non-Korean Response,A,xNeed,227
Non-Korean Response,A,xAttr,1
Non-Korean Response,A,Hinderedby,1
Non-Korean Response,A,isBefore,2
Non-Korean Response,B1,oEffect,2
Non-Korean Response,B1,xEffect,14
Non-Korean Response,B1,xWant,32
Non-Korean Response,B1,oWant,12
Non-Korean Response,B1,xReact,30
Non-Korean Response,B1,oReact,5
Non-Korean Response,B1,xIntent,19
Non-Korean Response,B1,xNeed,15
Non-Korean Response,B1,Hinderedby,29
Non-Korean Response,B1,xAttr,83
Non-Korean Response,B1,isAfter,21
Non-Korean Response,B1,isBefore,29
Non-Korean Response,B2,isBefore,1
Non-Korean Response,B2,isAfter,2
Non-Korean Response,B2,oEffect,4
Non-Korean Response,B2,xEffect,1
Non-Korean Response,B2,oWant,3
Non-Korean Response,B2,xReact,2
Non-Korean Response,B2,xNeed,8
Non-Korean Response,B2,Hinderedby,1
Non-Korean Response,B3,oEffect,32
Non-Korean Response,B3,xEffect,5
Non-Korean Response,B3,xWant,17
Non-Korean Response,B3,oWant,38
Non-Korean Response,B3,xReact,64
Non-Korean Response,B3,oReact,104
Non-Korean Response,B3,xIntent,40
Non-Korean Response,B3,xNeed,106
