,Head_Eng,Head_raw,lemma_revised,Head_Ko,Rel,Tail_Eng,Tail_raw,Tail_Ko,gleu_score
0,PersonX wins a hundred dollars,그는 100달러를 얻습니다,그는 100달러를 얻다,그는 100달러를 얻었다,xAttr,lucky,운이 좋다,운이 좋았다,0.3
1,PersonX dates for a year,그는 1년 동안 데이트를 합니다,그는 1년 동안 데이트를 하다,그는 1년 동안 데이트를 했다,isBefore,PersonX breaks up with y instead of proposing,그는 프로포즈하는 대신 그녀와 헤어지다,그는 프로포즈하는 대신 그녀와 헤어졌다,0.2307692307692308
2,PersonX dates for a year,그는 1년 동안 데이트를 합니다,그는 1년 동안 데이트를 하다,그는 1년 동안 데이트를 했다,xReact,anxious about her decision,그녀의 결정에 대해 걱정하고 있다,그녀의 결정에 대해 걱정하고 있었다,0.2307692307692308
3,PersonX has been dating for a year,그는 1년 동안 사귀어 왔습니다,그는 1년 동안 사귀어 오다,그는 1년 동안 사귀어 왔다,oReact,affectionate,애틋해하다,애틋해했다,0.1363636363636364
4,PersonX wins first place,그는 1등을 차지합니다,그는 1등을 차지하다,그는 1등을 차지했다,isBefore,PersonX stands on the podium with the medal,그는 메달을 들고 시상대에 서다,그는 메달을 들고 시상대에 섰다,0.1666666666666667
5,PersonX places first,그는 1등을 차지합니다,그는 1등을 차지하다,그는 1등을 차지했다,isAfter,PersonX runs in a race,그는 경주에 출전하다,그는 경주에 출전했다,0.1666666666666667
6,PersonX gets first place,그는 1등을 차지합니다,그는 1등을 차지하다,그는 1등을 차지했다,oEffect,Person Y trains for the next event.,다음 대회를 위해 훈련하다,다음 대회를 위해 훈련했다,0.1666666666666667
7,PersonX wins first place,그는 1등을 차지합니다,그는 1등을 차지하다,그는 1등을 차지했다,oWant,to judge the competition,승부를 판단하다,승부를 판단했다,0.1666666666666667
8,PersonX wins first place,그는 1등을 차지합니다,그는 1등을 차지하다,그는 1등을 차지했다,oReact,proud of x,그가 자랑스러워하다,그가 자랑스러워했다,0.1666666666666667
9,PersonX wins first prize,그는 1등을 차지합니다,그는 1등을 차지하다,그는 1등을 차지했다,xEffect,receives a big trophy,큰 트로피를 받다,큰 트로피를 받았다,0.1666666666666667
10,PersonX places first,그는 1등을 차지합니다,그는 1등을 차지하다,그는 1등을 차지했다,xAttr,fast,빠르다,빨랐다,0.1666666666666667
11,PersonX wins first place,그는 1등을 차지합니다,그는 1등을 차지하다,그는 1등을 차지했다,xReact,proud and happy.,자랑스럽고 행복하다,자랑스럽고 행복했다,0.1666666666666667
12,PersonX is in first grade,그는 1학년입니다,그는 1학년이다,그는 1학년이었다,oWant,to make friends,친구들을 만들다,친구들을 만들었다,0.1666666666666667
13,PersonX finds a twenty dollar bill,그는 20달러 지폐를 발견합니다,그는 20달러 지폐를 발견하다,그는 20달러 지폐를 발견했다,HinderedBy,PersonX is in a poor area where there's not a lot of money lying around.,그는 주변에 돈이 많지 않은 가난한 지역에 살고 있다,그는 주변에 돈이 많지 않은 가난한 지역에 살고 있었다,0.3333333333333333
14,PersonX finds a twenty dollar bill,그는 20달러 지폐를 발견합니다,그는 20달러 지폐를 발견하다,그는 20달러 지폐를 발견했다,xNeed,Sees the twenty dollar bill,20달러 지폐를 보다,20달러 지폐를 봤다,0.3333333333333333
15,PersonX finds a twenty dollar bill,그는 20달러 지폐를 발견합니다,그는 20달러 지폐를 발견하다,그는 20달러 지폐를 발견했다,xEffect,spends money,돈을 쓰다,돈을 썼다,0.3333333333333333
16,PersonX loses twenty pounds,그는 20파운드를 감량합니다,그는 20파운드를 감량하다,그는 20파운드를 감량했다,HinderedBy,PersonX has a slow metabolism.,그는 신진 대사가 느리다,그는 신진 대사가 느렸다,0.1428571428571428
17,PersonX loses twenty pounds,그는 20파운드를 감량합니다,그는 20파운드를 감량하다,그는 20파운드를 감량했다,oEffect,the family is surprised,놀라다,놀랐다,0.1428571428571428
18,PersonX loses twenty pounds,그는 20파운드를 감량합니다,그는 20파운드를 감량하다,그는 20파운드를 감량했다,xNeed,to watch what they eat,먹는 것을 조심하다,먹는 것을 조심했다,0.1428571428571428
