,input,A,B,B2
0,그는 새 의자를 구입했다,그는 이전에 기존의 의자를 버리거나 대체하기로 결정했다.,사용하려고,그 전에 오래된 의자를 사용하고 있었다.
1,그는 일주일 동안 아팠다,그는 일주일 동안 아파서 집에 머물렀다.,회복,어떤 식으로든 일을 하면서 몸이 힘들었던 것 같다.
2,그는 모래성을 쌓았다,해변에서 모래성을 쌓았다.,물 쇄도,바닷물이 모래성을 헐어버렸다.
3,그는 블루베리를 따고 있었다,그는 블루베리를 따기 위해 산으로 들어갔다.,딸기를 따고 있었다. 이는 아침에 일어나기 전에 일어났다.,그는 딸기를 따고 있었다. 그 전에는 라즈베리를 따고 있었다.
4,그는 날개를 펄럭였다,그는 비행기에서 낙하산으로 뛰어내렸다.,비행하기 전에 일어났다.,"그는 땅에서 높이 뛰어올랐고, 하늘을 향해 날아갔다."
5,그는 심장마비가 왔다,그 사람은 심장마비가 왔기 전에 어떤 증상도 보이지 않았다.,그는 심장마비가 왔다. 이는 의료진이 도착하기 전에 일어났다.,의사가 경고했지만 그는 무시했다.
6,그는 너무 빨리 가고 있었다,그는 교통 신호를 무시하고 너무 빨리 운전을 하고 있었다.,사고,어떤 것도 생각하지 않았다. 그저 앞으로만 나아가고 있었다.
7,그는 소음이 들렸다,이전에는 아마도 조용했을 것이다.,일어나기 전에 일어났다.,어떤 소리인지 궁금해졌다.
8,그는 준비를 완료했다,.,그는 준비를 완료했다. 이는 출발하기 전에 일어났다.,그는 몇 시간 동안 연습했다.
9,그는 입을 옷을 찾았다,그는 옷장을 뒤져서 입을 옷을 찾았다.,출발,그 전에 옷장을 뒤져보고 있었다.
10,그는 실망한 표정였다,어떤 기대나 희망이 무너졌을 것이다.,어떤 일이 발생하여(disappointment) 발생하기 전에 일어났다.,무엇을 기대했던 것 같았다.
11,그는 재미있어 보였다,두 사람이 웃고 농담을 주고받았다.,웃음을 참기,어떤 이야기를 들려주고 있었는지 기억이 나지 않았다.
12,그는 신에게 충성을 바쳤다,이전에 그는 신에게 충성을 바쳤다.,죽음,어떤 일이 있었던 것 같아요. 빈칸을 좀 더 구체적으로 설명해 주시면 도와드릴 수 있을 것 같아요.
13,그는 집에 가도 되었다,어떤 사람이 그에게 초대를 하였다.,자신의 일을 다 끝내고,먼저 신발을 벗어야 했다.
14,그는 학교에 갈 옷을 준비했다,그는 일어날 준비를 하고 있었다.,출근,샤워를 하고 아침을 먹었다.
15,그는 피자 파티가 있었다,그는 피자를 주문하고 친구들을 초대했다.,식사,그는 피자를 주문했고 음료수와 간식을 샀다.
16,그는 마침내 선택했다,그는 여러 가지 옵션을 고려하고 검토한 후에 마침내 선택했다.,결정,어떤 옵션을 고르기 위해 많은 시간을 보냈다.
17,그는 너무 심하게 다쳤다,그는 사고를 당했다.,사고,그는 무모하게 행동해서 상처를 입었다.
18,그는 몸이 아프기 시작했다,의사를 만나기 전에 그는 몸이 아프기 시작했다.,아침에 일어나기 전에,"어떤 음식을 먹었던지, 그의 몸은 갑자기 아프기 시작했다."
19,그는 밤에 잠을 잘 이루지 못했다,그는 스트레스를 많이 받았고 불안감을 느꼈다.,자주 기도,어지러운 마음을 가지고 있었기 때문이었다.
20,그는 새로운 기술을 배웠다,그는 새로운 기술을 배우기 위해 수업을 들었다.,학습하기 전에 일어났다.,그 전에는 온라인 강의를 들었다.
21,그는 황금알을 낳는 거위를 죽였다,그는 거위가 황금알을 낳는다고 믿지 않아서 거위를 죽였다.,탐욕을 부리다,거위가 매일 황금알을 낳는다는 속임수에 속아 그를 죽였다.
22,그는 대학에 지원했다,그는 대학에 지원서를 작성하고 제출했다.,결정,고등학교를 졸업했다.
23,그는 홀인원을 기록했다,그는 골프장에서 홀인원을 기록했다.,평균보다 높은 점수를 받았습니다.,어느 곳에서도 그런 기록을 세운 적이 없었다.
24,그는 방과 후 친구들과 농구를 했다,어떤 일이 벌어졌는지에 대한 정보가 충분하지 않기 때문에 그 사건이 일어나기 전에 무엇이 벌어졌는지 정확히 알 수 없습니다.,저녁식사,"
그 전에 학교에서 수업을 들었다."
25,그는 곧 기분이 나아질 겄다,그는 친구들과 함께 시간을 보내면서 스트레스를 풀었다.,약을 먹기 전에,먼저 좋은 식사를 하고 휴식을 취해야 겠다.
26,그는 커피를 머그잔에 마셨다,커피를 내렸다.,그는 커피를 머그잔에 마셨다. 이는 일어나기 전에 일어났다.,그는 커피를 내리기 위해 필터에 커피 가루를 넣었다.
