,input,A,B,B2,B3
0,그는 새 의자를 구입했다,편안한 자리에 앉다,편안함,편안한 자리에서 책을 읽다,편안한 휴식
1,그는 일주일 동안 아팠다,건강을 회복하다,휴식을 취하다,휴식을 취한다,쉬다
2,그는 모래성을 쌓았다,해변에서 놀다,창의력을 발휘하다,창의적인 활동을 한다,해변에서 놀다
3,그는 블루베리를 따고 있었다,자연 속에서 시간을 보내다,신선한 과일을 먹다,신선한 과일을 먹다,디저트를 만들다
4,그는 날개를 펄럭였다,자유를 느끼다,자유,하늘을 날아다닌다,자유를 느끼다
5,그는 심장마비가 왔다,삶을 마땅히 할 수 없었다,평화롭게 죽다,죽음을 피한다,건강을 회복하다
6,그는 너무 빨리 가고 있었다,시간을 절약하다,시간을 절약하다,시간을 단축한다,시간을 절약하다
7,그는 소음이 들렸다,조용한 환경에서 쉬다,누군가의 도움을 요청하다,조용한 환경에서 쉰다,조용한 환경
8,그는 준비를 완료했다,목표를 달성하기 위해 준비를 완료했다,성공하다,성공적으로 프로젝트를 마무리한다,시험에 통과하다
9,그는 입을 옷을 찾았다,춥다,멋지게 보이다,겨울에 따뜻하게 입다,따뜻한 옷을 입다
10,그는 실망한 표정였다,희망이 무너졌다,기대했던 결과를 얻지 못했다,성공한다,승진
11,그는 재미있어 보였다,주변 사람들을 웃겨주다,사람들을 웃게 하다,그의 친구들과 함께 웃다,새로운 경험
12,그는 신에게 충성을 바쳤다,영원한 삶을 얻다,영원한 평화를 얻다,영원한 산업에 기여한다,영원한 삶
13,그는 집에 가도 되었다,휴식이 필요했다,피곤함을 피하다,휴식을 취한다,평화로운 휴식
14,그는 학교에 갈 옷을 준비했다,교육을 받다,멋있어 보이다,멋있게 보인다,멋진 옷을 입다
15,그는 피자 파티가 있었다,친구들과 함께 즐기다,친구들과 즐겁게 시간을 보내다,친구들과 즐거운 시간을 보낸다,친구들과 함께 즐거운 시간을 보내다
16,그는 마침내 선택했다,더 나은 삶을 원했다,결정력을 발휘하다,결정을 내린다,자유
17,그는 너무 심하게 다쳤다,자신의 능력을 과시하다,위험을 감수하다,위험한 스포츠를 경험한다,위험한 스릴을 느끼다
18,그는 몸이 아프기 시작했다,건강을 회복하다,병원에 가다,쉬는 시간을 갖다,휴식
