,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그를 축하하고 새 의자를 보러 가거나 함께 앉아 보다,놀랐다,새 의자를 시험해본다,놀랐다
1,그는 일주일 동안 아팠다,그를 돌봐주고 위로해 주다,걱정,그의 챙겨주기 위해 밥을 해주고 약을 먹인다,걱정했다
2,그는 모래성을 쌓았다,그의 모래성을 칭찬하고 함께 사진을 찍으며 즐거워하다,놀랐다,모래성을 파괴한다,놀라워했다
3,그는 블루베리를 따고 있었다,그 주변 사람들은 그를 도와 블루베리를 따거나 그의 일을 지켜보다,부러워했다,그의 뒤를 따라 블루베리를 따기 시작했다,놀라워했다
4,그는 날개를 펄럭였다,놀라거나 궁금해하며 주변을 둘러보다,놀라워했다,그의 비행을 부러워하거나 그의 모습을 감탄한다,놀랐다
5,그는 심장마비가 왔다,즉시 응급처치를 시도하고 구조대원을 호출하다,응급처치,심폐소생술을 시도한다,놀라워했다
6,그는 너무 빨리 가고 있었다,그를 멈추도록 경고하거나 주의를 주다,놀라워했다,그를 멈추도록 경고한다,놀랐다
7,그는 소음이 들렸다,주변을 둘러보고 소음의 원인을 찾으려고 하다,귀를 막았다,귀를 막고 시끄러운 곳을 피한다,깜짝 놀라는 표정을 지었는
8,그는 준비를 완료했다,박수를 치거나 축하의 인사를 하다,안심,그를 격려하고 응원한다,놀랐다
9,그는 입을 옷을 찾았다,그를 도와 입을 옷을 찾도록 도와주다,그는 어떻게 입을 옷을 찾았느냐,옷가게를 추천해 주거나 옷을 빌려준다,놀라워 했는
10,그는 실망한 표정였다,그의 기분을 이해하고 위로해주거나 조용히 지켜보다,그의 기분을 이해하려고 노력했다,그의 기분을 다시 좋게 하려고 노력한다,놀랐다
11,그는 재미있어 보였다,그에게 관심을 보이고 대화를 시도하다,그를 따라 웃었다,그에게 더 가까이 다가가서 그의 주위를 매우 즐겁게 만들어 준다,웃음을 참지 못하고 있었다
12,그는 신에게 충성을 바쳤다,그의 결정을 존중하고 축복하다,그를 존경,그의 신앙심을 존중하고 그의 결정에 도움이 필요할 때 지원한다,놀랐다
13,그는 집에 가도 되었다,그를 환영하고 기뻐하다,안심,그의 결정을 존중하고 그가 편안하게 집으로 돌아갈 수 있도록 도와준다,의심스러워했는
14,그는 학교에 갈 옷을 준비했다,그를 축하하거나 도와줄 준비를 하다,그가 학교에 가려고 한다고 생각했다,그가 학교에 갈 옷을 칭찬한다,놀랐다
15,그는 피자 파티가 있었다,피자를 먹으며 파티에 참여하다,피자를 먹었다,피자를 시켜 먹고 음악을 들으며 즐거운 시간을 보냈다,흥분했는
16,그는 마침내 선택했다,박수를 치다,호들갑을 했다,그의 결정을 존중하고 지지한다,놀랐다
17,그는 너무 심하게 다쳤다,응급처치를 하고 긴급한 의료 도움을 요청하다,심려해요,그를 병원으로 실어나른다,놀랐다
18,그는 몸이 아프기 시작했다,그에게 도움을 주려고 하다,걱정을 했다,그의 상태를 확인하고 도와주려 했다,걱정했다
19,그는 밤에 잠을 잘 이루지 못했다,그를 위로하고 도와주려고 하다,걱정했다,그의 건강 상태를 확인하고 조언을 해준다,걱정했다
20,그는 새로운 기술을 배웠다,그의 성취를 축하하고 칭찬하다,놀랐다,그의 새로운 기술을 배우기 위해 그에게 도움을 준다,놀랐다
21,그는 황금알을 낳는 거위를 죽였다,그의 행동에 분노하고 비난하다,애절하게 울었다,이를 이해할 수 없었다,놀라워했지만 이해했다
22,그는 대학에 지원했다,그를 축하하고 응원하다,기대했다,그의 지원서를 도와주고 추천서를 써 준다,불안해했다
