,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그 새 의자를 시험해보고 싶어하다,그의 이전 의자를 받았다,놀라운 디자인과 편안한 착석감,새 의자
1,그는 일주일 동안 아팠다,그의 빠른 회복을 원하다,그의 빠른 회복,그가 빨리 나아지길 바란다,건강하다
2,그는 모래성을 쌓았다,그를 도와 모래성을 보호하고 함께 즐겁게 시간을 보내기를 원하다,"해당 문맥으로는 ""파괴하는""가 적합한 답변일 것입니다",바다가 밀려오기 전에 모래성을 보호한다,주의
3,그는 블루베리를 따고 있었다,그 주변 사람들은 그가 딴 블루베리를 나눠줄 것을 원하다,그것,그의 블루베리를 나눠 달란다,더 많은 블루베리
4,그는 날개를 펄럭였다,그의 안전과 원활한 비행을 바라게 되다,그는 그의 비행을 보고 싶었다,그 그의 비행을 본다,자유
5,그는 심장마비가 왔다,그의 주변 사람들은 응급처치와 신속한 응급의료 조치를 원하다,의료 도움,그의 생존을 위한 신속한 응급처치였다,의료적인 도움
6,그는 너무 빨리 가고 있었다,그 주변 사람들은 그가 안전하게 목적지에 도착하기를 원하다,그를 더 주의 깊게 살펴보고 싶었다,그의 속도를 줄인다,더 많은 시간
7,그는 소음이 들렸다,그 주변 사람들은 조용한 환경을 원하다,조용하다,조용히 하란다,조용하다
8,그는 준비를 완료했다,그가 성공적으로 임무를 수행하기를 원하다,그의 행동을 지켜보며 놀라움을 표현하거나 그에게 축하의 말을 전하고 싶었다,무엇이든 할 수 있는 그의 능력을 발휘한다,도움
9,그는 입을 옷을 찾았다,그가 따뜻하게 입을 옷을 찾았다는 것에 안도하다,비슷하다,무엇인지 알아내기 위해 물어보았다,예쁜
10,그는 실망한 표정였다,그가 위로받고 싶어하다,그의 기분을 다시 좋게 해주는,그의 기분을 다시 회복시키기 위해 노력한다,무엇
11,그는 재미있어 보였다,그의 주변 사람들은 그가 더 많은 재미있는 이야기나 이벤트를 공유해주길 원하다,그와 함께 시간을 보내는,그와 함께 시간을 보낸다,"그의 주위에 무엇을 원했는데,"
12,그는 신에게 충성을 바쳤다,그의 주변 사람들은 그에게 축하와 응원을 표현하다,그의 충성심,그의 도움과 지혜를 나누어 준다,그의 조언
13,그는 집에 가도 되었다,그가 안전하게 집에 도착했는지를 원하다,안심하고 그를 보냈다,그가 안전하게 집에 돌아갈 수 있다,놀다
14,그는 학교에 갈 옷을 준비했다,그가 학교에 잘 다녀오길 원하다,그는 그의 옷을 보여주다,그가 학교에 가는 모습을 본다,멋진 옷
15,그는 피자 파티가 있었다,피자를 먹고 즐거운 시간을 보내기를 원하다,배고픈,피자를 먹다,모두가 피자
16,그는 마침내 선택했다,그의 선택에 대해 자세히 알고 싶어하다,이를 축하해주었다,무엇이든 그의 결정에 동의한다,더 좋은
17,그는 너무 심하게 다쳤다,그를 도와주고 치료해 주는 것을 원하다,그는 즉시 의료 도움을 받을,그가 병원에 가서 치료를 받다,안정
18,그는 몸이 아프기 시작했다,그의 안락한 휴식과 신속한 치료를 원하다,그는 그의 건강을 회복하는,그가 즉시 의사를 찾아본다,따뜻한 차
19,그는 밤에 잠을 잘 이루지 못했다,그의 주변 사람들은 그가 편안한 수면을 취할 수 있기를 원하다,그는 조용하다,그가 피곤하지 않고 에너지 넘치는 모습을 보인다,휴식과 안정
20,그는 새로운 기술을 배웠다,그가 배운 새로운 기술을 공유하고 싶어하다,새로운 기술을 배우고 싶어했다,새로운 기술을 가르쳐 준다,도움
21,그는 황금알을 낳는 거위를 죽였다,그의 주변 사람들은 그가 거위를 죽이지 않았으면 좋겠다,그것,거위가 다시 황금알을 낳게 한다,더 많은 돈
22,그는 대학에 지원했다,그의 가족과 친구들은 그가 대학에 합격하기를 원하다,그의 합격,대학에 합격한다,정보
23,그는 홀인원을 기록했다,그의 기록을 축하하고 싶다,그의 비밀을 알고 싶었다,그의 성취를 축하한다,승리
24,그는 방과 후 친구들과 농구를 했다,그가 재미있게 농구를 즐기길 바라겠지,그것,그의 사교적이고 활발한 성격 때문에 그와 함께 시간을 보낸다,더 많은 참여
25,그는 곧 기분이 나아질 겄다,그의 기분이 나아지기를 바라게 되다,그는 긍정적인,무엇이든 그를 돕고 지지해준다,따뜻한 말과 관심
26,그는 커피를 머그잔에 마셨다,"그 주변 사람들은 아마도 커피를 마시는 사람들에게 커피를 제공하거나, 그가 더 필요한 것이 있는지 물어보다",그는 또한 커피,그의 향긋한 커피 향,따뜻하다
27,그는 엔진을 망가뜨렸다,그 주변 사람들은 그가 엔진을 고쳐주길 원하다,그를 고치는,엔진을 수리하거나 대체한다,공정한 보상
28,그는 새로운 새끼 고양이를 얻었다,새로운 고양이를 만나러 오고 싶다,고양이를 만나고 싶어했다,새로운 가족 구성원을 소개한다,부러운
29,그는 과거는 과거로 뒀다,그가 더 이상 그 과거에 대해 이야기하지 않았으면 좋겠어요,그는 더 나은 미래,그가 미래를 향해 나아가는 모습,변화
30,그는 새 기타를 구입했다,그의 친구들은 그가 새 기타로 연주를 해주길 원하다,그의 새 기타를 듣고 싶어했다,새로운 연주를 들려준다,부러워했다
31,그도 노력했다,그 사람에게 칭찬과 격려를 원하다,성공,그의 성공,좋은
32,그는 시간을 가졌다,그가 시간을 어떻게 활용할지에 대한 관심이 있다,그의 시간과 주변 사람들의 요구를 만족시키는,그의 도움과 지원,도움
33,그는 애완동물을 허용했다,그 주변 사람들은 애완동물을 키우고 싶어하다,그것,애완동물을 데리고 방문한다,집에서 모임
34,그는 휴대폰을 받았다,"그가 누구인지, 왜 휴대폰을 받았는지 궁금해하다",그의 휴대폰 번호,무엇인지 궁금해했다,같은
35,그는 C를 받았다,그의 가족과 친구들은 그가 더 열심히 공부하고 성적을 높일 수 있기를 바라다,더 나은 성적,그가 더 열심히 공부하고 성적을 끌어올린다,A
36,그는 TV를 구입했다,그의 주변 사람들은 TV를 보고 싶어하다,같은,아니었다,부러운
37,그는 다리를 심하게 다쳤다,그의 빠른 치료와 회복을 원하다,그가 빨리 나아지는,그가 빨리 회복하기를 바랐다,이제 그는 돌보기와 도움을 필요로 했다
38,그는 그녀의 바지에 오줌을 쌌다,그 주변 사람들은 그가 사과하고 바지를 교체하는 것을 원하다,그녀가 그것을 교체하거나 세탁해 달라고 요구했다,그녀에게 새로운 바지를 사 준다,냄새 없는
39,그는 찾을 수 없었다,그의 안전과 건강을 원하다,그의 행방을,그의 행방을 알아낸다,그의 도움
40,그는 곧 나아질 겄다,그의 건강이 빨리 회복되기를 바라겠다,그가 회복되는,그가 긍정적으로 변화한다,약간의 안정과 지지
41,그는 새 카메라를 구입했다,그의 새로운 카메라로 찍은 사진을 보고 싶어하다,새로운 카메라로 그의 사진을 찍어달라고,새로운 카메라로 찍은 사진들을 본다,새로운 사진
42,그는 어젯밤부터 시작했다,그 사람이 안전하고 건강하게 문제를 해결할 수 있기를 바라게 되다,알아듣기 쉽게 설명,그의 변화를 지켜본다,놀라운 변화
43,그는 강아지를 키우고 싶다고 했다,그의 주변 사람들은 그가 책임감 있게 강아지를 키우고 돌봐줄 것을 원하다,그의 책임감 있는 동반자심,그 그가 책임감 있게 돌볼 수 있는지에 대한 확신,놀라운
44,그는 등산했다,그가 안전하게 등산을 즐겼는지 궁금해하다,그의 안전을 위해 걱정했다,그의 안전을 위해 산악 구조대에 연락한다,안전
45,그는 휴대폰을 가지고 있었다,그의 휴대폰을 빌리고 싶어하다,그의 휴대폰 번호,그의 휴대폰 번호였다,통화
46,그는 전화 한 통을 받았다,그가 전화 내용을 공유해주기를 원하다,그것,그의 반응이 무엇인지 궁금해했다,조용하다
47,그는 더 높이 올라갔다,그의 안전을 원하다,그의 성취를 축하하기 위해 파티를 열어주었다,그의 성공을 함께 나눈다,성공
48,그는 이발이 필요했다,그 주변 사람들은 그가 머리를 깎아 달라고 원하다,깔끔한 모습,머리를 깔끔하게 정리한다,깔끔한 모습
49,그는 지갑을 집에 두고 왔다,그의 주변 사람들은 그가 지갑을 가져오도록 원하다,돈,그의 지갑을 찾아준다,무엇
50,그는 목록을 잊어버렸다,그 사람이 목록을 기억하고 필요한 것을 모두 가져왔으면 좋겠다,무엇,무엇인지 물어보고 나서야 그의 기억이 돌아왔다,미안하다
51,그는 페이지를 넘겼다,그가 무슨 책을 읽고 있는지 궁금해하다,그의 다음 행동을 예측,무엇인지 알아내기 위해 그의 행동을 주시한다,더 많은 정보
52,그는 도넛도 먹었다,그 사람이 다른 음식도 먹었는지 궁금해하다,도넛,도넛을 나눠 먹다,단순히 별다른 이유 없이 같은
53,그는 그것을 학교에 가져왔다,그것이 무엇인지 궁금해하다,그것을 볼 수 있었으면 좋겠다,무엇인지 궁금해하고 있었다,그것
54,그는 좋아하는 사람에게 물어봤다,"그 사람이 좋은 대답을 받았으면, 주변 사람들은 그가 행복해지길 바라게 되다",그가 무엇을 원했는지 궁금해했다,무엇인지 궁금해졌다,같은
55,그는 자신을 인식했다,그의 주변 사람들은 그가 자신을 받아들이고 자존감을 가질 수 있기를 원하다,그의 자신감과 능력,무엇인지 알아차렸다,이해와 지지
56,그는 새 옷을 구입했다,새 옷을 보고 싶어하다,새 옷을 보고 싶어했다,그의 새로운 옷을 보고 어디서 산지 물어본다,새 옷
57,그는 모든 인형을 외웠다,그의 친구들은 그에게 인형 이름을 물어보다,그의 능력을 볼 수 있었다,그의 뛰어난 기억력을 이용해 특정 인형을 찾아준다,그를 놀라게 했던
58,그는 훨씬 좋아 보였다,그의 건강과 행복을 원하다,그의 비밀을 알고 싶었다,그가 행복하고 건강한 삶을 살아간다,더 많은
