,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그는 이전 의자가 불편해서 새로운 의자를 구입했다.,편안한 것, 편안한 의자였기 때문이다.,"그는 편안한 것을 원했기에, 그는 새 의자를 구입했다."
1,그는 일주일 동안 아팠다,아파서 그 사건을 벌였다.,치료 받는 것을 원했기 때문이다.,휴식이었기 때문이다.,"그는 휴식을 원했기에, 그는 일주일 동안 아팠다."
2,그는 모래성을 쌓았다,그는 모래성을 쌓아서 즐거움과 창의성을 느끼고 싶었기 때문이다.,즐거운 시간을 원했기 때문이다.,바다에서 파도가 닿지 않는 안전한 곳이었기 때문이다.,"그는 아름다운 것을 원했기에, 그는 모래성을 쌓았다."
3,그는 블루베리를 따고 있었다,그는 블루베리를 따고 있었기 때문에.,달콤한 것, 신선한 블루베리를 먹기 위해서였다. 그는 자연에서 직접 딴 블루베리의 달콤함을 느끼고 싶었던 것이다.,"그는 맛있는 것을 원했기에, 그는 블루베리를 따고 있었다."
4,그는 날개를 펄럭였다,자유를 원했기 때문이다.,자유를, 하늘을 날고 싶었기 때문이다.,자유를
5,그는 심장마비가 왔다,.,그가 너무 많은 것을 원했기 때문이다., 산에서의 평화로운 휴식이었기 때문이다.,"그는 몸이 아프다고 말하지 않았기에, 그는 심장마비가 왔다."
6,그는 너무 빨리 가고 있었다,.,그가 목표를 달성하고 싶었기 때문이다., 빠르게 목적지에 도착하는 것이었기 때문이다.,"그는 너무 많은 것을 원했기에, 그는 너무 빨리 가고 있었다."
7,그는 소음이 들렸다,그는 소음이 들려서 궁금해서 그곳을 살펴보았다.,그가 큰 소리를 내는 것을 원했기 때문이다.,조용한 환경이었기 때문이다.,"그는 조용한 것을 원했기에, 그는 소음이 들렸다."
8,그는 준비를 완료했다,범행을 하기 위해.,그가 그것을 원했기 때문이다., 이미 완벽하게 준비되어 있었기 때문이다.,"그는 무엇이든지 원했기에, 그는 준비를 완료했다."
9,그는 입을 옷을 찾았다,그는 추운 날씨 때문에 입을 옷을 찾았다.,그가 특정한 것을 원했기 때문이다., 따뜻하고 스타일리시한 옷이었기 때문이다.,"그는 적절한 것을 원했기에, 그는 입을 옷을 찾았다."
10,그는 실망한 표정였다,실망한 표정을 지은 이유는 기대와 다르게 결과가 나와서였다.,그가 다른 것을 원했기 때문이다., 그가 원했던 것은 성공과 인정이었기 때문이다.,"그는 더 많은 것을 원했기에, 그는 실망한 표정이었다."
