,input,A,B,B2,B3
0,그는 새 의자를 구입했다,편안하게 앉았다,기분이 좋아졌다,이전의 오래된 의자를 버린다,편안하게 앉았다
1,그는 일주일 동안 아팠다,병원에 갔다,회복하기 위해 휴식을 취했다,병원에 간다,아무것도 먹지 않았다
2,그는 모래성을 쌓았다,해변에서 즐거운 시간을 보냈다,해변에서 즐거운 시간을 보냈다,해변에서 즐거운 시간을 보낸다,모래를 손에 묻혔다
3,그는 블루베리를 따고 있었다,자연의 아름다움을 느꼈다,손이 보라색이 되었다,그의 손이 파란색으로 물들었다,손이 보라색이었다
4,그는 날개를 펄럭였다,하늘을 날았다,하늘을 나는 기분이었다,하늘을 난다,하늘을 나는 것 같았다
5,그는 심장마비가 왔다,즉시 응급처치를 시도했다,응급처치를 받아야 했다,즉시 응급처치를 받다,갑자기 쓰러졌다
6,그는 너무 빨리 가고 있었다,속도를 줄였다,교통 위반을 저질렀다,교통사고를 당한다,교통 위반을 저질렀다
7,그는 소음이 들렸다,귀를 막았다,귀를 기울였다,주변을 둘러본다,귀를 막았다
8,그는 준비를 완료했다,안심했다,안심했다,안심한다,출발을 알렸다
9,그는 입을 옷을 찾았다,쇼핑을 나갔다,기뻐했다,기뻐한다,기뻐했다
10,그는 실망한 표정였다,실망한 표정을 지었다,훌쩍훌쩍 울었다,심호흡을 한다,우는 표정이었다
11,그는 재미있어 보였다,주변 사람들을 웃게 했다,주변 사람들을 웃게 했다,사람들을 웃게 한다,웃었다
12,그는 신에게 충성을 바쳤다,신의 지침을 따랐다,축복을 받았다,종교적 의식을 지속한다,성찬을 했다
13,그는 집에 가도 되었다,피로한 상태였다,안심하고 집으로 향했다,바로 집으로 돌아간다,일찍 퇴근했다
14,그는 학교에 갈 옷을 준비했다,학교에 갔다,아침 일찍 일어났다,책가방을 싼다,새로운 가방을 사러 나갔다
15,그는 피자 파티가 있었다,모든 이웃들을 초대했다,많은 치즈를 먹었다,맛있는 음식을 먹다,배가 부르다고 말했다
16,그는 마침내 선택했다,결심했다,안도의 한숨을 쉬었다,새로운 시작을 한다,결국 결정을 내렸다
17,그는 너무 심하게 다쳤다,병원으로 긴급하게 이송되었다,병원으로 옮겨졌다,병원으로 신속히 이동한다,병원으로 실려갔다
18,그는 몸이 아프기 시작했다,병원에 갔다,병원에 갔다,병원에 간다,씻지 않았다
19,그는 밤에 잠을 잘 이루지 못했다,불면증으로 고통받았다,다음 날 피곤해했다,다음날 피곤해한다,피곤한 표정을 지었다
20,그는 새로운 기술을 배웠다,새로운 직업을 찾았다,자신감이 생겼다,더 나은 직장을 찾다,새로운 직업을 찾았다
21,그는 황금알을 낳는 거위를 죽였다,부자가 되지 못했다,큰 실수를 저질렀다,미래에 대한 재산을 잃다,황금알을 낳는 거위를 죽였다
22,그는 대학에 지원했다,합격 소식을 받았다,입학 통지를 기다렸다,입학 결과를 기다린다,열심히 공부했다
23,그는 홀인원을 기록했다,경이로운 기록을 세웠다,친구들로부터 박수를 받았다,친구들과 자랑한다,기록을 갱신했다
24,그는 방과 후 친구들과 농구를 했다,새로운 친구들을 사귀었다,스트레스를 풀었다,신체적 활동을 즐긴다,피곤해 보였다
25,그는 곧 기분이 나아질 겄다,긍정적으로 생각했다,긍정적으로 생각했다,긍정적으로 생각한다,울음을 터뜨렸다
