,input,A,B,B2,B3
0,그는 새 의자를 구입했다,새 의자를 구입했다.,돈을 지불,가게에 가서 원하는 스타일과 색상의 의자를 고른다,돈이 필요했다
1,그는 일주일 동안 아팠다,의사를 방문하여 진단을 받아야 한다.,병원에 가서 치료를 받았다,병원에 가서 의사의 진단을 받아야 했다,건강했다
2,그는 모래성을 쌓았다,해변에서 파도가 밀려오는 것을 방지하기 위해 모래성을 쌓아야 한다.,모래를 쌓았다,모래를 모으고 층층이 쌓아 올린다,바닷물을 가져왔다
3,그는 블루베리를 따고 있었다,블루베리를 따기 위해 블루베리 농장에 가서 따야 했다.,"손을 이용하여 따거나, 따기 위한 도구를 사용했다",사과나무에 올라가서 열매를 딴다,급한 일이 있었다
4,그는 날개를 펄럭였다,비행을 위해 날개를 펄럭여야 한다.,비행 훈련을 받았다,공중에 올라간다,날아야
5,그는 심장마비가 왔다,심장마비를 예방하기 위해 규칙적인 운동을 하고 건강한 식습관을 유지해야 했다.,즉시 심폐소생술을 했다,신속한 응급처치와 심폐소생술,의료진의 도움을 받았다
6,그는 너무 빨리 가고 있었다,속도를 줄여야 했다.,조금 더 천천히 움직였다,속도를 줄인다,멈춰야
7,그는 소음이 들렸다,주변을 살피고 소음의 원인을 찾아봐야 한다.,귀를 막아야,주변을 둘러봐서 소음의 원인을 찾다,조용해야 했어
8,그는 준비를 완료했다,응답없음,노력,물을 마시고 옷을 갈아입다,빨리 가야 했다
9,그는 입을 옷을 찾았다,옷장이나 서랍을 뒤져서 입을 옷을 찾아야 한다.,가게를 돌아다니며 쇼핑,옷장을 뒤지거나 옷가게를 방문하여 적합한 옷을 찾다,급히 나갔다
10,그는 실망한 표정였다,기대했던 일이 실현되지 않아서 실망한 표정을 지었어야 한다.,노력했다,자신의 실수를 인정하고 책임을 진다,화난
11,그는 재미있어 보였다,다음의 사건이 일어나기 위해서는 그가 더 많은 이야기를 나누고 관심을 표현해야 한다.,유머를 사용했다,다른 사람들과 대화를 나눈다,웃다
12,그는 신에게 충성을 바쳤다,신에게 충성을 바치기 위해서는 그가 신의 지침과 규율을 따르고 예방하는 것이 필요하다.,헌신적으로 노력,신의 계명을 따르고 예배를 지속한다,순종했다
13,그는 집에 가도 되었다,열쇠를 가지고 있어야 했다.,키를 가지고 있었다,그의 업무를 모두 마치고 퇴근한다,먼저 일을 끝내다
14,그는 학교에 갈 옷을 준비했다,학교에 갈 옷을 입어야 한다.,옷을 골랐다,옷장을 열어서 적절한 옷을 골라야 했다,늦었다
15,그는 피자 파티가 있었다,친구들을 초대하고 피자를 주문해야 했다.,피자를 주문해서 가져왔다,피자 주문을 하고 음료수를 준비한다,요리를 배웠다
16,그는 마침내 선택했다,마침내 선택을 해야 했다.,고심,"먼저 장단점을 심사숙고하고, 자신의 욕구와 가치관을 고려해야 했다",고통을 견디다
