,input,A,B,B2,B3
0,그는 새 의자를 구입했다,새 의자를 놀라워했다,그의 취향을 칭찬했다,그의 새 의자를 이용해보고 싶어한다,부러워했다
1,그는 일주일 동안 아팠다,다른 사람들이 그를 돌봤다,그를 걱정했다,그를 위로한다,그를 걱정했다
2,그는 모래성을 쌓았다,그를 도와주기 위해 함께 모래성을 쌓았다,그의 창의력에 감탄했다,그의 예술 작품을 칭찬한다,놀라워했다
3,그는 블루베리를 따고 있었다,그를 도와주려 했다,그의 손이 보라색으로 질려있다고 말했다,그의 도와준다,그를 보고 웃었다
4,그는 날개를 펄럭였다,놀라거나 궁금해할 것이다,그가 비행을 시작했다,그의 비행을 부러워한다,놀라워했다
5,그는 심장마비가 왔다,즉시 응급 조치를 취할 것이다,응급처치를 시도했다,응급처치를 한다,충격을 받았다
6,그는 너무 빨리 가고 있었다,그를 멈추라고 경고했다,그를 따라잡지 못했다,그를 따라가려고 했다,그를 따라잡지 못했다
7,그는 소음이 들렸다,주변을 둘러보았다,궁금해했다,주변을 둘러본다,귀를 막았다
8,그는 준비를 완료했다,다음 단계로 나아갔다,안심했다,안심한다,기다렸다
9,그는 입을 옷을 찾았다,주변 사람들이 도와주기 위해 옷을 찾아주었다,그의 패션 감각을 칭찬했다,그에게 어울리는지 물어본다,그의 패션 감각에 놀라웠다
10,그는 실망한 표정였다,다른 방향으로 시선을 돌렸다,걱정했다,그에게 위로한다,그의 눈치를 보았다
11,그는 재미있어 보였다,그에게 관심을 보였다,그에게 더 가까이 다가갔다,그와 함께 시간을 보낸다,미소를 지었다
12,그는 신에게 충성을 바쳤다,경외심을 표했다,그의 신앙심에 감동했다,그의 신앙심을 존중한다,신에게 헌신했다
13,그는 집에 가도 되었다,그의 안전을 확인했다,안심했다,그를 배웅한다,안심했다
14,그는 학교에 갈 옷을 준비했다,다음 날의 일정을 계획했다,그의 취향에 대해 궁금해했다,그의 선택을 칭찬한다,그의 옷에 대해 궁금해했다
15,그는 피자 파티가 있었다,주변 사람들이 피자를 먹으러 갔다,배가 고팠다,맛있는 음식을 먹다,놀라워했다
16,그는 마침내 선택했다,안도했다,안심했다,그를 축하한다,기뻐했다
17,그는 너무 심하게 다쳤다,그를 도와주려고 했다,걱정했다,의료진을 불러 도움을 요청한다,걱정했다
18,그는 몸이 아프기 시작했다,주변 사람들이 그를 도와주기 시작했다,걱정했다,그를 도와준다,걱정했다
19,그는 밤에 잠을 잘 이루지 못했다,다음날 피곤해 보였다,그의 건강을 걱정했다,그의 건강을 걱정한다,걱정했다
20,그는 새로운 기술을 배웠다,그를 칭찬했다,궁금해했다,그에게 도움을 요청한다,그를 칭찬했다
21,그는 황금알을 낳는 거위를 죽였다,그의 선택에 충격을 받았다,그의 어리석음에 충격을 받았다,그의 욕을 낸다,그를 비난했다
22,그는 대학에 지원했다,그를 응원했다,응원했다,그가 무슨 전공을 선택했는지 궁금해한다,그를 응원했다
23,그는 홀인원을 기록했다,동경했다,그의 실력에 감탄했다,박수를 친다,그의 놀라운 기술에 감탄했다
24,그는 방과 후 친구들과 농구를 했다,그와 함께 농구를 즐겼다,그의 스포츠 실력을 놀라워했다,즐거워한다,농구를 하고 싶어했다
25,그는 곧 기분이 나아질 겄다,그를 안심시켰다,그를 격려했다,그에게 격려한다,그를 위로했다
26,그는 커피를 머그잔에 마셨다,그를 지켜보았다,그의 입맛이 까다로웠다,그의 취향을 따라 커피를 주문한다,놀라워했다
27,그는 엔진을 망가뜨렸다,주변 사람들이 그를 도와주기 위해 도구나 지식을 제공했다,그를 도와주기 위해 모였다,도와주기 위해 손을 내밀었다,실망했다
28,그는 새로운 새끼 고양이를 얻었다,기뻐했다,기뻐했다,그의 새로운 반려동물을 만나러 온다,놀라워했다
29,그는 과거는 과거로 뒀다,과거에 대한 회의적인 태도를 보였다,그의 결단력에 감탄했다,그의 결정을 지지한다,그의 과거를 묻었다
30,그는 새 기타를 구입했다,주변 사람들이 그의 새 기타를 칭찬했다,그의 연주를 듣고 싶어했다,그의 연주를 듣다,놀라워했다
31,그도 노력했다,그의 성과를 칭찬했다,그의 성과에 감탄했다,그를 칭찬한다,그의 성공을 축하했다
32,그는 시간을 가졌다,자신의 계획을 세웠다,그가 무엇을 할지 궁금해했다,그에게 도움을 요청한다,그의 도착을 기다렸다
33,그는 애완동물을 허용했다,주변 사람들이 기뻐했다,그의 관대함에 감사했다,반가워한다,기뻤다
34,그는 휴대폰을 받았다,기뻐했다,그의 손짓을 지켜보았다,부러워한다,그에게 부러워했다
35,그는 C를 받았다,부모님에게 화를 냈다,그가 더 열심히 공부해야 한다고 생각했다,그를 위로해준다,그에게 걱정했다
36,그는 TV를 구입했다,가족들이 함께 시청할 프로그램을 선택했다,부러워했다,그의 새로운 TV를 부러워한다,그가 플라즈마 TV를 구입했다
37,그는 다리를 심하게 다쳤다,그를 도와주기 위해 즉시 응급처치를 시도했다,그를 도와주려 했다,의료진을 불러 구급차를 호출한다,걱정했다
38,그는 그녀의 바지에 오줌을 쌌다,당황하고 어색해했다,놀라움을 감추지 못했다,당황한다,놀라워했다
39,그는 찾을 수 없었다,그를 찾기 위해 노력했다,걱정했다,그를 찾아 돌아다닌다,그의 지갑을 찾아봤다
40,그는 곧 나아질 겄다,그를 지지했다,희망을 가져야 한다고 생각했다,그를 지지한다,그의 상태에 걱정했다
41,그는 새 카메라를 구입했다,주변 사람들에게 새로운 사진을 찍어 달라고 부탁했다,그의 새로운 취미에 흥미로워했다,그의 새로운 사진을 본다,놀랐다
42,그는 어젯밤부터 시작했다,그에게 도움을 주려고 했다,그가 무슨 일을 하는지 궁금해했다,그를 걱정한다,피곤해 보였다
43,그는 강아지를 키우고 싶다고 했다,가족들이 동의했다,반대했다,강아지에 대한 정보를 제공한다,그에게 도움을 주기로 했다
44,그는 등산했다,그를 도와주기 위해 준비했다,그의 체력에 감탄했다,그의 체력을 칭찬한다,그의 체력에 놀라웠다
45,그는 휴대폰을 가지고 있었다,주변 사람들이 그의 휴대폰을 빌려달라고 부탁했다,그에게 전화를 걸었다,그에게 전화를 걸려 했다,그가 누구와 대화하고 있는지 궁금해했다
46,그는 전화 한 통을 받았다,주변 사람들이 그의 반응을 지켜보았다,궁금해했다,누구인지 궁금해한다,놀라워했다
47,그는 더 높이 올라갔다,그를 칭찬했다,그의 성취를 축하했다,그를 칭찬한다,그의 성공을 축하했다
48,그는 이발이 필요했다,그의 머리카락이 너무 길었다,머리를 깎아주기로 했다,머리를 깎아준다,그의 머리카락을 걱정했다
49,그는 지갑을 집에 두고 왔다,주변 사람들이 그를 도와주기 위해 돈을 빌려줬다,그를 도와주었다,그를 도와주기 위해 돈을 빌려준다,걱정했다
50,그는 목록을 잊어버렸다,그에게 도와줬다,그를 도와주었다,그에게 기억시키려고 한다,당황했다
51,그는 페이지를 넘겼다,아무런 반응을 하지 않았다,그가 빨리 읽는 것을 놀랐다,그의 손을 봐서 다음에 무엇을 할지 궁금해한다,호기심을 냈다
52,그는 도넛도 먹었다,놀라웠다,그의 식욕에 놀랐다,그가 식욕이 왕성하다는 것을 알게 되었다,축하했다
53,그는 그것을 학교에 가져왔다,궁금해하고 놀라거나 반대할 것이다,놀라워했다,그의 선택을 칭찬한다,그를 비웃었다
