,input,A,B
0,그는 새 의자를 구입했다,소비욕이 강하다,만족하다
1,그는 일주일 동안 아팠다,아프다,피곤하다
2,그는 모래성을 쌓았다,창의적이다,창의적이다
3,그는 블루베리를 따고 있었다,즐거워 보인다,자연을 즐긴다
4,그는 날개를 펄럭였다,자유롭다,자유롭다
5,그는 심장마비가 왔다,생명의 위협을 받았다,위급하다
6,그는 너무 빨리 가고 있었다,성급하다,서둘러 한다
7,그는 소음이 들렸다,짜증스럽다,예민하다
8,그는 준비를 완료했다,준비가 철저하다,자신감 있다
9,그는 입을 옷을 찾았다,깔끔하다,만족하다
10,그는 실망한 표정였다,실망한 것 같다,안타깝다
11,그는 재미있어 보였다,유머 감각이 있다,유머러스하다
12,그는 신에게 충성을 바쳤다,신앙심이 깊다,경건하다
13,그는 집에 가도 되었다,자유롭다,자유롭다
14,그는 학교에 갈 옷을 준비했다,꾸준하다,열정적이다
15,그는 피자 파티가 있었다,사교적이다,즐겁다
16,그는 마침내 선택했다,결단력이 있다,결단력 있다
17,그는 너무 심하게 다쳤다,위험하다,불쌍하다
18,그는 몸이 아프기 시작했다,불편하다,불쌍하다
19,그는 밤에 잠을 잘 이루지 못했다,불안하다,피곤하다
20,그는 새로운 기술을 배웠다,열정적이다,똑똑하다
21,그는 황금알을 낳는 거위를 죽였다,욕심이 많다,어리석다
22,그는 대학에 지원했다,미래를 위해 노력한다,미래를 준비한다
23,그는 홀인원을 기록했다,탁월한 실력을 가지고 있다,자랑스럽다
24,그는 방과 후 친구들과 농구를 했다,사교적이다,활발하다
25,그는 곧 기분이 나아질 겄다,낙심하지 않는다,낙천적이다
26,그는 커피를 머그잔에 마셨다,친환경적이다,카페인 중독자
27,그는 엔진을 망가뜨렸다,무능하다,답답하다
28,그는 새로운 새끼 고양이를 얻었다,행복하다,행복하다
29,그는 과거는 과거로 뒀다,과거를 잊었다,앞으로 나아간다
30,그는 새 기타를 구입했다,음악을 좋아한다,음악을 좋아한다
31,그도 노력했다,노력한다,열정적이다
32,그는 시간을 가졌다,여유롭다,여유롭다
33,그는 애완동물을 허용했다,동물 애호가다,관대하다
34,그는 휴대폰을 받았다,기쁘다,통신이 원활하다
35,그는 C를 받았다,성적이 낮다,실망하다
36,그는 TV를 구입했다,소비욕이 강하다,소비적이다
37,그는 다리를 심하게 다쳤다,고통스럽다,고통스럽다
38,그는 그녀의 바지에 오줌을 쌌다,부끄럽다,부끄럽다
39,그는 찾을 수 없었다,실종되었다,사라지다
40,그는 곧 나아질 겄다,희망적이다,희망적이다
41,그는 새 카메라를 구입했다,현대적이다,사진을 좋아한다
42,그는 어젯밤부터 시작했다,피곤하다,피곤하다
43,그는 강아지를 키우고 싶다고 했다,다정하다,애착있다
44,그는 등산했다,운동을 좋아하다,활동적이다
45,그는 휴대폰을 가지고 있었다,현대적이다,통신이 원활하다
46,그는 전화 한 통을 받았다,바쁘다,기쁘다
47,그는 더 높이 올라갔다,성취가 높다,용감하다
48,그는 이발이 필요했다,머리가 길다,단정하다
49,그는 지갑을 집에 두고 왔다,망각하기 쉽다,부주의하다
50,그는 목록을 잊어버렸다,부주의하다,망각력이 좋지 않다
51,그는 페이지를 넘겼다,호기심이 많다,호기심 많다
52,그는 도넛도 먹었다,식욕이 강하다,현실적이다
53,그는 그것을 학교에 가져왔다,호기심이 많다,호기심 많다
54,그는 좋아하는 사람에게 물어봤다,용기가 있다,호감을 품다
55,그는 자신을 인식했다,자기 자신을 이해하고 있다,자기애가 강하다
56,그는 새 옷을 구입했다,활기차다,자신있다
57,그는 모든 인형을 외웠다,기억력이 좋다,기억력이 뛰어나다
58,그는 훨씬 좋아 보였다,기분이 좋아 보인다,행복하다
59,그는 요리하고 싶어 하지 않았다,게으르다,게으르다
60,그는 새 자전거를 구입했다,쾌활하다,행복하다
61,그는 목줄을 사용했다,개를 키우고 있다,반려동물을 키운다
62,그는 커피를 주문했다,활기차다,졸리다
63,그는 태클을 당했다,격렬하게 공격당했다,취약하다
64,그는 그녀에게 몸을 기울였다,관심을 가지고 있다,관대하다
65,그는 오른쪽으로 향했다,오른쪽을 좋아하거나 선호한다,혼란스럽다
66,그는 배심원 의무를 위해 소환되었다,사회적 의무감이 강하다,책임감 있다
67,그는 자신을 과시했다,자만심이 강하다,자만심 많다
68,그는 쿠키도 만들었다,요리를 잘한다,다재다능하다
69,그는 유치원에 입학했다,어리다,어리석다
70,그는 구걸하러 갔다,가난하다,빈곤하다
71,그는 면도를 중단했다,귀찮다,귀찮다
72,그는 약속을 잡았다,사교적이다,바쁘다
73,그는 스스로 일을 자초했다,결단력이 있다,결단력 있다
74,그는 방과 후 축구를 했다,활동적이다,활동적이다
75,그는 그 의미를 설명했다,명확하다,명확하다
76,그는 처음 이발을 했다,경험이 없다,신선하다
77,그는 온몸에 흘리고 있었다,땀을 흘리고 있다,지루하다
78,그는 드디어 도착했다,늦었다,지치다
79,그는 그녀를 죽음으로 이끌었다,무자비하다,무자비하다
80,그는 그녀를 만나러 갔다,로맨틱하다,흥분하다
81,그는 2013년에 캠브리지로 이사했다,새로운 시작을 했다,새로운 시작을 한다
82,그는 그녀의 턱을 꽉 움켜쥐었다,분노에 찬다,폭력적이다
83,그는 어젯밤 피자를 다 먹었다,배가 고프다,배고프다
84,그는 고양이 알레르기가 있었다,알레르기가 있다,안쓰럽다
85,그는 마침내 먹이를 찾았다,만족스럽다,만족하다
86,그는 다리를 삐끗했다,취약하다,아프다
87,그는 내 머리를 때렸다,공격적이다,화가 나다
88,그는 그녀를 죽이러 갔다,폭력적이다,무자비하다
89,그는 제시간에 집에 도착했다,신뢰할 만하다,신뢰할 만하다
90,그는 저녁을 먹었다,만족스럽다,배고프다
91,오늘은 그녀의 마지막 날였다,슬프다,슬프다
92,그는 그녀가 그럴 거라고 했다,예언가다,예언력이 있다
93,그는 수상한 냄새를 맡았다,의심스럽다,의심스럽다
94,그는 엄마에게 선물했다,관대하다,다정하다
95,그는 금반지를 발견했다,운이 좋다,운이 좋다
96,그는 캠프파이어를 시작했다,활동적이다,활기차다
97,그는 보고서를 작성했다,철저하다,열심히 일한다
98,그는 '펑'하는 소리를 들었다,놀라다,놀라다
99,그는 깜짝퀴즈를 출제했다,재미있다,재미있다
100,그는 강아지를 찾았다,친근하다,따뜻하다
