,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그는 돈이 부족하여 새 의자를 구입하지 못할 수 있다.,힘든 일을 하지 않았다면,의자에 페달을 부착하는 것이었다.,"만약 그가 돈을 벌지 않았다면, 그가 새 의자를 구입했던 일은 일어나지 않았을 것이다."
1,그는 일주일 동안 아팠다,그는 감기에 걸리지 않았다.,"병원에 가지 않았다면, 일어나지 않을 수 있다", 높은 열과 심한 기침이었다.,"만약 그가 예방접종을 했다면, 그가 일주일 동안 아팠던 일은 일어나지 않았을 것이다."
2,그는 모래성을 쌓았다,비가 왔기 때문에 모래성이 무너질 수 있다.,파도에 휩쓸리겠지만,바로 파도였다. 그는 모래성을 쌓아도 파도가 밀려와서 계속해서 무너지게 되었다.,"그가 시간을 가졌다면, 그가 모래성을 쌓았던 일은 일어나지 않았을 것이다."
3,그는 블루베리를 따고 있었다,그는 블루베리를 따다가 다른 사람에 의해 방해받지 않을 수도 있다.,"그는 매우 조용히(finesse) 했다면, 일어나지 않을 수 있다.",그의 열정과 집중력이었다. 그는 블루베리를 따는 일에 완전히 몰두하여 아무것도 신경 쓰지 않았다.,"만약 비가 오지 않았다면, 그가 블루베리를 따고 있었던 일은 일어나지 않았을 것이다."
4,그는 날개를 펄럭였다,그는 인간이기 때문에 날개를 펄럭일 수 없다.,힘든 일을 한다면,내가 그의 무게를 견딜 수 없었기 때문이었다.,"그가 날개를 펄럭였다면,그가 날개를 펄럭였던 일은 일어나지 않았을 것이다."
5,그는 심장마비가 왔다,의료진의 신속한 응급조치에 의해 일어나지 않을 수 있다.,심폐소생술, 응급처치와 심폐소생술을 시도하는 것이 중요하다.,그가 심장 마비가 왔던 일은 일어나지 않았을 것이다.
6,그는 너무 빨리 가고 있었다,그는 너무 빨리 가다가 사고를 당할 수 있다.,사고, 브레이크를 밟는 것이었다.,"만약 그가 조심했다면, 그가 너무 빨리 가고 있었던 일은 일어나지 않았을 것이다."
7,그는 소음이 들렸다,그는 귀가 먼 경우에 들리지 않을 수 있다.,졸음,그의 귀를 막는 것이었다.,"만약 그가 조용했다면, 그가 소음이 들렸던 일은 일어나지 않았을 것이다."
8,그는 준비를 완료했다,그는 준비를 완료했기 때문에 사건이 일어나지 않을 수 없다.,"그는 최선을 다했다면, 일어나지 않을 수 있다.", 그의 무서운 감정들이었다.,"만약 그가 준비를 했다면,그가 준비를 완료했던 일은 일어나지 않았을 것이다."
9,그는 입을 옷을 찾았다,그는 옷장을 열어보고 찾았다.,"""그는 입을 옷을 찾았다. 이는 만약 그가 찾지 못했다면, 일어나지 않을 수 있다.""", 그의 몸이 떨리고 있었기 때문이었다.,"만약 그가 집에 머물렀다면, 그가 입을 옷을 찾았던 일은 일어나지 않았을 것이다."
10,그는 실망한 표정였다,그는 기대하지 않았기 때문에 일어나지 않을 수 있다.,실망한 일이 발생하지 않았다면,그의 자신에 대한 믿음이 부족했기 때문이었다.,"만약 그가 노력했다면,그가 실망한 표정였던 일은 일어나지 않았을 것이다."
11,그는 재미있어 보였다,그는 재미있어 보였지만 실제로는 지루한 사람일 수 있다.,"그의 농담이었다면, 일어나지 않을 수 있다.", 무서운 일이었다.,"만약 그가 웃지 않았다면, 그가 재미있어 보였던 일은 일어나지 않았을 것이다."
12,그는 신에게 충성을 바쳤다,그는 신에게 충성을 바치지 않았다.,죽음,그의 믿음이었다.,"만약 그가 신에게 충성을 바쳐야 했다면,그가 신에게 충성을 바쳤던 일은 일어나지 않았을 것이다."
13,그는 집에 가도 되었다,그는 집에 가도 되지 않을 수도 있다.,지각,그의 강한 의지였다.,"만약 그가 집에 가지 않았다면,그가 집에 가도 되었던 일은 일어나지 않았을 것이다."
