,input,A,B,B2,B3
0,그는 새 의자를 구입했다,새 의자를 구입했다.,돈을 지불,가게에 가서 원하는 스타일과 색상의 의자를 고르는 것이었다.,"돈이 필요했어야 했는데, 이는 그가 새 의자를 구입하기 위해서였다."
1,그는 일주일 동안 아팠다,의사를 방문하여 진단을 받아야 한다.,병원에 가서 치료를 받아야 했다.,병원에 가서 의사의 진단을 받아야 했다.,"건강해야 했는데, 이는 그는 일주일 동안 아프기 위해서였다."
2,그는 모래성을 쌓았다,해변에서 파도가 밀려오는 것을 방지하기 위해 모래성을 쌓아야 한다.,모래를 쌓아야 했어야 했다.,모래를 모으고 층층이 쌓아 올리는 것이었다.,"그는 바닷물을 가져와야 했는데, 이는 그는 모래성을 쌓기 위해서였다."
3,그는 블루베리를 따고 있었다,그는 블루베리를 따기 위해 블루베리 농장에 가서 따야 했다.,"손을 이용하여 따거나, 따기 위한 도구를 사용해야 했다.",블루베리를 따기 위해 그가 했어야 한 것은 사과나무에 올라가서 열매를 따는 것이었다.,"급한 일이 있었어야 했는데, 이는 그는 블루베리를 따고 있기 위해서였다."
4,그는 날개를 펄럭였다,그는 비행을 위해 날개를 펄럭여야 한다.,비행 훈련을 받아야 했다., 공중에 올라가는 것이었다.,날아야
5,그는 심장마비가 왔다,그는 심장마비를 예방하기 위해 규칙적인 운동을 하고 건강한 식습관을 유지해야 했다.,즉시 심폐소생술을 해야 했다., 신속한 응급처치와 심폐소생술이었다.,"의료진의 도움을 받아야 했는데, 이는 그는 심장마비가 오기 위해서였다."
6,그는 너무 빨리 가고 있었다,그는 속도를 줄여야 했다.,조금 더 천천히 움직여야 했다.,속도를 줄이는 것이었다. 그는 너무 빠르게 움직이고 있었기 때문에 안전을 위해 속도를 줄여야 했다.,멈춰야
7,그는 소음이 들렸다,그는 주변을 살피고 소음의 원인을 찾아봐야 한다.,귀를 막아야,주변을 둘러봐서 소음의 원인을 찾는 것이었다.,조용해야 했어
8,그는 준비를 완료했다,.,노력, 물을 마시고 옷을 갈아입는 것이었다.,"빨리 가야 했어야 했는데, 이는 그는 준비를 완료하기 위해서였다."
9,그는 입을 옷을 찾았다,그는 옷장이나 서랍을 뒤져서 입을 옷을 찾아야 한다.,가게를 돌아다니며 쇼핑, 옷장을 뒤지거나 옷가게를 방문하여 적합한 옷을 찾는 것이었다.,"그는 급히 나가야 했는데, 이는 그는 입을 옷을 찾기 위해서였다."
10,그는 실망한 표정였다,그는 기대했던 일이 실현되지 않아서 실망한 표정을 지었어야 한다.,그는 노력해야 했다.,그가 했어야 한 것은 자신의 실수를 인정하고 책임을 지는 것이었다.,화난
11,그는 재미있어 보였다,다음의 사건이 일어나기 위해서는 그가 더 많은 이야기를 나누고 관심을 표현해야 한다.,유머를 사용해야 했다.,다른 사람들과 대화를 나누는 것이었다.,"웃어야 했는데, 이는 그는 재미있어 보이기 위해서였다."
12,그는 신에게 충성을 바쳤다,신에게 충성을 바치기 위해서는 그가 신의 지침과 규율을 따르고 예방하는 것이 필요하다.,헌신적으로 노력,신의 계명을 따르고 예배를 지속하는 것이었다.,"순종해야 했는데, 이는 그는 신에게 충성을 바치기 위해서였다."
13,그는 집에 가도 되었다,그는 열쇠를 가지고 있어야 했다.,키를 가지고 있었어야 했다.,그의 업무를 모두 마치고 퇴근하는 것이었다.,"그는 먼저 일을 끝내어야 했는데, 이는 그가 집에 가도 되기 위해서였다."
14,그는 학교에 갈 옷을 준비했다,학교에 갈 옷을 입어야 한다.,옷을 골라야 했다., 옷장을 열어서 적절한 옷을 골라야 했다.,"늦었어야 했는데, 이는 그는 학교에 갈 옷을 준비하기 위해서였다."
15,그는 피자 파티가 있었다,그는 친구들을 초대하고 피자를 주문해야 했다.,피자를 주문해서 가져와야 했다.,피자 주문을 하고 음료수를 준비하는 것이었다.,"그는 요리를 배워야 했는데, 이는 그가 피자 파티가 있기 위해서였다."
16,그는 마침내 선택했다,그는 마침내 선택을 해야 했다.,고심," 먼저 장단점을 심사숙고하고, 자신의 욕구와 가치관을 고려해야 했다.","고통을 견디어야 했는데, 이는 그는 마침내 선택하기 위해서였다."
17,그는 너무 심하게 다쳤다,그는 안전장비를 착용해야 했다.,즉시 의료진의 도움을 받아야 했다., 즉시 의료진에게 도움을 요청하는 것이었다.,조심해야 했어
18,그는 몸이 아프기 시작했다,의사나 병원을 찾아서 진단과 치료를 받아야 한다.,병원에 가야 했어야 했다.,즉시 의사를 찾아가는 것이었다. 그는 자신의 건강을 우선시하고 즉시 전문가의 도움을 받아야 했다.,걷어다 주어
19,그는 밤에 잠을 잘 이루지 못했다,그는 스트레스를 줄이고 규칙적인 수면 패턴을 유지하기 위해 노력해야 한다.,이를 위해 그는 의사에게 상담을 받아야 했다.,"잠을 잘 이루기 위해 그가 했어야 한 것은 스트레스를 줄이고, 규칙적인 수면 패턴을 유지하는 것이었다. 또한 침실 환경을 편안하게 조성하고, 스마트폰과 같은 화면을 피하는 것도",불면증
20,그는 새로운 기술을 배웠다,"새로운 기술을 배웠다면, 그는 해당 기술을 사용하여 새로운 사건을 일으킬 수 있게 될 것입니다.",열심히 노력해야 했다.,노력하고 열심히 연습하는 것이다.,노력해야
21,그는 황금알을 낳는 거위를 죽였다,그는 황금알을 낳는 거위를 죽이기 위해서는 거위를 먼저 소유해야 했어야 한다.,거위를 죽이기 위해 그는 용감해야 했어야 했다.,거위를 대신할 다른 황금알을 낳는 동물을 찾는 것이었다.,"그는 무자비하게했어야 했는데, 이는 그는 황금알을 낳는 거위를 죽이기 위해서였다."
22,그는 대학에 지원했다,그는 대학에 지원서를 작성하고 제출해야 한다.,열심히 공부하여 대학에 지원했다. 이를 위해 그는 노력해야 했어야 했다.," 대학 입학 시험을 준비하고, 자기소개서와 추천서를 준비하는 것이었다.","열심히 공부해야 했어야 했는데, 이는 그는 대학에 지원하기 위해서였다."
23,그는 홀인원을 기록했다,그는 골프장에서 공을 한 번에 구멍에 넣어야 했다.,최선을 다했어야 했다., 철저한 훈련과 끊임없는 노력이었다.,"최선을 다해야 했는데, 이는 그는 홀인원을 기록하기 위해서였다."
24,그는 방과 후 친구들과 농구를 했다,그는 먼저 방과 후 친구들을 찾아서 농구를 하기로 계획해야 했다.,체력을 키워야 했다.,농구공을 가져오는 것이었다.,"그는 늦었어야 했는데, 이는 그는 방과 후 친구들과 농구를 하기 위해서였다."
25,그는 곧 기분이 나아질 겄다,"그는 긍정적인 생각을 하고, 자신에게 긍정적인 말을 해야 한다.",긍정적으로 생각해야 했다.,자신을 위로하고 긍정적으로 생각하는 것이다. 혹은 문제의 근본 원인을 찾아 해결하는 것이다.,울어야
26,그는 커피를 머그잔에 마셨다,그는 커피를 머그잔에 부어서 마셔야 했다.,커피를 머그잔에 마시기 위해 그는 물을 끓여야 했다.,커피를 내려 마시기 위해 물을 끓여야 했다.,"강한 음료를 마셔야 했는데, 이는 그는 커피를 머그잔에 마시기 위해서였다."
27,그는 엔진을 망가뜨렸다,그는 엔진을 부주의하게 다루거나 유지보수를 제대로 하지 않았어야 했다.,정기적인 엔진 점검을 해야 했다.,차량 정비소에 가서 수리를 받아야 했다.,"화가나는 것을 참아야 했는데, 이는 그는 엔진을 망가뜨리기 위해서였다."
28,그는 새로운 새끼 고양이를 얻었다,그는 동물 보호소나 사육사로부터 새끼 고양이를 입양해야 한다.,동물 보호소에 가서 입양 절차를 거쳐야 했다.,"고양이의 케어와 관리에 필요한 준비를 하는 것이었다. 이를 위해 그는 음식, 물, 화장실, 장난감 등을 구비해야 했을 것이다. 또한 새로운 가족 구성원을 위한 안전한 환경을 조성하기 위해 집","그는 농담하고 있었어야 했는데, 이는 그가 새로운 새끼 고양이를 얻기 위해서였다."
29,그는 과거는 과거로 뒀다,과거를 과거로 두고 현재에 집중해야 한다.,과거의 실수를 고쳐야 했다.,"과거의 실수와 후회에 시간을 허비하는 것이 아니라, 그 경험에서 배운 교훈을 토대로 미래를 위한 계획을 세우는 것이었다.","그는 떠나야 했는데, 이는 그는 과거는 과거로 두기 위해서였다."
30,그는 새 기타를 구입했다,그는 새 기타를 연주할 수 있도록 연습해야 한다.,돈을 모아야 했다., 기타 레슨을 듣고 연습하는 것이다.,"저축해야 했는데, 이는 그는 새 기타를 구입하기 위해서였다."
31,그도 노력했다,더 많은 자원을 확보하고 더 열심히 일해야 했다.,열심히 노력해야,자신의 능력을 최대로 발휘하는 것이었다.,"그는 성공해야 했는데, 이는 그도 노력하기 위해서였다."
32,그는 시간을 가졌다,시간을 가졌다면 그는 일어나기 위해 준비를 할 수 있었을 것이다.,계획을 세웠어야 했다., 그가 했어야 한 것은 계획을 세우고 시간을 효율적으로 활용하는 것이었다.,"늦어야 했는데, 이는 그는 시간을 가지기 위해서였다."
33,그는 애완동물을 허용했다,그는 애완동물을 허용하는 규칙이나 정책을 만들어야 한다.,반려동물을 받아들이기 위해 그는 아파트 관리사무실에 신청서를 제출했어야 했다.,애완동물에 대한 규칙을 설정하고 관리하는 것이었다.,"반대로 생각해보면, 그는 애완동물을 허용하지 않아야 했는데, 이는 그는 애완동물을 허용하기 위해서였다."
34,그는 휴대폰을 받았다,그는 휴대폰을 받은 후 전화를 걸거나 메시지를 보내야 한다.,그는 휴대폰을 받았다. 이를 위해 그는 전화를 받아야 했어야 했다.,휴대폰을 받기 위해 그가 했어야 한 것은 전화를 받는 것이었다.,기다려야
35,그는 C를 받았다,그는 더 열심히 공부하고 노력해야 했다.,열심히 공부해야 했다.,열심히 공부하는 것이었다.,"열심히 공부해야 했는데, 이는 그가 C를 받기 위해서였다."
36,그는 TV를 구입했다,그는 TV를 구입하기 위해 돈을 모아야 한다.,돈을 모아야 했다., TV를 구입하기 위해 그가 했어야 한 것은 가게를 방문하여 원하는 모델을 선택하고 가격을 확인하는 것이다.,절약해야 했어
37,그는 다리를 심하게 다쳤다,그는 안전을 위해 조심하고 주의를 기울여야 했다.,병원에 가야 했어야 했다.,즉시 의료진의 도움을 받는 것이었다. 그는 다친 부위를 안정시키고 치료를 받아야 했다.,달려야
38,그는 그녀의 바지에 오줌을 쌌다,그는 화장실을 이용하거나 기저귀를 착용해야 했다.,배가 불러서 화장실을 가지 못했어야 했다.,바지를 세탁하거나 깨끗한 바지를 찾아주는 것이었다.,"정신이 나갔어야 했는데, 이는 그는 그녀의 바지에 오줌을 싸기 위해서였다."
39,그는 찾을 수 없었다,그는 주변을 둘러보고 다른 사람들에게 도움을 요청해야 했다.,노력,그의 휴대전화를 울리는 것이었다.,"그는 찾아야 했는데, 이는 그는 찾을 수 없기 위해서였다."
40,그는 곧 나아질 겄다,그는 의사에게 진료를 받아야 한다.,노력,자신의 상황을 진지하게 받아들이고 변화를 위해 노력하는 것이다.,"타협해야 했는데, 이는 그는 곧 나아질 거기 위해서였다."
41,그는 새 카메라를 구입했다,그는 새 카메라를 구입한 후에 그 사건이 일어나기 위해서 촬영을 해야 한다.,돈을 모아야 했다.,카메라를 선택하고 가격을 비교하는 것이었다.,"절약해야 했는데, 이는 그는 새 카메라를 구입하기 위해서였다."
42,그는 어젯밤부터 시작했다,어젯밤부터 시작해서 오늘 아침까지 일을 계속해야 한다.,그는 어젯밤부터 시작했다. 이를 위해 그는 준비를 해야 했다.,어제밤부터 시작한 일을 계속해서 진행하는 것이었다.,"쉬어야 했는데, 이는 그는 어젯밤부터 시작하기 위해서였다."
43,그는 강아지를 키우고 싶다고 했다,그는 먼저 동물 보호소나 유기견 구조 단체에서 강아지를 입양하거나 구매해야 한다.,"애완동물 관련 정보를 조사하고, 적절한 품종을 선택해야 했다.","
강아지를 키우기 위해 그가 해야 했던 것은 먼저 적절한 견종을 선택하고, 강아지의 건강과 행복을 위해 충분한 관심과 사랑을 쏟아주어야 했다. 또한 강아지를 훈련시키고","그는 신중해야 했는데, 이는 그는 강아지를 키우고 싶다고 하기 위해서였다."
44,그는 등산했다,그는 등산로를 선택하고 산행 준비물을 챙겨야 했다.,등산화를 신어야 했다.,등산화를 신고 산림청이나 관리하는 기관에 등산 허가를 받아야 했다. 또한 등산로를 미리 조사하고 준비물을 챙겨야 했다.,지쳐보였어
45,그는 휴대폰을 가지고 있었다,"그는 휴대폰을 가지고 있었다면, 사건이 일어나기 위해서는 전화를 받거나 문자를 보내야 했을 것이다.",휴대폰을 가지고 있었다. 이를 위해 그는 구입해야 했어야 했다.,휴대폰을 충전하는 것이었다.,"그는 돈을 벌어야 했는데, 이는 그가 휴대폰을 가지고 있기 위해서였다."
46,그는 전화 한 통을 받았다,그는 전화를 받아야 한다.,그는 전화 한 통을 받았다. 이를 위해 그는 전화기를 들어야 했어야 했다.,전화를 받는 것이다. 그가 전화를 받았으므로 다음으로 해야 할 일은 상대방과 대화를 나누는 것이다.,"긴장했어야 했는데, 이는 그는 전화 한 통을 받기 위해서였다."
47,그는 더 높이 올라갔다,그는 계속해서 오르기 위해 더 많은 노력을 기울여야 했다.,더 많은 노력을 기울여야 했다.,더 많은 노력을 기울이고 자신의 능력을 믿는 것이었다.,"그는 포기해야 했는데, 이는 그는 더 높이 올라가기 위해서였다."
48,그는 이발이 필요했다,이발사에게 예약을 잡아야 했다.,이발사에게 가야 했다.,이발사에게 예약을 잡는 것이었다.,"머리를 자르러 가야 했는데, 이는 그는 이발이 필요하기 위해서였다."
49,그는 지갑을 집에 두고 왔다,그는 집에 돌아가서 지갑을 가져와야 한다.,그는 지갑을 집에 두고 왔다. 이를 위해 그는 실수했어야 했다.,지갑을 가져오기 위해 집에 다시 돌아가는 것이었다.,지갑
50,그는 목록을 잊어버렸다,그는 목록을 다시 작성하거나 기억하기 위해 노력해야 한다.,목록을 다시 작성해야 했어야 했다., 목록을 다시 작성하고 필요한 모든 항목을 추가하는 것이었다.,지루한 것
51,그는 페이지를 넘겼다,그는 책을 읽었어야 한다.,손가락을 사용해서 페이지를 넘겼다. 이를 위해 그는 손가락을 사용해야 했다.,페이지를 넘기 위해 그가 했어야 한 것은 손가락을 책에 대고 약간의 힘을 주는 것이었다.,"읽어야 했는데, 이는 그는 페이지를 넘기기 위해서였다."
52,그는 도넛도 먹었다,그는 도넛가게에 가서 도넛을 구매해야 했다.,도넛을 사러 가야 했어야 했다.,도넛을 사 먹었어야 했다.,배고픈(famished)
53,그는 그것을 학교에 가져왔다,학교에 그것을 가져가야 한다.,가방을 싸서 가져왔어야 했다.,그것을 학교에 가져오기 위해 그가 했어야 한 것은 학교의 규칙을 따르는 것이었다.,"그는 사과어야 했는데, 이는 그는 그것을 학교에 가져오기 위해서였다."
54,그는 좋아하는 사람에게 물어봤다,"""그는 좋아하는 사람에게 물어봐야 한다.""",이를 위해 그는 용기를 내어 물어봐야 했다.,그 사람이 무엇을 좋아하는지 알아내는 것이었다.,"그는 무엇을 해야 했는데, 이는 그는 좋아하는 사람에게 물어보기 위해서였다."
55,그는 자신을 인식했다,"자신을 인식한 후에는 자신의 감정과 욕구를 이해하고, 자기 자신을 받아들이며, 자기 자신을 존중하는 일련의 과정을 거쳐야 한다.",노력," 자신의 강점과 약점을 파악하고, 더 나은 방향으로 성장하기 위한 노력을 기울여야 했다.",달라져야
56,그는 새 옷을 구입했다,새 옷을 구입했기 때문에 그의 옷장에 새로운 옷이 추가되었다.,마트나 옷가게에 가서 쇼핑을 해야 했다., 쇼핑센터에 가서 원하는 스타일과 사이즈를 찾아보는 것이었다.,"절약해야 했는데, 이는 그는 새 옷을 구입하기 위해서였다."
57,그는 모든 인형을 외웠다,인형을 외워서 그들의 특징과 성격을 이해해야 한다.,열심히 연습, 각 인형의 이름과 특징을 기억하는 것이었다.,"열심히 공부해야 했는데, 이는 그는 모든 인형을 외우기 위해서였다."
58,그는 훨씬 좋아 보였다,더 많은 운동을 하고 건강한 식습관을 유지해야 했다.,더 많은 휴식을 취해야 했다.,그가 좀 더 휴식을 취하고 스트레스를 줄이는 것이었다.,"그는 예쁘게 차려야 했는데, 이는 그가 훨씬 좋아 보이기 위해서였다."
59,그는 요리하고 싶어 하지 않았다,그는 요리에 대한 흥미를 불러일으키기 위해 다양한 레시피를 시도해보고 새로운 요리 방법을 배워야 했다.,요리하고 싶어하지 않았다. 이를 위해 그는 다른 사람에게 요리를 부탁했어야 했다.,요리 수업을 듣거나 완성된 요리를 주문하는 것이었다.,"요리사여야 했는데, 이는 그는 요리하고 싶어 하지 않기 위해서였다."
60,그는 새 자전거를 구입했다,그는 자전거를 타고 나가야 한다.,돈을 모아야 했다.,자전거 상점을 방문하여 적합한 크기와 스타일을 선택하는 것이었다.,"저충어야 했는데, 이는 그는 새 자전거를 구입하기 위해서였다."
61,그는 목줄을 사용했다,그는 강아지를 산책시키기 위해 목줄을 사용했어야 한다.,목줄을 사용했다. 이를 위해 그는 개를 훈련했어야 했다.,목줄을 사용하기 위해 그가 했어야 한 것은 강아지를 훈련시키는 것이었다.,목줄을 사용하기 위해서였다.
62,그는 커피를 주문했다,그는 커피숍에 들어가서 커피를 주문했어야 한다.,카운터에 가서 주문, 커피 종류와 사이즈를 선택하는 것이었다.,긴장된(really nervous)
63,그는 태클을 당했다,그는 공을 가로막기 위해 상대 선수를 막아야 했다.,몸을 지키는 자세를 취해야 했다.,상황을 진정시키고 감정적으로 반응하지 않는 것이었다. 그리고 상대방과 대화를 통해 문제를 해결하는 방법을 찾아야 했다.,날렵한(fleet-footed)
64,그는 그녀에게 몸을 기울였다,그는 그녀에게 관심을 표현하고 친절한 태도를 보여야 한다.,노력,그녀를 지지해 주고 돌봐주는 것이었다.,"그는 고개를 숙여야 했는데, 이는 그녀에게 몸을 기울이기 위해서였다."
65,그는 오른쪽으로 향했다,그는 왼쪽으로 향해야 했다.,방향을 바꾸어야 했다.,왼쪽으로 돌아서는 것이었다.,"왼쪽으로 돌아야 했는데, 이는 그는 오른쪽으로 향하기 위해서였다."
66,그는 배심원 의무를 위해 소환되었다,그는 법정에서 출석하여 배심원으로 선발되어야 한다.,법정에 출석,법정에 출석하고 사건에 대한 증언을 하거나 판결을 내리는 데 참여하는 것이었다.,"배심원으로 선택되어야 했는데, 이는 그는 배심원 의무를 위해 소환되기 위해서였다."
67,그는 자신을 과시했다,다른 사람들에게 자신의 능력이나 재능을 보여주고 알리기 위해 노력했어야 한다.,노력,자신의 업적과 성취를 자세히 설명하고 증명하는 것이었다.,보람찬(fulfilling)
68,그는 쿠키도 만들었다,주방에서 재료를 준비하고 레시피를 따라 쿠키를 만들어야 한다.,재료를 준비해야 했어야 했다.,오븐을 예열하는 것이었다.,"요리사였어야 했는데, 이는 그는 쿠키도 만들기 위해서였다."
69,그는 유치원에 입학했다,그는 유치원에 지원서를 제출하고 합격해야 한다.,입학원서를 작성해야 했다.,"부모님과 함께 유치원에 대한 정보를 수집하고, 지원서를 작성하여 제출하는 것이었다.","6세여야 했는데, 이는 그는 유치원에 입학하기 위해서였다."
70,그는 구걸하러 갔다,그는 길가나 사람들이 많이 모이는 장소로 가서 돈이나 음식을 구걸해야 한다.,금전적인 지원을 받아야 했어야 했다., 돈을 받기 위해 사람들에게 호소하는 것이었다.,"먹어야 하는 식사를 놓쳤어야 했는데, 이는 그는 구걸하러 가기 위해서였다."
71,그는 면도를 중단했다,그는 면도를 중단한 후에는 다른 일을 하기 위해 준비했어야 한다.,면도기를 교체해야 했다., 면도날을 교체하는 것이었다.,"그는 면도를 해야 했는데, 이는 그는 면도를 중단하기 위해서였다."
