,input,A,B,B2,B3
0,그는 새 의자를 구입했다,편안하고 튼튼한 새로운 의자를 원할 것이다.,편안하다,새로운 공간에서 편안하게 앉을 수 있다,새로운 탁자
1,그는 일주일 동안 아팠다,"아픈 채로 일주일 동안 누워 있었으니, 아마도 편안한 휴식과 치료를 원할 것이다.",건강하다,건강해진다,휴식
2,그는 모래성을 쌓았다,해변에서 즐거운 시간을 보내고 싶을 것이다.,바다가 없는,바다가 밀려오는 것을 본다,해변에서 바다
3,그는 블루베리를 따고 있었다,블루베리를 따서 먹고 싶을 것이다.,블루베리,아마도 블루베리로 만든 디저트를 만들기 위해 블루베리를 따고 있었다,물
4,그는 날개를 펄럭였다,자유를 원할 것이다.,하늘을 날고 싶었다.,비행,날아다니는
5,그는 심장마비가 왔다,심폐소생술을 받기를 원할 것이다.,응급처치,심폐소생술,생존
6,그는 너무 빨리 가고 있었다,안전한 속도로 천천히 가는 것을 원할 것이다.,제동하다,머문다,더 많은 시간
7,그는 소음이 들렸다,조용함을 원할 것이다.,고요하다,조용한 환경,조용하다
8,그는 준비를 완료했다,성공을 원할 것이다.,출발,무엇이든 할 수 있는 상태였다,성공
9,그는 입을 옷을 찾았다,따뜻하고 편안한 옷을 원할 것이다.,다른,어울리는 스타일의 옷,따뜻하다
10,그는 실망한 표정였다,위로와 이해를 원할 것이다.,더 나은,누군가의 지지와 인정,더 많은
11,그는 재미있어 보였다,더 많은 관심과 주목을 받길 원할 것이다.,즐거운,무엇인지 알아내기 위해 그에게 더 많은 질문을 해보기로 했다,새로운 경험
12,그는 신에게 충성을 바쳤다,신으로부터 충분한 보상을 받기를 원할 것이다.,영원한 삶,높은 신의 축복과 지혜였다,보상
13,그는 집에 가도 되었다,휴식을 원할 것이다.,자유롭게 움직일,무엇이든지 할 수 있는 자유였다,집에 가도 되었기 때문에 아무것도 원하지 않았다.
14,그는 학교에 갈 옷을 준비했다,학교에 가기를 원할 것이다.,학교 가는 길에 편안한 신발,학교에 어울리는 편안하고 정장스러운 옷,새로운 옷
15,그는 피자 파티가 있었다,피자를 더 먹고 싶을 것이다.,피자,피자를 많이 먹다,피자
16,그는 마침내 선택했다,결정에 대한 확실한 지원과 인정을 원할 것이다.,그것,무엇을 얻기 위해 힘들게 선택하다,무엇
17,그는 너무 심하게 다쳤다,치료와 안정을 원할 것이다.,치료,휴식과 치료였다,치료
