,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그는 돈이 없었다,이미 너무 많은 의자를 가지고 있었다,이미 너무 많은 의자가 있다,돈이 없었다
1,그는 일주일 동안 아팠다,그는 매일 운동을 꾸준히 했다,의사에게 진찰을 받지 않았다,의사의 진단을 받지 않다,감기약을 먹었다
2,그는 모래성을 쌓았다,그는 사막 지역에 살고 있었다,바닷물이 너무 높아졌다,바닷물이 밀려와 파괴된다,해변에 갔는데 비가 내리다
3,그는 블루베리를 따고 있었다,그는 블루베리가 없는 나무 아래에 있었다,벌레에 물렸다,블루베리가 아닌 다른 식물을 따고 있다,알레르기 반응을 일으켰다
4,그는 날개를 펄럭였다,그는 사람이 아니었다,사람이 아니라 새였다,그가 사람이 아니란다,사람이었다
5,그는 심장마비가 왔다,그는 심장이 강하고 건강했다,응급실에서 신속한 처치를 받지 못했다,응급처치를 받지 못한다,의료진이 시간 내에 도착했다
6,그는 너무 빨리 가고 있었다,그는 차량이 고장나서 멈춰야 했다,교통사고를 당했다,교통사고 위험이 크다,자전거 타고 있었다
7,그는 소음이 들렸다,그는 귀가 먹었다,귀가 먼 사람이었다,귀를 막다,귀를 막았다
8,그는 준비를 완료했다,그는 시간이 부족해서 일을 완료하지 못했다,무기력증에 걸려있었다,갑작스러운 기술 문제가 발생한다,알람을 놓친다
9,그는 입을 옷을 찾았다,그는 옷장이 비어있었다,옷장을 정리했다,돈이 부족해서 새 옷을 살 수 없다,옷장을 정리하지 않았다
10,그는 실망한 표정였다,그는 대금을 받았다,좋은 소식을 듣지 못했다,자신의 능력을 계속해서 과소평가한다,상사의 칭찬을 들었다
11,그는 재미있어 보였다,그는 슬픈 일이 있었다,우울증에 시달리고 있었다,그는 심각한 우울증을 겪고 있다,슬픈 이야기를 들었다
12,그는 신에게 충성을 바쳤다,그는 무신론자였다,다른 신을 숭배했다,그의 믿음이 깊다,무신론자였다
13,그는 집에 가도 되었다,그는 집에 가면 위험에 노출될 것이다,엄마의 허락을 받았다,집이 화재로 인해 불타버리다,교통 정체 때문에 늦었다
14,그는 학교에 갈 옷을 준비했다,그는 집에서 계속해서 공부했다,집에 갇혀 있었다,옷이 세탁기에 넣어져 있다,집에 갇혀 있었다
15,그는 피자 파티가 있었다,그는 밀가루 알레르기가 있었다,금식 중이었다,식중독이라도 난다,금식 중이었다
16,그는 마침내 선택했다,그는 영원히 고민 중이었다,너무 많은 옵션이 있었다,다른 사람들의 간섭이 없다,결정을 내리지 못했다
