,input,A,B,B2,B3
0,그는 새 의자를 구입했다,만족했다,그는 새 의자를 구입했다. 따라서 그는 편안함을 느꼈다,그는 새 의자를 구입했다. 따라서 그가 느꼈던 것은 편안함과 만족감이었다는 것이다,"그는 만족했다는 것을 느꼈는데, 왜냐하면 그가 새 의자를 구입했기 때문이다"
1,그는 일주일 동안 아팠다,피곤하고 지친 기분이었다,그는 일주일 동안 아팠다. 따라서 그는 피곤하고 지친 것을 느꼈다,그는 일주일 동안 아팠다. 따라서 그가 느꼈던 것은 지친 것이다,"그는 피곤했다는 것을 느꼈는데, 왜냐하면 그가 일주일 동안 아팠기 때문이다"
2,그는 모래성을 쌓았다,즐거웠다,그는 모래성을 쌓았다. 따라서 그는 즐거웠다는 것을 느꼈다,그는 모래성을 쌓았다. 따라서 그가 느꼈던 것은 놀랐다는 것이다,"그는 즐거웠다는 것을 느꼈는데, 왜냐하면 그가 모래성을 쌓았기 때문이다"
3,그는 블루베리를 따고 있었다,즐거웠다,그는 블루베리를 따고 있었다. 따라서 그는 행복했다는 것을 느꼈다,그는 블루베리를 따고 있었다. 따라서 그가 느꼈던 것은 평온했다는 것이다,"그는 행복했다는 것을 느꼈는데, 왜냐하면 그가 블루베리를 따고 있었기 때문이다"
4,그는 날개를 펄럭였다,자유로웠다,그는 날개를 펄럭였다. 따라서 그는 자유로웠다는 것을 느꼈다,그는 날개를 펄럭였다. 따라서 그가 느꼈던 것은 자유로웠다는 것이다,"그는 자유로웠다는 것을 느꼈는데, 왜냐하면 그가 날개를 펄럭였기 때문이다"
5,그는 심장마비가 왔다,두려움과 절망에 휩싸였다,그는 심장마비가 왔다. 따라서 그는 의료진의 도움이 필요하다는 것을 느꼈다,그는 심장마비가 왔다. 따라서 그가 느꼈던 것은 즉각적인 응급처치가 필요하다는 것이다,"그는 두려웠다는 것을 느꼈는데, 왜냐하면 그가 심장마비가 왔기 때문이다"
6,그는 너무 빨리 가고 있었다,두려웠다,그는 너무 빨리 가고 있었다. 따라서 그는 위험을 감지했다는 것을 느꼈다,그는 너무 빨리 가고 있었다. 따라서 그가 느꼈던 것은 조심해야 한다는 것이다,"그는 두려웠다는 것을 느꼈는데, 왜냐하면 그가 너무 빨리 가고 있었기 때문이다"
7,그는 소음이 들렸다,불안했다,그는 소음이 들렸다. 따라서 그는 놀랐다는 것을 느꼈다,그는 소음이 들렸다. 따라서 그가 느꼈던 것은 놀랐다는 것이다,"그는 깜짝 놀랐다는 것을 느꼈는데, 왜냐하면 그가 소음이 들렸기 때문이다"
8,그는 준비를 완료했다,안심했다,그는 준비를 완료했다. 따라서 그는 안심했다는 것을 느꼈다,그는 준비를 완료했다. 따라서 그가 느꼈던 것은 안도와 만족감이었다는 것이다,"그는 안심했다는 것을 느꼈는데, 왜냐하면 그가 준비를 완료했기 때문이다"
9,그는 입을 옷을 찾았다,고맙다고 생각했다,그는 입을 옷을 찾았다. 따라서 그는 만족스러웠다는 것을 느꼈다,그는 입을 옷을 찾았다. 따라서 그가 느꼈던 것은 안도되었다는 것이다,"그는 안도했다는 것을 느꼈는데, 왜냐하면 그가 입을 옷을 찾았기 때문이다"
10,그는 실망한 표정였다,그는 자신의 노력이 물거품이 되었다고 생각했다,그는 실망한 표정이었다. 따라서 그는 좌절했다는 것을 느꼈다,그는 실망한 표정이었다. 따라서 그가 느꼈던 것은 좌절감이었다는 것이다,"그는 우울했다는 것을 느꼈는데, 왜냐하면 그가 실망한 표정이었기 때문이다"
11,그는 재미있어 보였다,즐거워했다,그는 재미있어 보였다. 따라서 그는 즐거웠다는 것을 느꼈다,그는 재미있어 보였다. 따라서 그가 느꼈던 것은 기뻤다는 것이다,"그는 호기심이 생겼다는 것을 느꼈는데, 왜냐하면 그가 재미있어 보였기 때문이다"
12,그는 신에게 충성을 바쳤다,신앙심이 깊었다,그는 신에게 충성을 바쳤다. 따라서 그는 안심했다는 것을 느꼈다,그는 신에게 충성을 바쳤다. 따라서 그가 느꼈던 것은 안심이었다는 것이다,"그는 평화로웠다는 것을 느꼈는데, 왜냐하면 그가 신에게 충성을 바쳤기 때문이다"
13,그는 집에 가도 되었다,안도했다,그는 집에 가도 되었다. 따라서 그는 안심했다는 것을 느꼈다,그는 집에 가도 되었다. 따라서 그가 느꼈던 것은 안도되었다는 것이다,"그는 안심되었다는 것을 느꼈는데, 왜냐하면 그가 집에 가도 되었기 때문이다"
14,그는 학교에 갈 옷을 준비했다,기대했다,그는 학교에 갈 옷을 준비했다. 따라서 그는 설레임을 느꼈다,그는 학교에 갈 옷을 준비했다. 따라서 그가 느꼈던 것은 설렜다는 것이다,"그는 설레었다는 것을 느꼈는데, 왜냐하면 그가 학교에 갈 옷을 준비했기 때문이다"
15,그는 피자 파티가 있었다,즐거웠다,그는 행복했다는 것을 느꼈다,그는 행복했다는 것이다,"그는 배고프다는 것을 느꼈는데, 왜냐하면 그가 피자 파티가 있었기 때문이다"
16,그는 마침내 선택했다,결정을 내렸다,그는 마침내 선택했다. 따라서 그는 안도했다는 것을 느꼈다,그는 마침내 선택했다. 따라서 그가 느꼈던 것은 안도감이었다는 것이다,"그는 안도감을 느꼈다는 것을 느꼈는데, 왜냐하면 그가 마침내 선택했기 때문이다"
17,그는 너무 심하게 다쳤다,애타웠다,그는 너무 심하게 다쳤다. 따라서 그는 안타까웠다는 것을 느꼈다,그는 너무 심하게 다쳤다. 따라서 그가 느꼈던 것은 아프다는 것이다,"그는 아프다는 것을 느꼈는데, 왜냐하면 그가 너무 심하게 다쳤기 때문이다"
18,그는 몸이 아프기 시작했다,불안했다,그는 몸이 아프기 시작했다. 따라서 그는 걱정되었다는 것을 느꼈다,그는 몸이 아프기 시작했다. 따라서 그가 느꼈던 것은 건강에 대해 걱정하고 있었다는 것이다,"그는 불안했다는 것을 느꼈는데, 왜냐하면 그가 몸이 아프기 시작했기 때문이다"
