,input,A,B,B2,B3
0,그는 새 의자를 구입했다,가구 가게에 갔다,가구 가게에 갔다,예산을 계획한다,돈을 모았다
1,그는 일주일 동안 아팠다,의사를 찾아뵀다,병원에 갔다,병원에 간다,백신을 맞았다
2,그는 모래성을 쌓았다,모래성을 만들 수 있는 모래를 찾았다,모래를 가지고 있었다,모래를 모은다,모래를 긁다
3,그는 블루베리를 따고 있었다,블루베리 농장에 갔다,바구니를 가져왔다,바구니에 담다,바구니를 가져왔다
4,그는 날개를 펄럭였다,비행기를 타고 있었다,공중에 올라갈 수 있도록 노력했다,비행기를 탄다,날아다닐 수 있었다
5,그는 심장마비가 왔다,즉시 응급처치를 받았다,응급처치를 받았다,응급처치를 받다,심장마비가 올 것을 예상했다
6,그는 너무 빨리 가고 있었다,속도를 줄였다,속도를 줄이기 위한 교통법규를 알고 있었다,속도를 줄인다,속도를 줄였다
7,그는 소음이 들렸다,귀를 귀담았다,귀를 기울였다,주변을 살펴본다,문을 열다
8,그는 준비를 완료했다,시험을 보러 갔다,계획을 세웠다,계획을 세우고 필요한 물품을 준비한다,계획을 세웠다
9,그는 입을 옷을 찾았다,옷장을 뒤져봤다,옷장을 정리했다,옷장을 정리한다,옷장을 정리했다
10,그는 실망한 표정였다,그 기대를 졌다,좋지 않은 소식을 들었다,기대했던 일이 실패한 것을 받아들인다,실망한 표정을 지다
11,그는 재미있어 보였다,웃음을 잘다,웃음을 참지 않았다,웃음을 짓다,웃다
12,그는 신에게 충성을 바쳤다,종교를 신봉했다,헌신적으로 기도했다,제사를 지낸다,제물을 바쳤다
13,그는 집에 가도 되었다,열쇠를 가지고 있었다,허락을 받았다,일을 끝내고 나온다,열쇠를 가지고 있었다
14,그는 학교에 갈 옷을 준비했다,출근할 옷을 선택했다,옷장을 뒤져보았다,샤워를 한다,옷장을 정리했다
15,그는 피자 파티가 있었다,피자를 주문했다,그는 피자를 주문했다,그는 피자를 주문한다,피자를 시켰다
16,그는 마침내 선택했다,올바른 길을 선택했다,모든 옵션을 고려했다,장담한다,결정을 내렸다
17,그는 너무 심하게 다쳤다,의료진에게 도움을 요청했다,응급실에 갔다,그는 응급실을 찾아간다,안전장비를 착용했다
18,그는 몸이 아프기 시작했다,의사를 찾았다,의사를 찾아뵙다,의사에게 진료를 받다,의사를 찾아뵙다
19,그는 밤에 잠을 잘 이루지 못했다,스트레스를 관리했다,스트레스 관리를 했다,스트레스를 관리한다,창문을 닫았다
20,그는 새로운 기술을 배웠다,학습 자료를 찾아봤다,그는 책을 읽었다,꾸준한 연습과 노력이다,컴퓨터를 잘 다룰 수 있었다
21,그는 황금알을 낳는 거위를 죽였다,황금알을 기다렸다,탐욕에 사로잡혔다,거위를 돌본다,거위를 찾았다
22,그는 대학에 지원했다,학교 성적표와 지원서를 제출했다,자기소개서를 작성했다,입학 자격을 확인한다,시험을 공부했다
23,그는 홀인원을 기록했다,그는 골프를 치러 갔다,정확한 클럽을 선택했다,골프를 연습한다,빠르게 달렸다
24,그는 방과 후 친구들과 농구를 했다,방과 후 활동에 참여했다,공을 가져왔다,농구공을 가져온다,농구공을 가져왔다
25,그는 곧 기분이 나아질 겄다,긍정적인 생각을 했다,긍정적으로 생각했다,긍정적으로 생각한다,웃었다
26,그는 커피를 머그잔에 마셨다,커피를 내려놓은 머그잔을 가져왔다,뜨거운 물을 붓고 스푼으로 저다,커피를 내린다,머그잔을 살펴봤다
27,그는 엔진을 망가뜨렸다,차량을 제대로 관리했다,수리를 부탁했다,자동차를 제대로 관리한다,오일을 교환했다
28,그는 새로운 새끼 고양이를 얻었다,동물 보호소에서 입양했다,돌봐 줄 시간과 에너지가 있다,동물병원에 간다,고양이 사료를 샀다
29,그는 과거는 과거로 뒀다,과거를 잊었다,용서했다,용서한다,그 일을 잊어버렸다
30,그는 새 기타를 구입했다,돈을 모았다,여러 가게를 돌아다녀 봤다,돈을 모아서 사다,돈을 모았다
31,그도 노력했다,더 많은 시간을 투자했다,열심히 일했다,자신의 능력을 발휘한다,열심히 일했다
32,그는 시간을 가졌다,시간을 관리했다,시계를 착용했다,계획을 세운다,일을 그만두다
33,그는 애완동물을 허용했다,동물을 입양했다,집주인에게 허락을 받았다,집주인에게 허락을 받다,집주인에게 허락을 받았다
34,그는 휴대폰을 받았다,전화를 받았다,전화를 받았다,전화번호를 알고 있다,전화를 받았다
35,그는 C를 받았다,열심히 공부하지 않았다,열심히 공부했다,열심히 공부한다,열심히 공부했다
36,그는 TV를 구입했다,돈을 가지고 있었다,돈을 모았다,돈을 모아서 사다,돈을 모았다
37,그는 다리를 심하게 다쳤다,높은 곳에서 떨어졌다,응급실에 갔다,의사를 찾아간다,조심했다
38,그는 그녀의 바지에 오줌을 쌌다,화장실을 갔다,화장실을 갔다,그는 화장실에 가는 것을 참다,화장실에 갔다
39,그는 찾을 수 없었다,숨어 있었다,전화를 껐었다,자신의 위치를 알려준다,뒤를 돌아봤다
40,그는 곧 나아질 겄다,의사를 찾아봤다,휴식을 취했다,그는 적절한 치료를 받다,의사에게 진찰을 받았다
41,그는 새 카메라를 구입했다,돈을 모았다,돈을 모았다,예산을 계획한다,돈을 모았다
42,그는 어젯밤부터 시작했다,그는 계획을 세웠다,계획을 세웠다,일찍 잔다,알람을 맞췄다
43,그는 강아지를 키우고 싶다고 했다,강아지를 입양했다,돌봐 줄 시간과 에너지가 있다,돌봄과 관리에 대한 책임감을 가진다,집에서 반려동물을 키울 수 있는 환경을 만들다
44,그는 등산했다,등산로를 찾았다,산에 올라갈 수 있는 장비를 갖고 있었다,산 모험을 위한 장비를 준비한다,등산화를 신다
45,그는 휴대폰을 가지고 있었다,전화를 받을 수 있었다,계약을 했다,전화번호를 기억한다,지갑을 가져왔다
46,그는 전화 한 통을 받았다,전화를 받았다,핸드폰을 켜놓고 있었다,전화를 받다,전화를 켜두었다
47,그는 더 높이 올라갔다,더 높은 산을 오르기 위해 노력했다,계단을 올라갔다,계단을 오른다,계단을 올라갔다
48,그는 이발이 필요했다,이발사에게 예약을 했다,이발사에게 전화를 걸다,그는 이발사 가게를 찾아간다,머리를 다듬다
49,그는 지갑을 집에 두고 왔다,집에서 지갑을 가져왔다,현금을 가지고 있었다,지갑을 가져온다,지갑을 가져왔다
50,그는 목록을 잊어버렸다,목록을 작성했다,다시 확인했다,그는 목록을 다시 확인한다,메모를 썼다
51,그는 페이지를 넘겼다,이전 페이지를 읽었다,손가락을 이용했다,책을 읽다,책을 더 읽었다
52,그는 도넛도 먹었다,도넛을 사왔다,근처에 도넛 가게를 찾아봤다,식이요법을 무시한다,가게에 들렀다
53,그는 그것을 학교에 가져왔다,학교에 가지고 갈 수 있는 물건을 준비했다,허락을 받았다,가방에 넣다,책을 가져왔다
54,그는 좋아하는 사람에게 물어봤다,데이트를 하고 싶다고 말했다,용기를 냈다,용기를 낸다,그녀의 전화번호를 물어봤다
55,그는 자신을 인식했다,자기 자신을 탐구했다,내면을 탐구했다,내면을 탐구한다,거울을 보았다
56,그는 새 옷을 구입했다,돈을 벌었다,그는 쇼핑을 했다,그는 쇼핑센터에 가서 옷을 고른다,돈을 모았다
57,그는 모든 인형을 외웠다,모든 인형을 연습했다,많은 시간을 투자했다,시간을 많이 투자한다,이름을 외웠다
58,그는 훨씬 좋아 보였다,더 많은 휴식을 취했다,그는 휴식을 취했다,휴식을 취한다,좀 더 정성스럽게 옷을 입었다
59,그는 요리하고 싶어 하지 않았다,외식을 하고 싶어했다,배달 음식을 시켰다,배달 음식을 시켜먹다,요리를 배웠다
60,그는 새 자전거를 구입했다,돈을 모았다,저축을 했다,돈을 모아서 구매한다,돈을 모았다
61,그는 목줄을 사용했다,강아지를 산책시켰다,강아지를 데리고 나갔다,개를 산책시킨다,개를 키우고 있었다
62,그는 커피를 주문했다,돈을 가지고 있었다,메뉴를 살펴봤다,메뉴를 확인한다,메뉴를 보았다
63,그는 태클을 당했다,공격을 피했다,더 강한 방어 기술을 배웠다,더 강한 수비 자세를 취한다,공을 가로막았다
64,그는 그녀에게 몸을 기울였다,그녀에게 관심을 보였다,사려 깊은 표정을 지다,그녀의 이야기에 집중한다,그녀에게 더 관심을 보였다
65,그는 오른쪽으로 향했다,오른쪽으로 돌았다,왼쪽을 먼저 봤다,왼쪽으로 향한다,왼쪽으로 돌았다
66,그는 배심원 의무를 위해 소환되었다,재판에 참석했다,출석했다,출석한다,본인의 신분증을 가져왔다
67,그는 자신을 과시했다,자신의 업적을 자랑했다,자신의 성과를 언급했다,자신의 업적을 언급한다,자신의 이력서를 보여줬다
68,그는 쿠키도 만들었다,재료를 구비했다,레시피를 찾아봤다,레시피를 찾다,레시피를 찾아봤다
69,그는 유치원에 입학했다,부모님의 동의를 얻었다,등록을 했다,학교에 등록한다,접종을 받았다
70,그는 구걸하러 갔다,도난을 저질렀다,길가에 서서 사람들에게 돈을 요구했다,돈이 필요하다,돈을 벌다
71,그는 면도를 중단했다,수염을 자랑했다,수염을 기르기로 결심했다,수염을 기르기 시작한다,수염을 기르기로 했다
72,그는 약속을 잡았다,약속 장소와 시간을 정했다,일정을 확인했다,상대방과 일정을 조율한다,전화를 했다
73,그는 스스로 일을 자초했다,자초한 이유가 있었다,다른 직장을 찾아봤다,계획을 세운다,사업을 시작했다
74,그는 방과 후 축구를 했다,방과 후 축구팀에 가입했다,축구화를 신었다,축구화를 신다,축구화를 가져왔다
75,그는 그 의미를 설명했다,그 상황에 대해 알고 있었다,예시를 들다,상황을 잘 이해한다,자세히 말했다
76,그는 처음 이발을 했다,이발기를 사용했다,이발사에게 가르침을 받았다,머리를 씻다,이발기를 샀다
77,그는 온몸에 흘리고 있었다,옷을 갈아입었다,씻다,옷을 갈아입다,땀을 닦았다
78,그는 드디어 도착했다,목적지를 알고 있었다,길을 물어봤다,길을 찾다,비행기를 탑승했다
79,그는 그녀를 죽음으로 이끌었다,그녀를 살렸다,계획을 세웠다,계획을 세운다,그녀를 살렸다
80,그는 그녀를 만나러 갔다,그녀의 연락처를 알고 있었다,미리 약속을 잡았다,그녀와 만날 장소를 정한다,차를 운전했다
81,그는 2013년에 캠브리지로 이사했다,캠브리지에서 집을 구매했다,집을 팔았다,집을 팔고 이사 준비를 한다,캠브리지 대학교에 지원했다
82,그는 그녀의 턱을 꽉 움켜쥐었다,그녀와 싸웠다,분노에 찬 얼굴을 하고 있었다,분노 조절 프로그램에 참여한다,그녀를 더 강하게 했다
83,그는 어젯밤 피자를 다 먹었다,어젯밤 피자를 주문했다,배가 고팠다,배가 고팠기 때문에 피자를 시켜 먹다,식사를 거르고 운동을 했다
84,그는 고양이 알레르기가 있었다,고양이를 만나러 갔다,고양이와 가까이 다가가지 않았다,고양이와 가까이 다가가지 않다,고양이를 만지기 시작했다
85,그는 마침내 먹이를 찾았다,먹이를 찾기 위해 오랜 시간을 뒤졌다,오랫동안 사냥을 했다,주변을 둘러본다,사냥을 시작했다
86,그는 다리를 삐끗했다,조심하지 않았다,의사에게 진찰을 받았다,그는 다리를 쉬어야 한다,더 조심했다
87,그는 내 머리를 때렸다,화를 일으킬 이유가 있었다,화가 나 있었다,사과한다,화를 냈다
88,그는 그녀를 죽이러 갔다,범죄를 저질렀다,무기를 가지고 있었다,계획을 세운다,총을 쏘러 갔다
89,그는 제시간에 집에 도착했다,버스를 탔다,교통체증을 피했다,교통 상황을 확인한다,버스를 탔다
90,그는 저녁을 먹었다,식사를 준비했다,요리를 준비했다,그는 요리를 한다,식사 준비를 했다
91,오늘은 그녀의 마지막 날였다,이직을 했다,그는 작별 인사를 했다,그녀에게 작별 인사를 한다,작별 인사를 했다
92,그는 그녀가 그럴 거라고 했다,그녀를 잘 알았다,그녀를 잘 알고 있었다,그녀를 잘 알고 있다,미리 말했다
93,그는 수상한 냄새를 맡았다,주변을 살펴봤다,주변을 살펴봤다,주변을 살펴본다,창문을 열다
94,그는 엄마에게 선물했다,선물을 샀다,돈을 모았다,엄마의 취향을 알아본다,꽃을 샀다
95,그는 금반지를 발견했다,보석을 찾기 위해 지하에서 탐사를 했다,흙을 팠다,주인을 찾다,지갑을 챙겼다
96,그는 캠프파이어를 시작했다,나무와 시장을 준비했다,장작을 모아왔다,장작을 모은다,장작을 준비했다
97,그는 보고서를 작성했다,자료를 조사하고 분석했다,연구를 했다,연구를 수행한다,연구를 더 했다
98,그는 '펑'하는 소리를 들었다,무언가가 터졌다,귀가 예민했다,폭죽을 터뜨린다,풍선을 불다
99,그는 깜짝퀴즈를 출제했다,문제를 만들다,문제를 준비했다,정답을 알고 있다,문제를 준비했다
100,그는 강아지를 찾았다,동물 보호소에 갔다,동물 보호소에 전화했다,주변을 둘러본다,주인을 따라다녔다
101,그는 고양이를 좋아했다,고양이를 입양했다,고양이를 키웠다,그는 고양이를 키운다,고양이를 안았다
102,그는 하루 종일 게임을 했다,게임을 다운로드했다,자유시간이 많았다,쉬지 않고 화면을 바라본다,일을 쉬다
103,그는 나중에 질문했다,이해를 하고 있었다,시간을 냈다,내용을 이해한다,메모를 써놓았다
104,그는 지갑을 돌려받았다,지갑을 잃어버렸다,분실 보고서를 작성했다,분실 보고서를 작성한다,잃어버린 지갑을 찾았다
105,그는 그것을 학교에 가져갔다,책가방에 넣었다,허락을 받았다,가방에 넣다,숙제를 했다
106,그는 무릎을 다쳤다,조심하지 않았다,의사에게 진찰을 받았다,조심하고 안전을 유지한다,조심했다
107,그는 갑자기 기억이 났다,과거에 있었던 일을 상기시켰다,일기를 썼다,과거의 일들을 다시 상기시킨다,명상을 했다
108,그는 아이와 함께 놀 수 있었다,아이를 돌봤다,시간을 냈다,아이의 관심을 끌 수 있는 놀이를 찾다,놀이를 준비했다
109,그는 처음에는 어떻게 해야 할지 몰랐다,도움을 요청했다,조언을 구했다,조언을 구한다,조언을 구했다
110,그는 심지어 케이크도 만들었다,케이크 재료를 샀다,레시피를 찾아봤다,레시피를 찾아본다,레시피를 찾아봤다
111,그는 손을 들었다,질문에 대답하기 위해 주목을 받기를 원했다,질문을 준비했다,질문에 대한 답변을 준비한다,질문에 답했다
112,그는 입을 적셨다,물을 마셨다,치아를 닦았다,칫솔을 사용한다,말을 멈추다
113,그는 새 고양이를 입양했다,동물 보호소를 방문했다,동물 보호소에 방문했다,동물 보호소에 방문한다,동물 보호소에 갔다
114,그는 정리를 잘했다,정리를 시작했다,청소도구를 사용했다,시간을 들인다,정리를 좀 더 열심히 했다
115,그는 그 높이에서 더 크고 무거워 보였다,더 작고 가벼워 보이게끔 옷을 입었다,아래에 있는 사람들보다 더 큰 옷을 입었다,운동을 많이 한다,키가 크고 굵다
116,그는 눈물이 날 지경였다,슬픈 이야기를 들었다,슬픈 이야기를 들었다,슬픈 이야기를 듣고 있다,웃었다
117,그는 놀고 싶지 않아 했다,숙제를 했다,피곤했다,피곤하다,집에 가고 싶어 했다
118,그는 평화롭게 잠을 잤다,스트레스를 풀기 위해 충분한 휴식을 취했다,스트레스가 없었다,스트레스를 푼다,방을 잠그다
119,그는 종이에 물감을 묻혔다,그림을 그렸다,그림을 그렸다,붓을 사용한다,그림을 그렸다
120,그는 칠면조를 넣었다,조리법을 찾아봤다,조리법을 찾아보았다,오븐을 예열한다,오븐을 예열했다
121,그는 다시 전화를 받았다,전화를 끊지 않았다,핸드폰을 손에 쥐고 있었다,항상 전화를 받을 준비가 되어 있다,전화를 끊지 않았다
122,그는 눈사람을 만들었다,눈을 모았다,눈을 모았다,그는 눈을 모아야 했다,눈을 쌓았다
123,그는 결국 쓰러졌다,의사를 찾아봤다,더 힘을 냈다,안전모를 착용한다,더 많이 휴식을 취했다
124,그는 곧 집으로 돌아갔다,차를 운전했다,일찍 퇴근했다,일을 마치고 나온다,일찍 일어났다
125,그는 새 보트를 구입했다,돈을 모았다,돈을 모았다,예산을 계획한다,저축을 했다
126,그는 쇼핑하러 가고 싶다고 했다,돈을 가지고 있다,돈을 갖고 있었다,그는 쇼핑 목록을 작성한다,돈을 가지고 있었다
127,그는 소파에서 낮잠을 자고 있었다,그는 피곤해서 낮잠을 잤다,피곤했다,TV를 끈다,퇴근했다
128,그는 혼자서 저녁을 먹었다,식사를 했다,요리를 할 줄 알았다,요리를 한다,식당에서 예약을 했다
129,그는 잠이 들었다,침대에 누웠다,편안한 침대에서 누웠다,편안한 침대에서 누워 있다,차를 마셨다
130,그는 술을 너무 많이 마셨다,술을 마시지 말았다,술을 줄이거나 멈췄다,자제한다,술을 너무 많이 마셨다
131,그는 매일 아침 눈을 떴다,잠에서 깼다,잠을 잤다,잠에서 깬다,알람을 맞췄다
132,그는 그녀의 셔츠 단추를 풀었다,그녀의 허락을 받았다,용기를 냈다,그녀의 허락을 받다,손을 쓸다
133,그는 새 타이어가 필요했다,타이어 가게에 갔다,돈을 모았다,자동차 수리점을 방문한다,타이어를 교체했다
134,그는 자신의 알람을 설정했다,그는 내일 일찍 일어났다,일찍 일어났다,시간을 정한다,일찍 일어났다
135,그는 선택의 폭을 좁혔다,더 많은 옵션을 제거했다,조건을 제한했다,자신의 욕망을 명확히 한다,결정을 내렸다
136,그는 직원을 해고했다,해고 이유를 가지고 있다,경고를 했다,그는 직원과의 피드백을 주고 받다,경고를 내렸다
137,그는 발진이 생겼다,의사를 찾아뵙었다,약을 바르거나 병원에 갔다,의사에게 상담을 받다,알러지 반응이 있었다
138,그는 집에 가서 옷을 갈아입어야 했다,집에 도착했다,시간을 냈다,옷장에서 적절한 옷을 고른다,집에 가는 길을 찾았다
139,그는 정말 착해 보였다,다른 사람들을 도와줬다,다른 사람들을 도와주고 있었다,다른 사람을 도와준다,기부를 했다
140,그는 알림을 받았다,전화나 메시지를 확인했다,핸드폰을 확인했다,핸드폰을 확인한다,전화를 켜두다
141,그는 아버지와 함께 낚시하러 갔다,낚싯대를 가져갔다,낚싯대를 가져왔다,낚시 도구를 준비한다,낚시대를 챙겼다
142,그는 아기를 안고 있었다,아기를 키울 계획을 세웠다,아기가 있었다,아기를 품다,아기를 놓앴다
143,그는 기분이 나빠지기 시작했다,의사에게 상담을 받았다,어디선가 틀렸다고 생각했다,의사에게 상담을 받다,약을 먹다
144,그는 새집을 지었다,건축가나 건설 업체와 협력했다,건축가에게 도움을 청했다,건축가와 상의한다,건축가를 고용했다
