,input,A,B,B2,B3
0,그는 새 의자를 구입했다,만족했다,편안함,편안함과 만족감이었다,만족했다
1,그는 일주일 동안 아팠다,피곤하고 지친 기분이었다,피곤하고 지치다,지치다,피곤했다
2,그는 모래성을 쌓았다,즐거웠다,즐거웠다,놀랐다,즐거웠다
3,그는 블루베리를 따고 있었다,즐거웠다,행복했다,평온했다,행복했다
4,그는 날개를 펄럭였다,자유로웠다,자유로웠다,자유로웠다,자유로웠다
5,그는 심장마비가 왔다,두려움과 절망에 휩싸였다,의료진의 도움이 필요하다,즉각적인 응급처치가 필요하다,두려웠다
6,그는 너무 빨리 가고 있었다,두려웠다,위험을 감지했다,조심해야 한다,두려웠다
7,그는 소음이 들렸다,불안했다,놀랐다,놀랐다,깜짝 놀랐다
8,그는 준비를 완료했다,안심했다,안심했다,안도와 만족감이었다,안심했다
9,그는 입을 옷을 찾았다,고맙다고 생각했다,만족스러웠다,안도되었다,안도했다
10,그는 실망한 표정였다,자신의 노력이 물거품이 되었다고 생각했다,좌절했다,좌절감이었다,우울했다
11,그는 재미있어 보였다,즐거워했다,즐거웠다,기뻤다,호기심이 생겼다
12,그는 신에게 충성을 바쳤다,신앙심이 깊었다,안심했다,안심이었다,평화로웠다
13,그는 집에 가도 되었다,안도했다,안심했다,안도되었다,안심되었다
14,그는 학교에 갈 옷을 준비했다,기대했다,설레임,설렜다,설레었다
15,그는 피자 파티가 있었다,즐거웠다,행복했다,행복했다,배고프다
16,그는 마침내 선택했다,결정을 내렸다,안도했다,안도감이었다,안도감
17,그는 너무 심하게 다쳤다,애타웠다,안타까웠다,아프다,아프다
18,그는 몸이 아프기 시작했다,불안했다,걱정되었다,건강에 대해 걱정하고 있었다,불안했다
19,그는 밤에 잠을 잘 이루지 못했다,불안했다,피곤하고 지친 상태였다,피곤함과 불안함이었다,피곤했다
20,그는 새로운 기술을 배웠다,신기하고 흥분했다,자신감이 생겼다,자신감이 생겼다,자신감이 생겼다
21,그는 황금알을 낳는 거위를 죽였다,탐욕스러웠다,어리둥절했다,탐욕스러웠다,후회했다
22,그는 대학에 지원했다,기대했다,긴장되었다,불안했다,설렘이었다
23,그는 홀인원을 기록했다,자랑스러웠다,환호를 받았다,자신감이 생겼다,자신감이 넘쳤다
24,그는 방과 후 친구들과 농구를 했다,즐거웠다,즐거웠다,즐거웠다,피곤했다
25,그는 곧 기분이 나아질 겄다,희망적이었다,곧 기분이 나아질 것이라고 믿었다,희망적이었다,희망이 생겼다
26,그는 커피를 머그잔에 마셨다,편안했다,기분이 좋아졌다,활기찬 에너지가 솟아난다,만족했다
27,그는 엔진을 망가뜨렸다,실망했다,낭패를 당했다,실망스러웠다,후회했다
28,그는 새로운 새끼 고양이를 얻었다,행복했다,행복했다,행복했다,행복했다
29,그는 과거는 과거로 뒀다,과거에 대해 후회하지 않았다,더 이상 걱정하지 않았다,미래에 대한 희망을 가지고 있었다,자유로웠다
30,그는 새 기타를 구입했다,기쁘고 흥분했다,흥분했다,흥분과 설렘이었다,흥분했다
31,그도 노력했다,만족스러웠다,성취감,성취감과 만족감이었다,자신에게 뿌듯했다
32,그는 시간을 가졌다,안도했다,안심했다,여유로웠다,여유롭다
33,그는 애완동물을 허용했다,행복했다,감사했다,기쁨이었다,친근감
34,그는 휴대폰을 받았다,기쁘고 기대감이 들었다,행복했다,감사했다,행복했다
35,그는 C를 받았다,실망했다,실망했다,실망스러웠다,실망했다
36,그는 TV를 구입했다,만족했다,흥분했다,흥분했다,흥분했다
37,그는 다리를 심하게 다쳤다,고통스러웠다,아픔,아프다,아프다
38,그는 그녀의 바지에 오줌을 쌌다,당황스러웠다,창피했다,당황스러웠다,창피했다
39,그는 찾을 수 없었다,실망했다,실망했다,실망했다,실망했다
40,그는 곧 나아질 겄다,희망이 생겼다,곧 나아질 것이다,희망적이었다,희망
41,그는 새 카메라를 구입했다,신났다,흥분했다,기뻤다,흥분했다
42,그는 어젯밤부터 시작했다,피곤했다,피곤했다,피곤함이었다,피곤했다
43,그는 강아지를 키우고 싶다고 했다,행복해했다,책임감,행복했다,행복해했다
44,그는 등산했다,자연 속에서 평온함,피곤했다,체력이 소진되었다,피곤했다
45,그는 휴대폰을 가지고 있었다,안심했다,연락을 받을 수 있다,연락이 올까봐 기대했다,안심했다
46,그는 전화 한 통을 받았다,기뻤다,놀랐다,놀랐다,놀랐다
47,그는 더 높이 올라갔다,자신감이 생겼다,성취감,자신감이 생겼다,자신감
48,그는 이발이 필요했다,상쾌하고 경쾌했다,상쾌했다,머리카락이 너무 길어져 불편했다,불편했다
49,그는 지갑을 집에 두고 왔다,당황스러웠다,당황스러웠다,당황스러웠다,당황스러웠다
50,그는 목록을 잊어버렸다,당황스러웠다,당황했다,당황스러웠다,당황스러웠다
51,그는 페이지를 넘겼다,지루했다,흥분했다,새로운 시작을 했다,흥분했다
52,그는 도넛도 먹었다,만족했다,당분이 많은 음식을 좋아한다,배가 부르다,배불했다
53,그는 그것을 학교에 가져왔다,불안했다,자신이 잘못했다,자신감이었다,자부심
54,그는 좋아하는 사람에게 물어봤다,긴장하고 떨렸다,긴장되었다,긴장되었다,긴장되었다
55,그는 자신을 인식했다,자아를 발견하고 안도했다,안심했다,안정감이 들었다,자신에 대한 존중
56,그는 새 옷을 구입했다,기분이 좋았다,자신감이 넘쳤다,자신감이 생겼다,자신감이 생겼다
57,그는 모든 인형을 외웠다,놀라웠다,자신감이 생겼다,자신감이 생겼다,자신감
58,그는 훨씬 좋아 보였다,자신감 있었다,새로운 옷을 입었다,자신감이 생겼다,자신에 대해 자신감
59,그는 요리하고 싶어 하지 않았다,궁금해하지 않았다,배가 고프다,귀찮았다,배고프다
60,그는 새 자전거를 구입했다,기뻤다,흥분했다,흥분이었다,행복했다
61,그는 목줄을 사용했다,책임감,안전했다,자유로웠다,안전했다
62,그는 커피를 주문했다,기쁘게,기분이 좋아졌다,활기찬 하루를 시작할 수 있을 것이다,활력이 솟았다
63,그는 태클을 당했다,분노와 불쾌함,분노했다,분노였다,분노했다
64,그는 그녀에게 몸을 기울였다,사랑을 표현했다,진지했다,관심이 있었다,애정
65,그는 오른쪽으로 향했다,방향을 바꿨다,혼란스러웠다,목적지에 가까워진다,혼란스러웠다
66,그는 배심원 의무를 위해 소환되었다,부담스러웠다,책임감,책임감,책임감
67,그는 자신을 과시했다,자만심에 차 있었다,자만심이었다,자만심이었다,자신에 대한 자부심
68,그는 쿠키도 만들었다,즐거웠다,자신감이 있었다,즐거웠다,행복했다
69,그는 유치원에 입학했다,신나고 기쁘다,설레었다,설레었다,설레었다
70,그는 구걸하러 갔다,부끄러웠다,부끄러웠다,자존심 상실감이었다,부끄러웠다
71,그는 면도를 중단했다,피곤했다,부드러움,시간을 절약했다,허전했다
72,그는 약속을 잡았다,기대했다,설레임,기대감이 컸다,기대했다
73,그는 스스로 일을 자초했다,자신감을 가지고 있었다,후회했다,책임감과 안도감이었다,후회했다
74,그는 방과 후 축구를 했다,즐거웠다,피곤했다,피곤했다,피곤했다
75,그는 그 의미를 설명했다,이해되었다,이해되었다,이해되었다,이해되었다
76,그는 처음 이발을 했다,신기했다,불안했다,새로운 변화를 경험했다,자신감이 생겼다
77,그는 온몸에 흘리고 있었다,창피했다,냉큼했다,부끄러웠다,덥다
78,그는 드디어 도착했다,안도감,안도되었다,안정감이었다,안도감
79,그는 그녀를 죽음으로 이끌었다,죄책감에 사로잡혔다,죄책감,죄책감과 후회였다,죄책감
80,그는 그녀를 만나러 갔다,기대했다,설레임,설렜다,설레었다
81,그는 2013년에 캠브리지로 이사했다,신뢰감이 들었다,새로운 환경에 대한 호기심,새로운 시작의 설렘이었다,새로운 시작을 했다
82,그는 그녀의 턱을 꽉 움켜쥐었다,화가 났다,분노했다,분노와 불안함이었다,분노했다
83,그는 어젯밤 피자를 다 먹었다,배가 부르고 만족했다,배부르다,배가 부르고 만족스러웠다,배부르다
84,그는 고양이 알레르기가 있었다,아쉬웠다,안타까웠다,코가 가렵고 재채기가 나왔다,코가 간지러웠다
85,그는 마침내 먹이를 찾았다,만족했다,기쁘다,안도되었다,안도했다
86,그는 다리를 삐끗했다,고통스러웠다,아프다,아프다,아프다
87,그는 내 머리를 때렸다,화가 났다,분노했다,분노와 상처였다,아프다
88,그는 그녀를 죽이러 갔다,창피했다,두려웠다,죄책감이었다,죄책감
89,그는 제시간에 집에 도착했다,안심했다,안심했다,안심스러웠다,안심했다
90,그는 저녁을 먹었다,만족했다,배부르다,배가 부르고 편안했다,배부르다
91,오늘은 그녀의 마지막 날였다,슬펐다,슬펐다,슬펐다,슬펐다
92,그는 그녀가 그럴 거라고 했다,실망했다,화가 났다,놀랐다,화가 났다
93,그는 수상한 냄새를 맡았다,의심스러웠다,위험,위험이 다가올 것이라고,불안했다
94,그는 엄마에게 선물했다,감사했다,기쁨,기쁨이었다,자랑스러웠다
95,그는 금반지를 발견했다,감격했다,행운,행운이 따른다,행운이 찾아왔다
96,그는 캠프파이어를 시작했다,흥미로웠다,포근함,모험심이 솟았다,따뜻함
97,그는 보고서를 작성했다,지루했다,임무를 완수했다,뿌듯했다,끝났다
98,그는 '펑'하는 소리를 들었다,깜짝 놀랐다,놀랐다,놀랐다,놀랐다
99,그는 깜짝퀴즈를 출제했다,놀라고 궁금했다,놀랐다,놀랐다,놀랐다
100,그는 강아지를 찾았다,감동 받았다,기쁨,기뻤다,행복했다
101,그는 고양이를 좋아했다,평온했다,반려동물을 키우고 싶다,행복했다,행복했다
102,그는 하루 종일 게임을 했다,게으름,지루했다,지루했다,지루했다
103,그는 나중에 질문했다,궁금했다,불안했다,궁금했다,당황했다
104,그는 지갑을 돌려받았다,감사했다,안심했다,안도했다,안심되었다
105,그는 그것을 학교에 가져갔다,자랑스러웠다,자신의 숙제를 잊었다,자랑스러웠다,자랑스러웠다
106,그는 무릎을 다쳤다,고통스러웠다,아프다,아프다,아프다
107,그는 갑자기 기억이 났다,놀랐다,안도했다,안도되었다,당황했다
108,그는 아이와 함께 놀 수 있었다,평온하고 행복했다,행복했다,행복했다,행복했다
109,그는 처음에는 어떻게 해야 할지 몰랐다,당황스러웠다,당황스러웠다,주저했다,혼란스러웠다
110,그는 심지어 케이크도 만들었다,자부심,자신감,자신감이 생겼다,놀라웠다
111,그는 손을 들었다,궁금했다,주목받았다,주의를 요청했다,궁금했다
112,그는 입을 적셨다,불편했다,신선한 과일 맛,신선하고 깔끔했다,놀랐다
113,그는 새 고양이를 입양했다,행복했다,행복했다,행복했다,행복했다
114,그는 정리를 잘했다,만족스러웠다,깔끔하다,깔끔하고 조직적이었다,만족스러웠다
115,그는 그 높이에서 더 크고 무거워 보였다,초조했다,두려웠다,자신감이 생겼다,두려웠다
116,그는 눈물이 날 지경였다,슬펐다,슬펐다,슬펐다,슬펐다
117,그는 놀고 싶지 않아 했다,우울했다,지쳤다,지친다,지루했다
118,그는 평화롭게 잠을 잤다,평온했다,안정되었다,안정감이었다,안정감
119,그는 종이에 물감을 묻혔다,실수했다,창의적이었다,실수했다,창의적이다
120,그는 칠면조를 넣었다,놀랐다,특별한 요리를 만들었다,요리가 거의 완성되었다,놀랐다
121,그는 다시 전화를 받았다,기쁘게,기쁘다,안도했다,안심했다
122,그는 눈사람을 만들었다,즐거웠다,즐거웠다,즐거웠다,즐거웠다
123,그는 결국 쓰러졌다,실망했다,지쳤다,좌절감과 슬픔이었다,실망했다
124,그는 곧 집으로 돌아갔다,안도감,안도했다,안정감이었다,안도했다
125,그는 새 보트를 구입했다,흥분되었다,흥분했다,자유롭고 흥분했다,흥분했다
126,그는 쇼핑하러 가고 싶다고 했다,기쁘고 흥분했다,기쁘다,스트레스 해소가 필요했다,신나했다
127,그는 소파에서 낮잠을 자고 있었다,평온했다,피곤했다,편안함과 안도감이었다,편안했다
128,그는 혼자서 저녁을 먹었다,외로웠다,외로웠다,조용했다,외로웠다
129,그는 잠이 들었다,피곤해서 잠이 들었다,피곤했다,피곤함,피곤하다
130,그는 술을 너무 많이 마셨다,취했다,어지러웠다,어지러웠다,어지러웠다
131,그는 매일 아침 눈을 떴다,새로운 하루를 시작하는 기쁨,새로운 하루의 시작을 감사하다,새로운 하루의 시작이다,새로운 하루의 시작이 되었다
132,그는 그녀의 셔츠 단추를 풀었다,섹시하고 흥분했다,낭만적이었다,설렜다,신랄했다
133,그는 새 타이어가 필요했다,화가 났다,안전을 위해 서둘러야 한다,안전에 대한 걱정이었다,불안했다
134,그는 자신의 알람을 설정했다,안심했다,안심했다,안심스러웠다,시원했다
135,그는 선택의 폭을 좁혔다,고민이 많았다,답답했다,제약되었다,안도했다
136,그는 직원을 해고했다,죄책감,책임감과 안타까움,책임감과 안타까움이었다,책임감
137,그는 발진이 생겼다,불편했다,걱정했다,가려웠다,당황스러웠다
138,그는 집에 가서 옷을 갈아입어야 했다,부담스러웠다,시간이 부족하다,조급했다,시간이 부족하다
139,그는 정말 착해 보였다,친절하고 따뜻한 느낌이었다,믿음직스러웠다,사랑 받고 싶었다,신뢰할 수 있다
140,그는 알림을 받았다,놀랐다,놀랐다,기쁨이었다,기쁘다
141,그는 아버지와 함께 낚시하러 갔다,평온하고 행복했다,행복했다,행복했다,행복했다
142,그는 아기를 안고 있었다,평화로웠다,행복했다,행복했다,행복했다
143,그는 기분이 나빠지기 시작했다,우울했다,슬펐다,우울함이었다,불안했다
144,그는 새집을 지었다,만족했다,성취감,새로운 시작을 한다,자랑스러웠다
145,그는 새 정장을 구입했다,자신감이 있었다,자신감이 생겼다,자신감이 생겼다,자신있었다
146,그는 부딪혔다,아프고 당황스러웠다,아프다,아픔과 충격이었다,아프다
147,그는 퇴근길에 커피를 사서 마셨다,피곤하고 편안했다,피로가 싹 풀린다,피로가 싹 걷혔다,만족했다
148,그는 생일 파티가 있었다,기쁘고 행복했다,행복했다,기쁨과 감사함이었다,특별하다
149,그는 암매장 당했다,슬펐다,충격과 슬픔,절망적이었다,슬펐다
150,그는 파트타임으로 일하고 있었다,긴장하고 스트레스를 받았다,돈을 벌어들였다,재정적인 부담감이 있었다,피곤했다
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,자신에게 실망스러웠다,후회했다,후회와 자책이었다,후회했다
152,그는 이제 자야 했다,졸린 기분이었다,피곤했다,피곤함이었다,졸립다
153,그는 깁스를 해야 했다,불편했다,불편했다,불편했다,안타까웠다
154,그는 하루를 시작했다,신선하고 기대되었다,피곤함,새로운 기회가 찾아왔다,피곤했다
155,그는 새 드레스를 입었다,자신감이 있었다,아름다웠다,자신감이 생겼다,자신있었다
156,그는 어느 날 배고픔을 느꼈다,허기진 상태였다,식사를 하고 싶다,식사를 해야 한다,가난했다
157,그는 새 집으로 이사했다,신선하고 새로운 시작을 기대했다,새로운 시작에 설렜다,설렜다,행복했다
158,그는 깁스를 하고 있었다,좌절했다,불편했다,불편했다,안타까움
159,그는 그녀의 어깨를 두드렸다,쾌활했다,안심했다,위로하고 지지해주고 싶다,미안했다
160,그는 양쪽을 동시에 지지했다,중립적이었다,정의롭다,중립적이었다,공정하다
161,그는 전봇대에 부딪혔다,아프고 당황했다,아프다,아프다,아프다
162,그는 그것을 학교에 입고 다녔다,부끄러웠다,자신감이 넘쳤다,자신감이었다,자신감이 생겼다
163,그도 케이크를 먹었다,달콤한 기분이었다,만족했다,달콤한 맛에 행복했다,배부르다
164,그는 밤에 잠을 잤다,평온했다,피곤했다,피곤했다,피곤했다
165,그는 팔을 들어 올렸다,승리감,승리,자신감이 생겼다,승리했다
166,그는 실수로 노크를 했다,당황스러웠다,당황스러웠다,당황스러웠다,미안했다
167,그는 구취가 심했다,불쾌했다,불편했다,부끄러웠다,불쾌했다
168,그는 새로운 일을 시작했다,기대감과 설렘이 가득했다,설레임,설렌다,설레었다
169,그는 내비게이션에 도움을 요청했다,도움이 필요했다,길을 잃었다,방황하지 않아도 된다는 안심감이었다,방황했다
170,그는 총을 들고 목표물을 공격했다,무서웠다,위험에 노출되었다,권력감이었다,무자비했다
171,그는 호텔을 찾았다,안도했다,안심했다,안도감이었다,안도했다
172,그는 성인이 되었다,자유롭고 책임감,책임감,자유롭고 책임감이 느껴졌다,자유로워졌다
173,그는 자전거를 타고 집으로 돌아갔다,시원한 바람을 맞으며 평온했다,상쾌했다,상쾌함과 자유로움이었다,피곤했다
174,그는 남편에게 문자를 보내었다,사랑스러웠다,안심되었다,안심되었다,설레었다
175,그는 전화번호를 교환했다,신뢰감이 들었다,흥분했다,연락을 기대했다,신뢰했다
176,그는 경적을 울렸다,놀랐다,놀랐다,주변 사람들의 시선을 끌었다,놀라웠다
177,그는 꽤 멋져 보였다,자신감이 느껴졌다,자신감이 있었다,자신에 대한 자부심,자신감이 넘쳤다
178,그는 하루를 마무리했다,피곤하고 만족스러웠다,피곤했다,피곤함이었다,피곤했다
179,그는 마침내 그녀를 찾았다,안도했다,안도했다,안도되었다,안도했다
180,그는 데이트를 원했다,외로웠다,설레임,설렜다,외로웠다
181,그는 갈등에 휘말렸다,스트레스,스트레스,스트레스와 불안했다,혼란스러웠다
182,그는 팝콘을 먹었다,즐거웠다,만족스러웠다,만족스러웠다,배가 고팠다
183,그는 좋아하는 TV 프로그램을 시청했다,즐거웠다,행복했다,편안함과 만족감이었다,행복했다
184,그는 집에 안전하게 도착했다,안도하고 안심했다,안도했다,안도감이었다,안도했다
185,그는 더 나은 직장을 찾았다,기쁘고 희망적이었다,새로운 시작을 할 수 있게 되었다,안도와 기쁨이었다,기쁨
186,그는 현금이 좀 필요했다,조금 당황스러웠다,불안했다,은행에 가야겠다,절망적이었다
187,그는 응급실에 가야 했다,불안했다,두려웠다,두려웠다,두려웠다
188,그는 치어리더가 되고 싶어 했다,열정적이었다,자신감이 넘쳤다,자신감이었다,자신감이 넘쳤다
189,그는 상황파악을 하지 못한 채 놀고 있었다,부주의했다,무심했다,당황스러웠다,혼란스러웠다
190,그는 거부당했다,실망했다,실망했다,실망스러웠다,실망했다
191,그는 얼굴을 맞았다,아프고 당황했다,아프다,아프다,아픔
192,그는 상사에게 사과했다,창피했다,더 나아졌다,안도했다,안도했다
193,그는 내일 큰 시험이 있었다,긴장되고 불안했다,긴장되었다,긴장되고 불안했다,긴장되었다
194,그는 선풍기를 구입했다,시원하고 편안했다,더 시원한 여름을 보낼 수 있다,시원함이었다,시원함
195,그는 새 옷장을 구입했다,신선한 기분이 들었다,만족스러웠다,만족스러웠다,행복했다
196,그는 친구들을 초대했다,행복했다,기쁨,기쁨과 설렘이었다,외로웠다
197,그는 선물을 받았다,기쁘게,감동받았다,감사했다,감동했다
198,그는 장난감을 찾았다,기쁘고 놀랐다,기뻤다,기쁨이었다,기뻤다
199,그는 청소를 도와줬다,도움이 되었다,감사했다,유용하고 만족스러웠다,피곤했다
200,그는 내 부모님께 물어봤다,걱정되었다,안심했다,안심이었다,당황했다
201,그는 데이트 상대를 찾았다,기쁘게,설레임,설레임이었다,설레었다
202,그는 집에 가야 했다,지친 상태였다,아쉬움,지친다,안타까웠다
203,그는 주스를 엎질렀다,초조했다,창피했다,당황스러웠다,화가 났다
204,그는 성을 변경했다,자유로웠다,새로운 시작을 했다,새로운 시작을 한다,혼란스러웠다
205,그는 그것을 부모님에게 보여주기도 했다,자랑스러웠다,자랑스러웠다,자랑스러웠다,자랑스러웠다
206,그는 환불을 요구했다,화가 났다,불만스러웠다,실망스러웠다,화가 났다
