,input,A,B,B2,B3
0,그는 새 의자를 구입했다,새 의자를 집으로 가져와서 조립할 것이다.,의자를 산 것을 기뻐했다.,새 의자를 조립한다,이사를 했는
1,그는 일주일 동안 아팠다,의사에게 진료를 받을 것이다.,회복했다.,휴식을 취하고 병원에 가서 의사의 진단을 받았다,쉬었는
2,그는 모래성을 쌓았다,즐거움과 창의성으로 모래성을 쌓았다.,해변에서 놀았다.,해변에서 모래성을 쌓다,놀랐다.
3,그는 블루베리를 따고 있었다,블루베리를 따르던 중 주변을 살펴보고 다른 사람들과의 충돌을 피하며 안전하게 작업할 것이다.,열심히 일했다.,블루베리를 딴다,빠르게 달렸다.
4,그는 날개를 펄럭였다,하늘을 날아갈 것이다.,비행했다.,하늘을 난다,비행했는
5,그는 심장마비가 왔다,즉시 심폐소생술을 시도할 것이다.,사망,심폐소생술을 시도한다,숨을 멈추었다.
6,그는 너무 빨리 가고 있었다,속도를 줄이고 안전 운전을 하겠다.,사고,속도를 줄이고 조심스럽게 주변을 살핀다,추락했는
7,그는 소음이 들렸다,주변을 살피고 소음의 원인을 찾아 조용한 곳으로 이동할 것이다.,귀를 막았다.,무엇인지 확인하러 나갔다,도망쳤는
8,그는 준비를 완료했다,다음 단계에 진행할 준비가 되어 있을 것이다.,출발,무엇이든 시작할 수 있었다,노력했는
9,그는 입을 옷을 찾았다,옷을 입는다.,기뻐했다.,옷을 입고 나간다,화를 냈는
10,그는 실망한 표정였다,상황을 평가하고 다음에 취할 행동을 결정할 것이다.,한숨을 쉬었다.,역시 그냥 돌아서서 떠난다,우는 것 같았는
11,그는 재미있어 보였다,그에게 관심을 표현하고 대화를 시작할 것이다.,웃었다.,무엇이든 사람들을 웃게 한다,웃었을 것 같았는
12,그는 신에게 충성을 바쳤다,신에게 충성을 바쳐 계속해서 숭배를 이어나갈 것이다.,예수 그리스도를 믿는 기독교인이 되었다.,신의 뜻을 따른다,죽음을 선택했는
13,그는 집에 가도 되었다,안전하게 집으로 돌아갈 것이다.,휴식을 취했다.,무엇이든지 하고 싶은 것을 했다,늦게 일을 마쳤는
14,그는 학교에 갈 옷을 준비했다,아침에 일어나서 학교에 갈 옷을 입을 것이다.,준비,학교 유니폼을 찾아 입고 가방을 싼다,집을 떠났는
15,그는 피자 파티가 있었다,친구들과 함께 즐거운 시간을 보내기 위해 참석할 것이다.,피자를 주문했다.,피자 주문을 하고 친구들을 초대한다,배가 고팠는
16,그는 마침내 선택했다,결정을 내릴 것이다.,행동했다.,무엇이든 간에 그 선택을 받아들인다,망설였다
17,그는 너무 심하게 다쳤다,즉시 응급실에 가서 치료를 받을 것이다.,병원에 입원했다.,병원으로 신속히 이송되어 치료를 받다,운동을 했는
18,그는 몸이 아프기 시작했다,즉시 의료진에게 도움을 요청할 것이다.,약을 복용했다.,약을 먹고 푹 쉰다,운동을 그만뒀다.
19,그는 밤에 잠을 잘 이루지 못했다,다음날 일찍 일어나서 운동을 하거나 휴식을 취할 것이다.,다음날 피곤했다.,잠이 오지 않아서 그는 책을 읽거나 TV를 보거나 음악을 듣는 등의 활동을 하면서 시간을 보냈다,노래를 부르는 것을 좋아했는
20,그는 새로운 기술을 배웠다,새로운 기술을 활용하여 프로젝트나 업무에 적용할 것이다.,더 나은 직업을 얻었다.,새로운 기술을 활용하여 이전에는 할 수 없었던 일들을 해낸다,노력했는
21,그는 황금알을 낳는 거위를 죽였다,후회하고 죄를 뉘우치며 다시는 그런 행동을 하지 않을 것이다.,탐욕스러웠다.,"거위를 죽여서 황금알을 얻는 것이 아니라, 단기적인 이득을 위해 장기적인 이익을 희생시켜다",어리석은 짓을 했는
22,그는 대학에 지원했다,대학의 합격 여부를 기다릴 것이다.,입학 시험을 봤다.,"대학 입학 시험을 준비하고, 자기소개서와 추천서를 작성한다",논문을 쓰려고 노력했는
23,그는 홀인원을 기록했다,기뻐하며 팀원들과 함께 축하할 것이다.,최고점을 찍었다.,홀인원을 기록한 것이기 때문에 그가 한 것은 골프장의 한 홀을 한 번에 치다,점수가 높았는
24,그는 방과 후 친구들과 농구를 했다,즐거운 시간을 보내며 농구를 즐길 것이다.,운동,농구를 즐긴다,지각을 했는
25,그는 곧 기분이 나아질 겄다,긍정적으로 생각하고 행동할 것이다.,긍정적으로 생각했다.,무엇이든 미래를 위한 좋은 선택이 되다,울었던 것 같았는
26,그는 커피를 머그잔에 마셨다,머그잔을 이용해 커피를 마신 후에는 그릇을 세척할 것이다.,카페인을 섭취했다.,커피를 마신 후에 머그잔을 세척했다,졸렸다
27,그는 엔진을 망가뜨렸다,엔진을 수리하거나 교체하기 위해 도움을 요청할 것이다.,고장나서,엔진 수리를 위해 차고로 들어가서 도구를 가져온다,운전을 멈췄는
28,그는 새로운 새끼 고양이를 얻었다,새로운 새끼 고양이를 환영하고 돌보게 될 것이다.,고양이를 키우기로 결정했다.,새로운 새끼 고양이를 위한 준비를 했다,기뻐했는
29,그는 과거는 과거로 뒀다,"과거는 과거로 두고, 현재에 집중할 것이다.",미래를 향했다.,과거로 남아 있었다,노력했는
30,그는 새 기타를 구입했다,새 기타를 연습하고 연주할 것이다.,연주를 시작했다.,새로운 곡을 연주한다,연주를 시작했는
31,그도 노력했다,좋은 결과를 얻을 수 있도록 최선을 다할 것이다.,성공,자신의 잠재력을 최대한 발휘한다,노력을 했는
32,그는 시간을 가졌다,계획을 세우고 목표를 달성하기 위해 시간을 효율적으로 활용할 것이다.,일정을 계획하고 조직했다.,무엇이든 할 수 있었다,성공했는
33,그는 애완동물을 허용했다,"애완동물을 허용했다면, 그에게 친절하게 대해줄 것이다.",반려동물을 키웠다.,애완동물을 위한 특별한 공간을 마련한다,집을 임대했는
34,그는 휴대폰을 받았다,전화를 받을 것이다.,전화를 받았다.,휴대폰으로 전화를 걸거나 메시지를 보낸다,기뻐했는
35,그는 C를 받았다,성적을 향상시키기 위해 노력할 것이다.,노력하지 않았다.,노력이 부족했을 수도 있다,열심히 공부했는
36,그는 TV를 구입했다,TV를 설정하고 즐겁게 시청할 것이다.,돈을 지불했다.,TV를 설치한다,이미 돈을 모았었는
37,그는 다리를 심하게 다쳤다,즉시 응급실로 이동하여 치료를 받을 것이다.,휠체어를 타야 했다.,병원으로 긴급히 이송되어 치료를 받다,달렸다
38,그는 그녀의 바지에 오줌을 쌌다,사과하고 바지를 교체해 주겠다.,부끄러워했다.,매우 부끄러운 일,당황했는
39,그는 찾을 수 없었다,다시 찾아보거나 도움을 요청할 것이다.,포기했다.,약속한 시간에 늦지 않도록 기다린다,노력을 했는
40,그는 곧 나아질 겄다,차분하게 상황을 지켜보고 필요한 조치를 취할 것이다.,노력,지금까지 최선을 다했다,노력했는
41,그는 새 카메라를 구입했다,새 카메라를 사용하여 사진을 찍거나 영상을 촬영할 것이다.,사진을 찍었다.,새로운 취미를 찾기 위해 사진을 많이 찍다,사진을 찍었는
42,그는 어젯밤부터 시작했다,일어나서 그 사건에 대해 조사하고 즉시 대처할 것이다.,지금까지 계속해서 진행했다.,답변할 수 없음,피곤했는
43,그는 강아지를 키우고 싶다고 했다,동물 보호소나 유기동물 구조 기관에서 강아지를 입양할 것이다.,동물 보호소에 가서 강아지를 입양했다.,동물 보호소를 방문하여 입양 절차를 진행한다,집을 구매했는
44,그는 등산했다,안전장비를 착용하고 산행을 즐길 것이다.,산품을 즐겼다.,등산을 즐겼다,지쳤다
45,그는 휴대폰을 가지고 있었다,긴급 상황이 아니라면 휴대폰을 가만히 두고 있을 것이다.,전화를 걸 수 있었다.,휴대폰으로 전화를 걸거나 메시지를 보낸다,전화를 받았다.
46,그는 전화 한 통을 받았다,"전화를 받은 후에는 전화하는 사람과 대화를 나누거나, 필요한 정보를 얻기 위해 질문할 것이다.",전화를 받았다.,전화를 받았을 때 그는 전화기를 들고 대답했다,급히 나갔는
47,그는 더 높이 올라갔다,주변을 살펴보고 안전을 확인한 후에 계속해서 올라갈 것이다.,성공했다.,더 많은 노력과 헌신,노력했는
48,그는 이발이 필요했다,이발소에 가서 머리를 자르게 될 것이다.,이발을 받았다.,이발사에게 전화해서 예약을 잡았다,이발을 했는
49,그는 지갑을 집에 두고 왔다,지갑을 가져오기 위해 집으로 돌아갈 것이다.,쇼핑을 못 했다.,지갑을 찾기 위해 다시 집으로 돌아가거나 혹은 지갑이 없어도 그의 일을 처리할 수 있었다,쇼핑을 하러 갔었는
50,그는 목록을 잊어버렸다,다시 목록을 작성하거나 기억할 수 있는 방법을 찾을 것이다.,아무것도 사지 않았다.,목록을 다시 작성한다,혼란스러워 보였는
51,그는 페이지를 넘겼다,다음 페이지를 읽기 시작할 것이다.,책을 읽었다.,책을 읽다,책을 읽었는
52,그는 도넛도 먹었다,즐겁게 도넛을 먹을 것이다.,배부르다,도넛을 먹은 후에는 커피를 마셨다,운동을 했는
53,그는 그것을 학교에 가져왔다,즉시 학교 규정에 따라 그것을 학교에서 제거하고 관리자에게 신고할 것이다.,범죄를 저질렀다.,학교에서 그것을 사용한다,혼란스러워 보였는
