,input,A,B,B2,B3
0,그는 새 의자를 구입했다,새 의자를 구입해서 기뻤다.,편안함,편안함과 안정감,행복하다
1,그는 일주일 동안 아팠다,일주일 동안 고통을 느꼈다.,회복된,피로와 무기력함,아무런 변화도 없는
2,그는 모래성을 쌓았다,만족했다.,쾌감,휘어지거나 무너질까봐 조금 불안했다,성취감
3,그는 블루베리를 따고 있었다,평온함과 만족감을 느꼈다.,만족감을,평화와 만족감,행복하다
4,그는 날개를 펄럭였다,자유롭고 행복했다.,자유를,자유와 경이였다,자유
5,그는 심장마비가 왔다,두려움과 절망에 휩싸였다.,숨을 쉴 수 없는,순간적인 무력감과 절망,아무런
6,그는 너무 빨리 가고 있었다,두려움과 긴장을 느꼈다.,자신이 주변을 제대로 보지 못하고 있다,속도와 흥분,불안하다
7,그는 소음이 들렸다,짜증이 났다.,불안하다,불안과 두려움,불안하다
8,그는 준비를 완료했다,안도감을 느꼈다.,자신이 성공할,자신감과 안도였다,안도하다
9,그는 입을 옷을 찾았다,안도하고 안정감을 느꼈다.,따라서 그는 안도의,만족감,안도하다
10,그는 실망한 표정였다,실망했다.,실망하다,실망과 좌절,실망하다
11,그는 재미있어 보였다,기뻤던 것 같았다.,즐거움,불안함과 긴장감,호기심
12,그는 신에게 충성을 바쳤다,안정감과 만족감을 느꼈다.,평화와 안정을느꼈다.,신의 가호와 지지였다,보람
13,그는 집에 가도 되었다,안심하고 안도했다.,자유,안도와 안정감,안도하다
14,그는 학교에 갈 옷을 준비했다,불안했다.,학교에 가기로 하다,기대와 긴장,긴장된
15,그는 피자 파티가 있었다,피자 파티가 있어서 기뻤다.,배고픈,행복함과 만족감,배고픔
16,그는 마침내 선택했다,안도감과 기쁨을 느꼈다.,결정한 것을 후회했다.,자신의 결정에 대한 안도와 확신,안도된
17,그는 너무 심하게 다쳤다,너무 아프고 불편했다.,쓰러진,극심한 고통과 불편함,아픈
18,그는 몸이 아프기 시작했다,불안과 불편함을 느꼈다.,아픔을,피로와 불편함,아프다
19,그는 밤에 잠을 잘 이루지 못했다,불안하고 피곤했다.,피곤함을느꼈다.,계속되는 피로와 불안,피곤하다
20,그는 새로운 기술을 배웠다,새로운 기술을 배워서 흥분했다.,成就,자신감과 성취감,만족하다
21,그는 황금알을 낳는 거위를 죽였다,후회와 유감으로 가득 찼다.,탐욕,탐욕과 후회였다,후회하는
22,그는 대학에 지원했다,기대와 긴장을 느꼈다.,합격,대학에 지원했을 때의 긴장과 기대감,긴장된
23,그는 홀인원을 기록했다,기뻤다.,자신이 특별하다,자신의 능력에 대한 자부심과 만족감,승리의 쾌감
24,그는 방과 후 친구들과 농구를 했다,즐거웠다.,즐거움,즐거움과 흥분,즐거운
25,그는 곧 기분이 나아질 겄다,안도하고 안정감을 느꼈다.,긍정적인 변화,희망,불안하다
26,그는 커피를 머그잔에 마셨다,커피를 마시며 안정감을 느꼈다.,따라서 그는 따뜻하다,카페인의 강한 향과 쓴 맛,따뜻하다
27,그는 엔진을 망가뜨렸다,실망했다.,고장났다.,쓰러지는 느낌,아픈
28,그는 새로운 새끼 고양이를 얻었다,기쁨을 느꼈다.,행복하다,행복함과 책임감,기쁨
29,그는 과거는 과거로 뒀다,과거의 일에 대해 회한이나 후회하지 않았다.,현재를 살아야 한다고,그가 미래에 대한 두려움이 아니라 현재에 집중할 수 있는 안도감,안도
30,그는 새 기타를 구입했다,기뻤다.,음악을 연주하는 즐거움,새로운 음악을 연주하는 즐거움과 새로운 소리를 발견하는 흥분,기쁨
31,그도 노력했다,자랑스러웠다.,보람 있는,자신의 노력이 더 큰 보상을 받을 만큼 가치있었다,성취감
32,그는 시간을 가졌다,안도감과 만족감을 느꼈다.,자유,무한한 가능성,자신이 능력 가졌기 때문에 그것
33,그는 애완동물을 허용했다,기쁨을 느꼈다.,행복하다,애완동물과 함께하는 즐거움과 행복,안도하다
34,그는 휴대폰을 받았다,기쁘고 흥분했다.,안도의,안도와 안정감,기쁨
35,그는 C를 받았다,실망했다.,실패하다,실망과 안도였다,실망하다
36,그는 TV를 구입했다,기쁘고 만족했다.,만족함,만족감,만족하다
37,그는 다리를 심하게 다쳤다,괴로웠다.,아프거나 통증,극심한 통증과 불편함,아픈
38,그는 그녀의 바지에 오줌을 쌌다,당황스러웠다.,부끄러움,자신의 부주의로 인한 창피함과 죄책감,당혹스러운
39,그는 찾을 수 없었다,실망했다.,절망적인,쓰러진다,실망하다
40,그는 곧 나아질 겄다,희망적이었다.,회복될,희망,희망
41,그는 새 카메라를 구입했다,새 카메라를 구입하여 기뻤다.,새로운 기술,전보다 더 많은 창조적인 가능성과 새로운 사물을 발견하는 즐거움,기쁨
42,그는 어젯밤부터 시작했다,불안했다.,미련,불안함과 긴장감,피곤하다
43,그는 강아지를 키우고 싶다고 했다,흥분했다.,행복하다,행복과 책임감,행복하다
44,그는 등산했다,자연 속에서 평온함을 느꼈다.,자연,자연 속에서의 평화와 안정감,피곤하다
45,그는 휴대폰을 가지고 있었다,안심했다.,연락이 올,편리함과 연결됨,불안하다
46,그는 전화 한 통을 받았다,"전화 한 통을 받았을 때, 그는 놀랐다.",뜻밖의 충격,"전화를 받은 순간, 그는 놀라움과 호기심이 교차되었다",불안하다
47,그는 더 높이 올라갔다,흥분했다.,위험하다,자신의 역량과 가능성에 대한 자신감이 더욱 커졌다,자신의 성취감
48,그는 이발이 필요했다,깔끔하고 상쾌한 느낌이었다.,가벼움,머리카락이 너무 길어져서 불편함을 느꼈다,아무런
49,그는 지갑을 집에 두고 왔다,당황했다.,따라서 그는 돈이 없다,불안함과 불편함,아무런
50,그는 목록을 잊어버렸다,당황스러웠다.,실망하다,순서와 계획을 잃은 혼란,아무런
51,그는 페이지를 넘겼다,놀라거나 기뻤을 것이다.,다음 장을 읽고 싶다.,다음에 무엇이 일어날지에 대한 호기심과 긴장감,새로운
52,그는 도넛도 먹었다,기쁘고 만족했다.,만족하다,만족감,아무런 만족도 느끼지 못했다.
53,그는 그것을 학교에 가져왔다,그것을 학교에 가져왔을 때 불안했다.,자신의 행동이 잘못되었음,놀람과 기쁨,자부심
54,그는 좋아하는 사람에게 물어봤다,긴장되고 불안했다.,안정된,사랑,호감
55,그는 자신을 인식했다,자신을 인식한 그는 안도감과 함께 안정감을 느꼈다.,자부심,자신의 가치와 능력에 대한 확신,불안하다
56,그는 새 옷을 구입했다,기뻤다.,만족함,자신감과 만족감,만족하다
57,그는 모든 인형을 외웠다,자랑스러웠다.,자신의 기억력을 자랑스러워했다.,자신이 무척 자랑스러웠다,자신이 놀랄 만하다
58,그는 훨씬 좋아 보였다,기뻤을 것이다.,더 나은,나는 더 이상 혼란스럽지 않았다,변화된
59,그는 요리하고 싶어 하지 않았다,요리하기 싫었다.,부정적인 감정,부정적인 감정,아무런 동기부여 받지 못했다.
60,그는 새 자전거를 구입했다,기뻤다.,자유를,자유와 쾌감,기쁨
61,그는 목줄을 사용했다,억압당했다.,제한된,목줄을 사용했기 때문에 그가 느꼈던 것은 목이 조여지고 억눌리는 감정,고통
62,그는 커피를 주문했다,만족했다.,활기,침대에서 일어나기 전에는 커피 한 잔으로 시작해야 한다고 생각했다,아무런 변화도 없는
63,그는 태클을 당했다,분노와 불안을 느꼈다.,아픈,분노와 상처였다,아픈
64,그는 그녀에게 몸을 기울였다,그 순간에 행복했다.,그녀의 향기,그녀에 대한 깊은 관심과 애정,약간의 불안
65,그는 오른쪽으로 향했다,혼란스러웠다.,반대쪽,"무엇인가? 그의 시선이 멀리 향하고 있었기 때문에, 그는 새로운 가능성과 기대감을 느꼈다",이상하다
66,그는 배심원 의무를 위해 소환되었다,불안과 걱정을 느꼈다.,책임감,책임감과 중요성,긴장된
67,그는 자신을 과시했다,자신감에 차 있었다.,자만심,자부심과 자신감,자신 자랑스러워하는
68,그는 쿠키도 만들었다,자랑스러웠다.,만족함,자신의 요리 실력에 대한 자부심,흥분된
69,그는 유치원에 입학했다,흥분했다.,어린이들과 함께 하는,어른들과 함께 하는 새로운 경험에 대한 호기심과 두려움,설렘
70,그는 구걸하러 갔다,부끄러웠다.,자존심을 상실하다,자존심의 상실,부끄러운
71,그는 면도를 중단했다,당황스러웠다.,부드러운 피부,쓰러지는 것처럼 무거운 짐,아프거나 피부가 자극되는
72,그는 약속을 잡았다,기쁘고 설렜다.,기대된,기대와 불안함,설레임
73,그는 스스로 일을 자초했다,자신이 잘 해낼 수 있을 것이라고 믿었다.,자존심,자신감과 성취감,후회하는
74,그는 방과 후 축구를 했다,피곤하지만 즐거웠다.,피곤하다,피로와 만족감,피곤하다
75,그는 그 의미를 설명했다,자신의 지식과 이해를 자랑스러워했다.,만족하다,더 이상 혼란스럽지 않았다,감동
76,그는 처음 이발을 했다,신선하고 새로운 경험에 흥분했다.,가벼움,머리카락이 쑤시고 가볍다,신선하다
77,그는 온몸에 흘리고 있었다,냉기를 느꼈다.,춥다.,뜨거운 땀이 흐르는 것과 함께 몸이 화끈거리는 느낌,두려움
78,그는 드디어 도착했다,안도감과 기쁨을 느꼈다.,안도함,안도와 안정감,안도의 물결
79,그는 그녀를 죽음으로 이끌었다,자신이 큰 책임감과 후회를 느꼈다.,죄의식,전혀 죄책감이 없었다,죄책감
80,그는 그녀를 만나러 갔다,기쁘고 설레었다.,행복하다,그녀를 다시 보게 되어 기쁨,설레임
81,그는 2013년에 캠브리지로 이사했다,새로운 도시에 이사한 것에 대해 기쁘고 설레었다.,캠브리지로 이사하여 새로운 도시와 문화를 경험했을,캠브리지에서의 새로운 환경과 사람들에 대한 호기심과 기대감이다,새로운 환경에 적응하는
82,그는 그녀의 턱을 꽉 움켜쥐었다,분노와 불안을 느꼈다.,그녀가 놀라워하고 불안해하는,그녀의 뜨거운 숨결과 그녀의 심장이 빠르게 뛰는 소리였다,공포
83,그는 어젯밤 피자를 다 먹었다,배가 부르고 만족스러웠다.,배부른,포만감과 만족감,배부른
84,그는 고양이 알레르기가 있었다,신경이 예민했고 불편했다.,콧물과 재채기,"고양이를 피해야 했고, 고양이와 가까이 있을 때는 코가 간지러워지고 재채기를 자주 했다",코막힘
85,그는 마침내 먹이를 찾았다,안도감과 만족감을 느꼈다.,만족함,안정감과 만족감,안도된
86,그는 다리를 삐끗했다,아프고 불편했다.,통증,지독한 통증,아픈
87,그는 내 머리를 때렸다,분노와 상처를 느꼈다.,죄책감,나의 무례함과 분노였다,아픈
88,그는 그녀를 죽이러 갔다,두려움과 죄책감에 사로잡혔다.,죄책감,악마와 같은 어둠 속에서 온전한 공포였다,죄책감
89,그는 제시간에 집에 도착했다,안심하고 안도했다.,안심된,안도와 안정감,안도된
90,그는 저녁을 먹었다,배가 고파서 만족했다.,배부른,배부름과 만족감,배가 고팠던
91,오늘은 그녀의 마지막 날였다,슬펐다.,슬픔과 애수,아쉬움과 슬픔,슬픈
92,그는 그녀가 그럴 거라고 했다,실망했다.,불안하다,그녀가 그의 말을 믿지 않는 불안함,화가 났던
93,그는 수상한 냄새를 맡았다,불안했다.,의심스러운,불안함과 두려움,위험하다
94,그는 엄마에게 선물했다,행복했다.,감사함을,엄마가 기쁘고 행복해하는 모습을 보면서 자신도 행복함과 동시에 뿌듯함,후회하는
95,그는 금반지를 발견했다,기쁨을 느꼈다.,보물을 발견하다,크게 기쁨과 흥분,흥분된
