,input,A,B,B2,B3
0,그는 새 의자를 구입했다,"""그 새 의자를 시험해보고 싶어할 것이다.""",그의 이전 의자를 받았다.,놀라운 디자인과 편안한 착석감이었다.,"주변 사람들은 새 의자를 원했는데, 왜냐하면 그는 새 의자를 구입했기 때문이다."
1,그는 일주일 동안 아팠다,주변 사람들은 그의 빠른 회복을 원할 것이다.,그의 빠른 회복을 원했다.,그가 빨리 나아지길 바라는 것이었다.,"주변 사람들은 건강한 것을 원했는데, 왜냐하면 그는 일주일 동안 아팠기 때문이다."
2,그는 모래성을 쌓았다,그를 도와 모래성을 보호하고 함께 즐겁게 시간을 보내기를 원할 것이다.,"해당 문맥으로는 ""파괴하는""가 적합한 답변일 것입니다.",바다가 밀려오기 전에 모래성을 보호하는 것이었다.,"주변 사람들은 주의를 원했는데, 왜냐하면 그는 모래성을 쌓았기 때문이다."
3,그는 블루베리를 따고 있었다,그 주변 사람들은 그가 딴 블루베리를 나눠줄 것을 원할 것이다.,그는 블루베리를 따고 있었다. 따라서 주변 사람들은 그것을 원했다.,그의 블루베리를 나눠 달라는 것이었다.,"주변 사람들은 더 많은 블루베리를 원했는데, 왜냐하면 그는 블루베리를 따고 있었기 때문이다."
4,그는 날개를 펄럭였다,그의 안전과 원활한 비행을 바라게 될 것이다.,그는 그의 비행을 보고 싶었다.,그 그의 비행을 보는 것이었다.,"주변 사람들은 자유를 원했는데, 왜냐하면 그는 날개를 펄럭였기 때문이다."
5,그는 심장마비가 왔다,그의 주변 사람들은 응급처치와 신속한 응급의료 조치를 원할 것이다.,그는 심장마비가 왔다. 따라서 주변 사람들은 의료 도움을 원했다.,그의 생존을 위한 신속한 응급처치였다.,의료적인 도움을
6,그는 너무 빨리 가고 있었다,그 주변 사람들은 그가 안전하게 목적지에 도착하기를 원할 것이다.,그를 더 주의 깊게 살펴보고 싶었다.,그의 속도를 줄이는 것이었다. 그는 위험을 감수하고 있었기 때문에 안전을 위해 느린 속도로 이동해야 했다.,"주변 사람들은 더 많은 시간을 원했는데, 왜냐하면 그는 너무 빨리 가고 있었기 때문이다."
7,그는 소음이 들렸다,그 주변 사람들은 조용한 환경을 원할 것이다.,조용한 것을 원했다.,"조용히 하라는 것이었다. 그는 주변을 둘러보았지만, 아무도 그의 시선을 피하지 않았다. 결국, 그는 조용히 자리를 떠났다.",조용한
8,그는 준비를 완료했다,주변 사람들은 그가 성공적으로 임무를 수행하기를 원할 것이다.,그의 행동을 지켜보며 놀라움을 표현하거나 그에게 축하의 말을 전하고 싶었다.,무엇이든 할 수 있는 그의 능력을 발휘하는 것이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 준비를 완료했기 때문이다."
9,그는 입을 옷을 찾았다,주변 사람들은 그가 따뜻하게 입을 옷을 찾았다는 것에 안도할 것이다.,그는 입을 옷을 찾았다. 따라서 주변 사람들은 비슷한 것을 원했다.,무엇인지 알아내기 위해 물어보았다.,"주변 사람들은 예쁜 것을 원했는데, 왜냐하면 그는 입을 옷을 찾았기 때문이다."
