,input,A,B,B2,B3
0,그는 새 의자를 구입했다,편안한 자리에 앉고 싶어서다,그는 새 의자를 구입했다. 왜냐하면 그가 편안함을 원했기 때문이다,그는 새 의자를 구입했다. 왜냐하면 그가 원했던 것은 편안한 자리에서 책을 읽는 것이다,"그는 편안한 휴식을 원했기에, 새 의자를 구입했다"
1,그는 일주일 동안 아팠다,건강을 회복하고 싶어서다,그는 일주일 동안 아팠다. 왜냐하면 그가 휴식을 취하기를 원했기 때문이다,그는 일주일 동안 아팠다. 왜냐하면 그가 원했던 것은 휴식을 취하는 것이다,"그는 쉬기를 원했기에, 일주일 동안 아팠다"
2,그는 모래성을 쌓았다,해변에서 놀고 싶어서다,그는 모래성을 쌓았다. 왜냐하면 그가 창의력을 발휘하기를 원했기 때문이다,그는 모래성을 쌓았다. 왜냐하면 그가 원했던 것은 창의적인 활동을 하는 것이다,"그는 해변에서 놀기를 원했기에, 모래성을 쌓았다"
3,그는 블루베리를 따고 있었다,자연 속에서 시간을 보내고 싶어서다,그는 블루베리를 따고 있었다. 왜냐하면 그가 신선한 과일을 먹기를 원했기 때문이다,그는 블루베리를 따고 있었다. 왜냐하면 그가 원했던 것은 신선한 과일을 먹는 것이다,"그는 디저트를 만들기를 원했기에, 블루베리를 따고 있었다"
4,그는 날개를 펄럭였다,자유를 느끼고 싶어서다,그는 날개를 펄럭였다. 왜냐하면 그가 자유를 원했기 때문이다,그는 날개를 펄럭였다. 왜냐하면 그가 원했던 것은 하늘을 날아다니는 것이다,"그는 자유를 느끼기를 원했기에, 날개를 펄럭였다"
5,그는 심장마비가 왔다,삶을 마땅히 할 수 없어서다,그는 심장마비가 왔다. 왜냐하면 그가 평화롭게 죽기를 원했기 때문이다,그는 심장마비가 왔다. 왜냐하면 그가 원했던 것은 죽음을 피하는 것이다,"그는 건강을 회복하기를 원했기에, 심장마비가 왔다"
6,그는 너무 빨리 가고 있었다,시간을 절약하고 싶어서다,그는 너무 빨리 가고 있었다. 왜냐하면 그가 시간을 절약하기를 원했기 때문이다,그는 너무 빨리 가고 있었다. 왜냐하면 그가 원했던 것은 시간을 단축하는 것이다,"그는 시간을 절약하기를 원했기에, 너무 빨리 가고 있었다"
7,그는 소음이 들렸다,조용한 환경에서 쉬고 싶어서다,그는 소음이 들렸다. 왜냐하면 그가 누군가의 도움을 요청하기를 원했기 때문이다,그는 소음이 들렸다. 왜냐하면 그가 원했던 것은 조용한 환경에서 쉬는 것이다,"그는 조용한 환경을 원했기에, 소음이 들렸다"
8,그는 준비를 완료했다,목표를 달성하기 위해 준비를 완료했기 때문이다,그는 준비를 완료했다. 왜냐하면 그가 성공하기를 원했기 때문이다,그는 준비를 완료했다. 왜냐하면 그가 원했던 것은 성공적으로 프로젝트를 마무리하는 것이다,"그는 시험에 통과하기를 원했기에, 준비를 완료했다"
9,그는 입을 옷을 찾았다,춥고 싶어서다,그는 입을 옷을 찾았다. 왜냐하면 그가 멋지게 보이기를 원했기 때문이다,그는 입을 옷을 찾았다. 왜냐하면 그가 원했던 것은 겨울에 따뜻하게 입는 것이다,"그는 따뜻한 옷을 입기를 원했기에, 입을 옷을 찾았다"
10,그는 실망한 표정였다,희망이 무너졌기 때문이다,그는 실망한 표정이었다. 왜냐하면 그가 기대했던 결과를 얻지 못했기 때문이다,그는 실망한 표정이었다. 왜냐하면 그가 원했던 것은 성공하는 것이었다,"그는 승진을 원했기에, 실망한 표정이었다"
11,그는 재미있어 보였다,주변 사람들을 웃겨주고 싶어서다,그는 재미있어 보였다. 왜냐하면 그가 사람들을 웃게 하기를 원했기 때문이다,그의 친구들과 함께 웃는 것이었다,"그는 새로운 경험을 원했기에, 재미있어 보였다"
12,그는 신에게 충성을 바쳤다,영원한 삶을 얻고 싶어서다,그는 신에게 충성을 바쳤다. 왜냐하면 그가 영원한 평화를 얻기를 원했기 때문이다,그는 영원한 산업에 기여하는 것이다,"그는 영원한 삶을 원했기에, 신에게 충성을 바쳤다"
13,그는 집에 가도 되었다,휴식이 필요했기 때문이다,그는 집에 가도 되었다. 왜냐하면 그가 피곤함을 피하기를 원했기 때문이다,그는 휴식을 취하는 것이었다,"그는 평화로운 휴식을 원했기에, 집에 가도 되었다"
14,그는 학교에 갈 옷을 준비했다,교육을 받고 싶어서다,그는 학교에 갈 옷을 준비했다. 왜냐하면 그가 멋있어 보이기를 원했기 때문이다,그는 학교에 갈 옷을 준비했다. 왜냐하면 그가 원했던 것은 멋있게 보이는 것이다,"그는 멋진 옷을 입기를 원했기에, 학교에 갈 옷을 준비했다"
