,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그는 돈이 부족하여 새 의자를 구입하지 못할 수 있다,힘든 일을 하지 않았다면,의자에 페달을 부착한다,그가 돈을 벌지 않았다
1,그는 일주일 동안 아팠다,그는 감기에 걸리지 않았다,병원에 가지 않았다,높은 열과 심한 기침,그가 예방접종을 했다
2,그는 모래성을 쌓았다,비가 왔기 때문에 모래성이 무너질 수 있다,파도에 휩쓸리겠지만,바로 파도였다,시간을 가졌다
3,그는 블루베리를 따고 있었다,그는 블루베리를 따다가 다른 사람에 의해 방해받지 않을 수도 있다,그는 매우 조용히 했다,그의 열정과 집중력,비가 오지 않았다
4,그는 날개를 펄럭였다,그는 인간이기 때문에 날개를 펄럭일 수 없다,힘든 일을 한다면,내가 그의 무게를 견딜 수 없었기 때문,날개를 펄럭였다
5,그는 심장마비가 왔다,의료진의 신속한 응급조치에 의해 일어나지 않을 수 있다,심폐소생술,응급처치와 심폐소생술을 시도하는 것이 중요하다,심장 마비가 왔던 일은 일어나지 않았다
6,그는 너무 빨리 가고 있었다,그는 너무 빨리 가다가 사고를 당할 수 있다,사고,브레이크를 밟다,그가 조심했다
7,그는 소음이 들렸다,그는 귀가 먼 경우에 들리지 않을 수 있다,졸음,그의 귀를 막다,그가 조용했다
8,그는 준비를 완료했다,그는 준비를 완료했기 때문에 사건이 일어나지 않을 수 없다,그는 최선을 다했다,그의 무서운 감정들,그가 준비를 했다
9,그는 입을 옷을 찾았다,그는 옷장을 열어보고 찾았다,만약 그가 찾지 못했다,그의 몸이 떨리고 있었기 때문,그가 집에 머물렀다
10,그는 실망한 표정였다,그는 기대하지 않았기 때문에 일어나지 않을 수 있다,실망한 일이 발생하지 않았다면,그의 자신에 대한 믿음이 부족했기 때문,그가 노력했다
11,그는 재미있어 보였다,그는 재미있어 보였지만 실제로는 지루한 사람일 수 있다,그의 농담,무서운 일,그가 웃지 않았다
12,그는 신에게 충성을 바쳤다,그는 신에게 충성을 바치지 않았다,죽음,그의 믿음,그가 신에게 충성을 바쳐야 했다
13,그는 집에 가도 되었다,그는 집에 가도 되지 않을 수도 있다,지각,그의 강한 의지였다,그가 집에 가지 않았다
14,그는 학교에 갈 옷을 준비했다,그는 학교가 휴교일 수 있어서 학교에 갈 옷을 준비하지 않을 수 있다,그는 미리 준비를 했다,그는 아침에 일어나지 않게 하는 것은 알람 시계를 설정한다,아침에 늦게 일어났다
15,그는 피자 파티가 있었다,건강상의 이유로 인해 일어나지 않을 수 있다,그는 너무 많은 피자를 먹었다,그의 친구들과 함께 먹을 수 있는 맛있는 음식과 즐거운 분위기였다,그가 거부했다
16,그는 마침내 선택했다,그는 마침내 선택하지 않을 수도 있다,그 선택을 하지 않았다,그의 강한 의지와 결단력,다른 선택을 했다
17,그는 너무 심하게 다쳤다,그는 안전장비를 착용했다면 다쳐있지 않았다,의학적 치료,의료진의 도움을 받는 것이 중요하다,조심했다
18,그는 몸이 아프기 시작했다,그는 건강하고 아무런 이유 없이 몸이 아프지 않을 수도 있다,병원에 가지 않았다면,그의 힘든 상황을 이해하는 것이 중요했다,그가 운동을 하지 않았다
19,그는 밤에 잠을 잘 이루지 못했다,건강한 수면 습관을 가지지 않아서,불안함,스트레스와 불안,그가 스트레스를 받지 않았다
20,그는 새로운 기술을 배웠다,기술을 배우지 않았다면 발생하지 않을 수 있다,노력,그의 열정과 끈기였다,그가 노력하지 않았다
21,그는 황금알을 낳는 거위를 죽였다,그는 황금알을 낳는 거위를 죽이지 않았다면 일어나지 않을 수 있다,무모한 행동,그의 욕심과 이기심,그가 탐욕스러웠다
22,그는 대학에 지원했다,대학의 입학 요건을 충족하지 못하여 불합격할 수 있다,노력,그는 대학에 지원했다,그가 시간을 더 잘 관리했다
23,그는 홀인원을 기록했다,그는 홀인원을 기록하지 못했다,세계 신기록,그의 뛰어난 기술과 집중력,그러지 않았다
24,그는 방과 후 친구들과 농구를 했다,방과 후 프로그램이 취소되었을 때,그는 지난밤 늦게까지 농구를 했다,그의 열정과 끈기였다,그가 공부를 했다
25,그는 곧 기분이 나아질 겄다,그는 물리적인 상황에 의해 기분이 나아지지 않을 수 있다,노력,그의 친구들과 가족들의 지지와 격려였다,그가 운동을 했다
26,그는 커피를 머그잔에 마셨다,그는 물을 머그잔에 마셨다,과도한 카페인을 섭취,뜨거운 커피였다,그가 머그잔을 깨뜨렸다
27,그는 엔진을 망가뜨렸다,그는 엔진을 망가뜨리지 않았다,예측할 수 있다,엔진에 연료를 공급하는 것을 중단한다,조심했다
28,그는 새로운 새끼 고양이를 얻었다,그는 개를 입양했을 때,그는 행동을 조심했다,그의 주요 관심사였다,그가 돈을 벌지 않았다
