,input,A,B,B2,B3
0,그는 새 의자를 구입했다,"""주변 사람들은 그가 기쁘지 않을까 생각했다.""",그의 새로운 의자에 대한 호기심을 느꼈다.,그는 새로운 변화를 받아들이고 자신의 공간을 개선하려는 의지를 보였다.,"주변 사람들은 흥분된 것을 느꼈는데, 왜냐하면 그는 새 의자를 구입했기 때문이다."
1,그는 일주일 동안 아팠다,그 주변 사람들은 그의 아픔을 걱정하고 안타까워했다.,그의 불편함을,"그의 부진함과 불편함이었다. 그는 쉬지 않고 휴식을 취하고, 치료를 받으며 회복하기 위해 노력했다.","주변 사람들은 걱정된다는 것을 느꼈는데, 왜냐하면 그는 일주일 동안 아팠기 때문이다."
2,그는 모래성을 쌓았다,주변 사람들은 놀라거나 놀랐을 것이다.,그는 창의적인 것을 느꼈다.,"해변에서 즐거운 시간을 보내는 것이었다. 모래성을 쌓는 과정에서 그의 창의성과 인내심을 느낄 수 있었고, 주변 사람들은 그의 노력에 감사함을 느꼈다.",부러움을
3,그는 블루베리를 따고 있었다,주변 사람들은 그를 보고 놀라거나 신기해하거나 즐거워했을 것이다.,그는 상쾌한 블루베리 향을 느꼈다.,그 신선한 블루베리 향이었다.,"주변 사람들은 부러움을 느꼈는데, 왜냐하면 그는 블루베리를 따고 있었기 때문이다."
4,그는 날개를 펄럭였다,주변 사람들은 놀라거나 신기해했다.,자유를, 그의 자유로움과 활기찬 에너지였다.,"놀라운 것을 느꼈는데, 왜냐하면 그는 날개를 펄럭였기 때문이다."
5,그는 심장마비가 왔다,주변 사람들은 충격과 슬픔에 휩싸였다.,그의 생명이 위협받고 있다는 것을 느꼈다.,순간적인 공포와 충격이었다. 그의 가까운 친구들과 가족들은 당황하고 두려움을 느끼며 긴급한 도움을 요청했다.,불안한/충격적인
6,그는 너무 빨리 가고 있었다,"""주변 사람들은 그의 무모한 행동에 놀라고 걱정했다.""",그는 너무 빨리 가고 있었다. 따라서 주변 사람들은 그것을 느꼈다.,그는 조심스럽게 행동해야 한다는 것이었다.,"불안한 것을 느꼈는데, 왜냐하면 그는 너무 빨리 가고 있었기 때문이다."
7,그는 소음이 들렸다,주변 사람들은 짜증이 났다.,불편한 것을 느꼈다.,"불안과 불편함이었다. 소음으로 인해 주변 사람들은 집중하기 어려워하고, 피로감을 느끼게 되었다.","분노한 것을 느꼈는데, 왜냐하면 그는 소음이 들렸기 때문이다."
8,그는 준비를 완료했다,그 주변 사람들은 안심하고 기뻤다.,그는 성공을 향한 자신감을 느꼈다.,그의 자신감과 결연한 의지였다.,"주변 사람들은 안도를 느꼈는데, 왜냐하면 그는 준비를 완료했기 때문이다."
9,그는 입을 옷을 찾았다,"""주변 사람들은 안심하고 기뻤다.""",그는 입을 옷을 찾았다. 따라서 주변 사람들은 안도하는 것을 느꼈다.,그는 스타일리시하고 자신감 있는 모습이었다.,"안도함을 느꼈는데, 왜냐하면 그는 입을 옷을 찾았기 때문이다."
