,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그는 새 의자를 구입해서 기뻤다.,편안함, 편안함과 안정감이었다. 새 의자는 그에게 좋은 자세와 편안한 쉼을 제공했다.,"그는 행복한 것을 느꼈는데, 왜냐하면 그는 새 의자를 구입했기 때문이다."
1,그는 일주일 동안 아팠다,그는 일주일 동안 고통을 느꼈다.,회복된 것을 느꼈다.,"피로와 무기력함이었다. 그는 일주일 동안 아픔으로 인해 정상적인 활동을 할 수 없었고, 이로 인해 피로와 무기력함을 느꼈다.","아무런 변화도 없는 것을 느꼈는데, 왜냐하면 그는 일주일 동안 아팠기 때문이다."
2,그는 모래성을 쌓았다,그는 만족했다.,쾌감,휘어지거나 무너질까봐 조금 불안했다. 하지만 그는 즐거움과 만족감을 느꼈다.,"그는 성취감을 느꼈는데, 왜냐하면 그는 모래성을 쌓았기 때문이다."
3,그는 블루베리를 따고 있었다,그는 평온함과 만족감을 느꼈다.,만족감을,"평화와 만족감이었다. 블루베리를 따는 일은 그에게 안정과 행복을 주었고, 자연 속에서의 시간은 그에게 큰 기쁨을 주었다.","그는 행복한 것을 느꼈는데, 왜냐하면 그는 블루베리를 따고 있었기 때문이다."
4,그는 날개를 펄럭였다,그는 자유롭고 행복했다.,자유를, 자유와 경이였다. 그는 공중을 나는 쾌감과 함께 세상을 바라보았다.,자유를
5,그는 심장마비가 왔다,그는 두려움과 절망에 휩싸였다.,숨을 쉴 수 없는 것을 느꼈다.,"순간적인 무력감과 절망이었다. 그의 몸은 더 이상 움직일 수 없었고, 숨을 쉴 수도 없었다. 생명의 마지막 순간이 다가오고 있었다.",아무런
6,그는 너무 빨리 가고 있었다,그는 두려움과 긴장을 느꼈다.,자신이 주변을 제대로 보지 못하고 있다,속도와 흥분이었다. 그는 마치 세상을 뚫고 나가는 듯한 기분이었다.,"그는 불안한 것을 느꼈는데, 왜냐하면 그는 너무 빨리 가고 있었기 때문이다."
7,그는 소음이 들렸다,그는 짜증이 났다.,불안한 것을 느꼈다.,불안과 두려움이었다. 그의 마음은 긴장되고 불편해졌다.,"그는 불안한 것을 느꼈는데, 왜냐하면 그는 소음이 들렸기 때문이다."
8,그는 준비를 완료했다,그는 안도감을 느꼈다.,자신이 성공할 것을 느꼈다.,자신감과 안도였다. 이제 그는 자신의 능력을 믿고 앞으로 나아갈 준비가 되어 있었다.,"그는 안도한 것을 느꼈는데, 왜냐하면 그는 준비를 완료했기 때문이다."
9,그는 입을 옷을 찾았다,그는 안도하고 안정감을 느꼈다.,따라서 그는 안도의 것을 느꼈다.,"만족감이었다. 그의 새로운 옷은 그에게 완벽하게 맞았고, 그는 자신감을 가지고 다가왔다.","그는 안도한 것을 느꼈는데, 왜냐하면 그는 입을 옷을 찾았기 때문이다."
10,그는 실망한 표정였다,"""그는 실망했다.""",실망한 것을 느꼈다.,"실망과 좌절이었다. 그의 희망이 꺾인 것을 느꼈고, 무력감과 좌절감이 가득했다.","그는 실망한 것을 느꼈는데, 왜냐하면 그는 실망한 표정이었기 때문이다."
11,그는 재미있어 보였다,- 그는 기뻤던 것 같았다.,즐거움,불안함과 긴장감이었다.,"그는 호기심을 느꼈는데, 왜냐하면 그는 재미있어 보였기 때문이다."
12,그는 신에게 충성을 바쳤다,그는 안정감과 만족감을 느꼈다.,평화와 안정을느꼈다.,신의 가호와 지지였다.,"그는 보람을 느꼈는데, 왜냐하면 그는 신에게 충성을 바쳤기 때문이다."
13,그는 집에 가도 되었다,그는 안심하고 안도했다.,자유를 느꼈다., 안도와 안정감이었다.,"그는 안도한 것을 느꼈는데, 왜냐하면 그는 집에 가도 되었기 때문이다."
14,그는 학교에 갈 옷을 준비했다,그는 불안했다.,학교에 가기로 한 것을 느꼈다.,기대와 긴장이었다. 새로운 학교에서의 첫 날을 맞이하기 전에 그는 떨리는 마음을 가라앉히기 위해 최선을 다하고 있었다.,"그는 긴장된 것을 느꼈는데, 왜냐하면 그는 학교에 갈 옷을 준비했기 때문이다."
15,그는 피자 파티가 있었다,그는 피자 파티가 있어서 기뻤다.,배고픈,행복함과 만족감이었다. 친구들과 함께 맛있는 음식을 먹으며 즐거운 시간을 보낸 것에 대해 기쁨을 느꼈다.,"그는 배고픔을 느꼈는데, 왜냐하면 그는 피자 파티가 있었기 때문이다."
16,그는 마침내 선택했다,그는 안도감과 기쁨을 느꼈다.,결정한 것을 후회했다.,자신의 결정에 대한 안도와 확신이었다.,"그는 안도된 것을 느꼈는데, 왜냐하면 그는 마침내 선택했기 때문이다."
17,그는 너무 심하게 다쳤다,그는 너무 아프고 불편했다.,쓰러진 것을 느꼈다.,"극심한 고통과 불편함이었다. 그는 움직일 수조차 없었고, 자신의 몸이 어떻게 되어가는지 걱정되었다.",아픈(really hurt)
18,그는 몸이 아프기 시작했다,그는 불안과 불편함을 느꼈다.,아픔을, 피로와 불편함이었다. 그는 쉬지 않고 일을 하다 보니 몸이 지치고 아프기 시작했던 것이었다.,아프다
19,그는 밤에 잠을 잘 이루지 못했다,그는 불안하고 피곤했다.,피곤함을느꼈다.,"계속되는 피로와 불안이었다. 그는 하루 종일 피곤한 상태로 지내야 했고, 일상 생활에서도 집중력이 떨어졌다.","그는 피곤한 것을 느꼈는데, 왜냐하면 그는 밤에 잠을 잘 이루지 못했기 때문이다."
20,그는 새로운 기술을 배웠다,그는 새로운 기술을 배워서 흥분했다.,成就,자신감과 성취감이었다. 새로운 기술을 배우고 습득한 것에 대한 자부심으로 가득 찼다.,"그는 만족한 것을 느꼈는데, 왜냐하면 그는 새로운 기술을 배웠기 때문이다."
21,그는 황금알을 낳는 거위를 죽였다,그는 후회와 유감으로 가득 찼다.,탐욕,"탐욕과 후회였다. 처음에는 황금알을 얻기 위해 거위를 죽인 것이 기쁨으로 다가왔지만, 그 후에는 자신의 욕심으로 소중한 것을 잃은 것에 대한 후회와 자책감이 밀려왔다.","그는 후회하는 것을 느꼈는데, 왜냐하면 그는 황금알을 낳는 거위를 죽였기 때문이다."
22,그는 대학에 지원했다,그는 기대와 긴장을 느꼈다.,합격을 느꼈다.,대학에 지원했을 때의 긴장과 기대감이었다.,"그는 긴장된 것을 느꼈는데, 왜냐하면 그는 대학에 지원했기 때문이다."
23,그는 홀인원을 기록했다,그는 기뻤다.,자신이 특별한 것을 느꼈다.,자신의 능력에 대한 자부심과 만족감이었다.,승리의 쾌감을
24,그는 방과 후 친구들과 농구를 했다,그는 즐거웠다.,즐거움을 느꼈다.,"즐거움과 흥분이었다. 함께 하는 시간이 즐겁고, 승부욕을 자극했기 때문에 그는 농구를 하면서 즐거움을 느꼈다.",즐거운
25,그는 곧 기분이 나아질 겄다,그는 안도하고 안정감을 느꼈다.,긍정적인 변화를 느꼈다.,희망이었다. 그는 어떤 일이든 극복할 수 있을 것 같은 기대감을 느꼈다.,"그는 불안한 것을 느꼈는데, 왜냐하면 그는 곧 기분이 나아질 것이기 때문이다."
26,그는 커피를 머그잔에 마셨다,그는 커피를 마시며 안정감을 느꼈다.,따라서 그는 따뜻한 것을 느꼈다.,"

카페인의 강한 향과 쓴 맛이었다.","따뜻한 것을 느꼈는데, 왜냐하면 그는 커피를 머그잔에 마셨기 때문이다."
27,그는 엔진을 망가뜨렸다,그는 실망했다.,고장났다.,"쓰러지는 느낌이었다. 그의 차가 갑자기 멈추고, 그는 엔진에 문제가 생긴 것을 깨달았다.",아픈
28,그는 새로운 새끼 고양이를 얻었다,그는 기쁨을 느꼈다.,행복한 것을 느꼈다.,행복함과 책임감이었다. 새로운 가족 구성원을 돌봄으로써 그는 더 많은 사랑과 관심을 주고 받을 수 있게 되었다.,기쁨을
29,그는 과거는 과거로 뒀다,과거의 일에 대해 회한이나 후회하지 않았다.,그는 현재를 살아야 한다고 느꼈다.,그가 미래에 대한 두려움이 아니라 현재에 집중할 수 있는 안도감이었다.,"그는 안도를 느꼈는데, 왜냐하면 그는 과거는 과거로 뒀기 때문이다."
30,그는 새 기타를 구입했다,그는 기뻤다.,음악을 연주하는 즐거움을 느꼈다.,새로운 음악을 연주하는 즐거움과 새로운 소리를 발견하는 흥분이었다.,기쁨을
31,그도 노력했다,그는 자랑스러웠다.,보람 있는,자신의 노력이 더 큰 보상을 받을 만큼 가치있었다.,"그는 성취감을 느꼈는데, 왜냐하면 그도 노력했기 때문이다."
32,그는 시간을 가졌다,그는 안도감과 만족감을 느꼈다.,자유," 무한한 가능성이었다. 그는 시간을 가졌기 때문에 자신의 꿈을 이루기 위해 충분한 시간이 있었고, 그로 인해 느끼는 감정은 희망과 기대였다.","그는 자신이 능력을 가졌기 때문에 그것을 느꼈는데, 왜냐하면 그는 시간을 가졌기 때문이다."
33,그는 애완동물을 허용했다,그는 기쁨을 느꼈다.,그는 행복한 것을 느꼈다.,애완동물과 함께하는 즐거움과 행복이었다.,"그는 안도한 것을 느꼈는데, 왜냐하면 그는 애완동물을 허용했기 때문이다."
34,그는 휴대폰을 받았다,그는 기쁘고 흥분했다.,연락을 받았다. 따라서 그는 안도의 것을 느꼈다.," 안도와 안정감이었다. 그의 휴대폰은 항상 그의 연락처와 소중한 정보를 담고 있었기 때문에, 그것을 잃어버리는 것은 큰 스트레스였다. 하지만 이제 휴대폰을 다시 받았으니 안도하고 안",기쁨을
35,그는 C를 받았다,그는 실망했다.,실패한,"실망과 안도였다. 실망은 그의 노력이 충분하지 않았다는 것을 알려주었고, 안도는 최소한 C를 받아 졸업할 수 있다는 것에 대한 안심감을 주었다.",실망한
36,그는 TV를 구입했다,그는 기쁘고 만족했다.,만족함,만족감이었다. 새로운 TV를 통해 더 나은 화질과 음향을 경험하면서 그는 자신의 선택에 대해 자랑스러움을 느꼈다.,"그는 만족한 것을 느꼈는데, 왜냐하면 그는 TV를 구입했기 때문이다."
37,그는 다리를 심하게 다쳤다,그는 괴로웠다.,아프거나 통증을 느꼈다.,"극심한 통증과 불편함이었다. 그는 걷거나 움직이기가 어려워졌고, 일상생활에도 큰 제약을 받았다.",아픈 것
38,그는 그녀의 바지에 오줌을 쌌다,당황스러웠다.,부끄러움을 느꼈다.,자신의 부주의로 인한 창피함과 죄책감이었다.,당혹스러운
39,그는 찾을 수 없었다,그는 실망했다.,절망적인,"쓰러진다는 것이었다. 그는 외로웠고 무력했으며, 자신의 미래에 대한 두려움에 휩싸였다.","그는 실망한 것을 느꼈는데, 왜냐하면 그는 찾을 수 없었기 때문이다."
40,그는 곧 나아질 겄다,그는 희망적이었다.,회복될 것을 느꼈다., 희망이었다. 그가 느꼈던 것은 힘든 상황을 극복할 수 있는 힘이었다.,"그는 희망을 느꼈는데, 왜냐하면 그는 곧 나아질 것이기 때문이다."
41,그는 새 카메라를 구입했다,그는 새 카메라를 구입하여 기뻤다.,새로운 기술을 느꼈다.,전보다 더 많은 창조적인 가능성과 새로운 사물을 발견하는 즐거움이었다.,기쁨을
42,그는 어젯밤부터 시작했다,그는 불안했다.,미련을 느꼈다.,"불안함과 긴장감이었다. 그는 무엇인가 큰 일을 해야 한다는 압박감에 시달렸고, 이로 인해 잠도 제대로 자지 못했다.","그는 피곤한 것을 느꼈는데, 왜냐하면 그는 어젯밤부터 시작했기 때문이다."
43,그는 강아지를 키우고 싶다고 했다,그는 흥분했다.,반려동물을 키우고 싶다고 했다. 따라서 그는 행복한 것을 느꼈다.,"행복과 책임감이었다. 그는 강아지를 키우면서 새로운 가족 구성원을 맞이하게 되고, 동물에 대한 보살핌과 사랑으로 가득찬 일상을 경험하게 될 것이라고 느꼈다.","그는 행복한 것을 느꼈는데, 왜냐하면 그는 강아지를 키우고 싶다고 했기 때문이다."
44,그는 등산했다,그는 자연 속에서 평온함을 느꼈다.,자연을 느꼈다.,"자연 속에서의 평화와 안정감이었다. 그의 마음은 맑고 고요했고, 산세가 주는 아름다움에 감탄했다.","그는 피곤한 것을 느꼈는데, 왜냐하면 그는 등산했기 때문이다."
45,그는 휴대폰을 가지고 있었다,그는 안심했다.,연락이 올 것을 느꼈다.," 편리함과 연결됨이었다. 그의 손 끝에서 세상과의 연락이 단 한 번에 가능했기 때문에, 그는 언제든지 필요한 정보를 찾아볼 수 있었고 소중한 사람들과 손쉽게 소통할 수 있었다.","그는 불안한 것을 느꼈는데, 왜냐하면 그는 휴대폰을 가지고 있었기 때문이다."
46,그는 전화 한 통을 받았다,"전화 한 통을 받았을 때, 그는 놀랐다.",뜻밖의 충격을 느꼈다.,"전화를 받은 순간, 그는 놀라움과 호기심이 교차되었다.","그는 불안한 것을 느꼈는데, 왜냐하면 그는 전화 한 통을 받았기 때문이다."
47,그는 더 높이 올라갔다,그는 흥분했다.,위험한,자신의 역량과 가능성에 대한 자신감이 더욱 커졌다.,"그는 자신의 성취감을 느꼈는데, 왜냐하면 그는 더 높이 올라갔기 때문이다."
48,그는 이발이 필요했다,그는 깔끔하고 상쾌한 느낌이었다.,가벼움,"다음과 같습니다: ""머리카락이 너무 길어져서 불편함을 느꼈다.""",아무런 것을
49,그는 지갑을 집에 두고 왔다,그는 당황했다.,'따라서 그는 돈이 없다는 것을 느꼈다.',불안함과 불편함이었다. 도로에 나가기 전에 돌아가서 지갑을 찾아야 했기 때문이다.,아무런 것을
50,그는 목록을 잊어버렸다,그는 당황스러웠다.,실망한,순서와 계획을 잃은 혼란이었다.,아무런 것
51,그는 페이지를 넘겼다,그는 놀라거나 기뻤을 것이다.,다음 장을 읽고 싶다.,다음에 무엇이 일어날지에 대한 호기심과 긴장감이었다. 그는 이야기가 어떻게 전개될지 궁금해하면서도 동시에 이야기 속 주인공들과 공감하며 그들의 모험에 함께 하고 싶었다.,"그는 새로운 것을 느꼈는데, 왜냐하면 그는 페이지를 넘겼기 때문이다."
52,그는 도넛도 먹었다,그는 기쁘고 만족했다.,만족한,"만족감이었다. 그는 달콤한 도넛을 먹은 후에 행복한 기분을 느꼈고, 만족스러운 식사였다.",아무런 만족도 느끼지 못했다.
53,그는 그것을 학교에 가져왔다,그는 그것을 학교에 가져왔을 때 불안했다.,그는 그것을 학교에 가져왔다. 따라서 그는 자신의 행동이 잘못되었음을 느꼈다., 놀람과 기쁨이었다. 학교에서 그의 친구들이 그것을 보고 얼마나 놀라고 기뻐할지 상상할 수 없었다.,"그는 자부심을 느꼈는데, 왜냐하면 그는 그것을 학교에 가져왔기 때문이다."
54,그는 좋아하는 사람에게 물어봤다,그는 긴장되고 불안했다.,그는 좋아하는 사람에게 물어봤다. 따라서 그는 안정된 것을 느꼈다.,사랑이었다.,"그는 호감을 느꼈는데, 왜냐하면 그는 좋아하는 사람에게 물어봤기 때문이다."
55,그는 자신을 인식했다,자신을 인식한 그는 안도감과 함께 안정감을 느꼈다.,자신을 인식했다. 따라서 그는 자부심을 느꼈다., 자신의 가치와 능력에 대한 확신이었다.,"그는 불안한 것을 느꼈는데, 왜냐하면 그는 자신을 인식했기 때문이다."
56,그는 새 옷을 구입했다,그는 기뻤다.,만족함,"자신감과 만족감이었다. 새로운 옷을 입고 나서 자신의 외모에 대한 자신감이 생기고, 새로운 스타일을 시도함으로써 삶에 대한 만족감을 느꼈다.","그는 만족한 것을 느꼈는데, 왜냐하면 그는 새 옷을 구입했기 때문이다."
57,그는 모든 인형을 외웠다,그는 자랑스러웠다.,자신의 기억력을 자랑스러워했다.,자신이 무척 자랑스러웠다.,"그는 자신이 놀랄 만한 것을 느꼈는데, 왜냐하면 그는 모든 인형을 외웠기 때문이다."
58,그는 훨씬 좋아 보였다,그는 기뻤을 것이다.,더 나은,나는 더 이상 혼란스럽지 않았다.,"그는 변화된 것을 느꼈는데, 왜냐하면 그는 훨씬 좋아 보였기 때문이다."
59,그는 요리하고 싶어 하지 않았다,그는 요리하기 싫었다.,요리하는 것을 싫어하고 있었다. 따라서 그는 부정적인 감정을 느꼈다.,부정적인 감정이었다.,아무런 동기부여를 받지 못했다.
60,그는 새 자전거를 구입했다,그는 기뻤다.,자유를,자유와 쾌감이었다. 새로운 자전거를 타고 바람을 가르며 페달을 밟는 쾌감은 그에게 무한한 자유를 느끼게 했다.,기쁨을
61,그는 목줄을 사용했다,그는 억압당했다.,그는 제한된 것을 느꼈다.,목줄을 사용했기 때문에 그가 느꼈던 것은 목이 조여지고 억눌리는 감정이었다.,고통을
62,그는 커피를 주문했다,그는 만족했다.,활기를 느꼈다.,침대에서 일어나기 전에는 커피 한 잔으로 시작해야 한다고 생각했다.,아무런 변화도 없는 것
63,그는 태클을 당했다,그는 분노와 불안을 느꼈다.,아픈 것을 느꼈다.,분노와 상처였다. 상대방의 공격적인 태도로 인해 그는 분노와 상처를 느끼게 되었다.,아픈
64,그는 그녀에게 몸을 기울였다,그는 그 순간에 행복했다.,그녀의 향기를 느꼈다.,그녀에 대한 깊은 관심과 애정이었다.,"그는 약간의 불안을 느꼈는데, 왜냐하면 그는 그녀에게 몸을 기울였기 때문이다."
65,그는 오른쪽으로 향했다,그는 혼란스러웠다.,반대쪽," 무엇인가? 그의 시선이 멀리 향하고 있었기 때문에, 그는 새로운 가능성과 기대감을 느꼈다.","그는 이상한 것을 느꼈는데, 왜냐하면 그는 오른쪽으로 향했기 때문이다."
