,input,A,B,B2,B3
0,그는 새 의자를 구입했다,편안함,편안함을 느끼다,편안하게 앉다,새 테이블
1,그는 일주일 동안 아팠다,조언을 구하다,빨리 나아지다,빨리 나아진다,쉬다
2,그는 모래성을 쌓았다,어린 시절의 기억을 회상하다,바닷가에서 시간을 보내다,창의력을 발휘한다,해변에서 수영하다
3,그는 블루베리를 따고 있었다,맛있는 디저트를 만들다,신선한 과일을 먹다,신선한 과일을 맛본다,더 많은 과일
4,그는 날개를 펄럭였다,자유롭게 날아다니다,자유롭게 날다,하늘을 날아다닌다,하늘을 날다
5,그는 심장마비가 왔다,응급치료를 받다,응급치료를 받다,마지막 순간을 가족과 함께 보낸다,신속한 응급처치
6,그는 너무 빨리 가고 있었다,속도를 줄이다,조금 더 천천히 가다,좀 더 천천히 간다,살펴보다
7,그는 소음이 들렸다,조용한 곳으로 이동하다,조용함,주변 상황을 확인한다,조용한 환경
8,그는 준비를 완료했다,시작하기 위한 준비를 하다,시작,시작한다,출발
9,그는 입을 옷을 찾았다,따뜻한 옷을 입다,멋진 모습,스타일리시한 모습을 완성한다,스타일리시한 옷
10,그는 실망한 표정였다,위로받다,위로의 말을 듣다,더 나은 결과를 얻다,지지를 받다
11,그는 재미있어 보였다,주목받다,친구들과 함께 시간을 보내다,주변 사람들을 즐겁게 한다,그 영화를 보다
12,그는 신에게 충성을 바쳤다,신의 충성을 얻다,신의 축복을 받다,신의 축복을 받다,영원한 삶
13,그는 집에 가도 되었다,안전하고 안락한 환경에서 휴식을 취하다,편안하게 쉬다,휴식을 취한다,더 이상 시간을 낭비하기 싫어했기 때문이다
14,그는 학교에 갈 옷을 준비했다,학교에서 칭찬받다,잘 어울리다,학교에서 좋은 인상을 남긴다,학교에 잘 어울리는 옷
15,그는 피자 파티가 있었다,친구들과 즐거운 시간을 보내다,맛있는 음식을 먹다,그의 친구들과 함께 즐거운 시간을 보낸다,많은 피자
16,그는 마침내 선택했다,결정을 내리다,성공을 향해 나아가다,결정을 내린다,자유
