,input,A,B,B2,B3
0,그는 새 의자를 구입했다,그는 새 의자를 집으로 가져와서 조립할 것이다.,의자를 산 것을 기뻐했다.,새 의자를 조립하는 것이었다.,"이사를 했는데, 왜냐하면 그는 새 의자를 구입했기 때문이다."
1,그는 일주일 동안 아팠다,그는 의사에게 진료를 받을 것이다.,일주일 동안 아팠다. 따라서 그는 회복했다.,휴식을 취하고 병원에 가서 의사의 진단을 받았다.,"쉬었는데, 왜냐하면 그는 일주일 동안 아팠기 때문이다."
2,그는 모래성을 쌓았다,그는 즐거움과 창의성으로 모래성을 쌓았다.,해변에서 놀았다.,해변에서 모래성을 쌓는 것이었다.,그는 놀랐다.
3,그는 블루베리를 따고 있었다,그는 블루베리를 따르던 중 주변을 살펴보고 다른 사람들과의 충돌을 피하며 안전하게 작업할 것이다.,그는 블루베리를 따고 있었다. 따라서 그는 열심히 일했다.,블루베리를 따는 것이었다.,빠르게 달렸다.
4,그는 날개를 펄럭였다,그는 하늘을 날아갈 것이다.,비행했다.,하늘을 나는 것이었다.,"비행했는데, 왜냐하면 그는 날개를 펄럭였기 때문이다."
5,그는 심장마비가 왔다,그는 즉시 심폐소생술을 시도할 것이다.,사망,심폐소생술을 시도하는 것이었다. 그는 주변 사람들에게 심장 마사지와 인공 호흡을 받으며 응급 상황에 대비한 조치를 취하도록 요청했다.,숨을 멈추었다.
6,그는 너무 빨리 가고 있었다,그는 속도를 줄이고 안전 운전을 하겠다.,사고,속도를 줄이고 조심스럽게 주변을 살피는 것이었다.,"추락했는데, 왜냐하면 그는 너무 빨리 가고 있었기 때문이다."
7,그는 소음이 들렸다,그는 주변을 살피고 소음의 원인을 찾아 조용한 곳으로 이동할 것이다.,귀를 막았다.,무엇인지 확인하러 나갔다.,"도망쳤는데, 왜냐하면 그는 소음이 들렸기 때문이다."
8,그는 준비를 완료했다,그는 다음 단계에 진행할 준비가 되어 있을 것이다.,출발,무엇이든 시작할 수 있었다.,"노력했는데, 왜냐하면 그는 준비를 완료했기 때문이다."
9,그는 입을 옷을 찾았다,그는 옷을 입는다.,입을 옷을 찾았다. 따라서 그는 기뻐했다.,옷을 입고 나가는 것이었다.,"그는 화를 냈는데, 왜냐하면 그는 입을 옷을 찾았기 때문이다."
10,그는 실망한 표정였다,그는 상황을 평가하고 다음에 취할 행동을 결정할 것이다.,그는 한숨을 쉬었다.,역시 그냥 돌아서서 떠나는 것이었다.,"우는 것 같았는데, 왜냐하면 그는 실망한 표정이었기 때문이다."
